"time","der_p","der_T"
0,0,0
0.002,0,0
0.004,0,0
0.006,0,0
0.008,0,0
0.01,0,0
0.012,0,0
0.014,0,0
0.016,0,0
0.018,0,0
0.02,0,0
0.022,0,0
0.024,0,0
0.026,0,0
0.028,0,0
0.03,0,0
0.032,0,0
0.034,0,0
0.036,0,0
0.038,0,0
0.04,0,0
0.042,0,0
0.044,0,0
0.046,0,0
0.048,0,0
0.05,0,0
0.052,0,0
0.054,0,0
0.056,0,0
0.058,0,0
0.06,0,0
0.062,0,0
0.064,0,0
0.066,0,0
0.068,0,0
0.07,0,0
0.072,0,0
0.074,0,0
0.076,0,0
0.078,0,0
0.08,0,0
0.082,0,0
0.084,0,0
0.086,0,0
0.088,0,0
0.09,0,0
0.092,0,0
0.094,0,0
0.096,0,0
0.098,0,0
0.1,0,0
0.102,0,0
0.104,0,0
0.106,0,0
0.108,0,0
0.11,0,0
0.112,0,0
0.114,0,0
0.116,0,0
0.118,0,0
0.12,0,0
0.122,0,0
0.124,0,0
0.126,0,0
0.128,0,0
0.13,0,0
0.132,0,0
0.134,0,0
0.136,0,0
0.138,0,0
0.14,0,0
0.142,0,0
0.144,0,0
0.146,0,0
0.148,0,0
0.15,0,0
0.152,0,0
0.154,0,0
0.156,0,0
0.158,0,0
0.16,0,0
0.162,0,0
0.164,0,0
0.166,0,0
0.168,0,0
0.17,0,0
0.172,0,0
0.174,0,0
0.176,0,0
0.178,0,0
0.18,0,0
0.182,0,0
0.184,0,0
0.186,0,0
0.188,0,0
0.19,0,0
0.192,0,0
0.194,0,0
0.196,0,0
0.198,0,0
0.2,0,0
0.202,0,0
0.204,0,0
0.206,0,0
0.208,0,0
0.21,0,0
0.212,0,0
0.214,0,0
0.216,0,0
0.218,0,0
0.22,0,0
0.222,0,0
0.224,0,0
0.226,0,0
0.228,0,0
0.23,0,0
0.232,0,0
0.234,0,0
0.236,0,0
0.238,0,0
0.24,0,0
0.242,0,0
0.244,0,0
0.246,0,0
0.248,0,0
0.25,0,0
0.252,0,0
0.254,0,0
0.256,0,0
0.258,0,0
0.26,0,0
0.262,0,0
0.264,0,0
0.266,0,0
0.268,0,0
0.27,0,0
0.272,0,0
0.274,0,0
0.276,0,0
0.278,0,0
0.28,0,0
0.282,0,0
0.284,0,0
0.286,0,0
0.288,0,0
0.29,0,0
0.292,0,0
0.294,0,0
0.296,0,0
0.298,0,0
0.3,-1.13686837721616E-13,0
0.302,-8.97467074694714,-0.113763055721418
0.304,-17.2999931496345,-0.225684298897777
0.306,-24.9834881289559,-0.335773169961021
0.308,-32.0326765557654,-0.444039108506691
0.31,-38.4550792508793,-0.550491553294028
0.312,-44.2582169850874,-0.655139942246065
0.314,-49.4496104791576,-0.75799371244969
0.316,-54.0367804038337,-0.859062300155773
0.318,-58.0272473798442,-0.958355140779209
0.32,-61.4285319779202,-1.05588166889907
0.322,-64.2481547187816,-1.15165131825863
0.324,-66.4936360731519,-1.24567352176547
0.326,-68.1724964617903,-1.33795771149162
0.328,-69.2922562554494,-1.42851331867365
0.33,-69.8604357749023,-1.51734977371272
0.332,-69.8845552909646,-1.60447650617465
0.334,-69.3721350244537,-1.68990294478996
0.336,-68.3306951462753,-1.77363851745413
0.338,-66.767755777348,-1.85569265122765
0.34,-64.69083698868,-1.93607477233588
0.342,-62.1074588012799,-2.01479430616946
0.344,-59.0251411862355,-2.09186067728413
0.346,-55.4514040647463,-2.16728330940117
0.348,-51.3937673080227,-2.24107162540716
0.35,-46.859750737421,-2.31323504735401
0.352,-41.8568741243158,-2.38378299645946
0.354,-36.3926571902191,-2.45272489310679
0.356,-30.4746196067426,-2.52007015684511
0.358,-24.1102809955763,-2.58582820638939
0.36,-17.3071609285174,-2.65000845962046
0.362,-10.0727789275346,-2.71262033358529
0.364,-2.4146544646635,-2.77367324449696
0.366,5.65969303793565,-2.83317660773469
0.368,14.1427442079405,-2.89113983784408
0.37,23.0269797229194,-2.94757234853717
0.372,32.304880310235,-3.00248355269233
0.374,41.9689267471935,-3.05588286235479
0.376,52.0115998609161,-3.10777968873618
0.378,62.4253805282958,-3.15818344221502
0.38,73.2027496761229,-3.20710353233655
0.382,84.3361882810174,-3.25454936781335
0.384,95.8181773693481,-3.30053035652433
0.386,107.641198017369,-3.34505590551625
0.388,119.797731351183,-3.38813542100248
0.39,132.280258546586,-3.42977830836413
0.392,145.081260829244,-3.46999397214955
0.394,158.19321947458,-3.50879181607444
0.396,171.60861580784,-3.54618124302235
0.398,185.31993120397,-3.58217165504402
0.4,199.319647087812,-3.61677245335843
0.402,213.600244933939,-3.64999303835222
0.404,228.154206266604,-3.68184280957996
0.406,242.974012659896,-3.7123311657641
0.408,258.052145737619,-3.74146750479534
0.41,273.381087173363,-3.76926122373256
0.412,288.953318690412,-3.79572171880313
0.414,304.761322061789,-3.82085838540245
0.416,320.797579110284,-3.84468061809455
0.418,337.054571708415,-3.86719781061201
0.42,353.524781778371,-3.88841935585609
0.422,370.200691292095,-3.90835464589674
0.424,387.074782271144,-3.92701307197259
0.426,404.139536786869,-3.94440402449153
0.428,421.387436960312,-3.96053689303029
0.43,438.810964962158,-3.9754210663345
0.432,456.402603012821,-3.98906593231934
0.434,474.154833382295,-4.00148087806909
0.436,492.06013839034,-4.01267528983722
0.438,510.111000406383,-4.02265855304679
0.44,528.299901849461,-4.03144005229086
0.442,546.619325188311,-4.0390291713311
0.444,565.061752941221,-4.0454352930999
0.446,583.61966767627,-4.05066779969906
0.448,602.285552011021,-4.05473607240011
0.45,621.051888612769,-4.05764949164495
0.452,639.911160198433,-4.05941743704535
0.454,658.855849534448,-4.06004928738329
0.456,677.878439437018,-4.05955442061096
0.458,696.971412771797,-4.05794221385095
0.46,716.127252454198,-4.05522204339626
0.462,735.338441449071,-4.05140328471043
0.464,754.597462770963,-4.04649531242761
0.466,773.89679948395,-4.04050750035267
0.468,793.228934701687,-4.03344922146148
0.47,812.586351587507,-4.02532984790058
0.472,831.961533354153,-4.01615875098751
0.474,851.346963263978,-4.00594530121066
0.476,870.735124628947,-3.99469886822998
0.478,890.118500810574,-3.98242882087668
0.48,909.489575219861,-3.96914452715288
0.482,928.840831317405,-3.95485535423233
0.484,948.164752613223,-3.93957066846031
0.486,967.453822666971,-3.92329983535389
0.488,986.700525087715,-3.90605221960187
0.49,1005.8973435342,-3.88783718506437
0.492,1025.03676171462,-3.86866409477361
0.494,1044.11126338657,-3.84854231093377
0.496,1063.11333235725,-3.8274811949213
0.498,1082.03545248324,-3.80549010728479
0.5,1100.87010767078,-3.78257840774461
0.502,1119.60978187542,-3.75875545519369
0.504,1138.24695910234,-3.73403060769777
0.506,1156.77412340603,-3.70841322249448
0.508,1175.18375889056,-3.68191265599399
0.51,1193.46834970941,-3.65453826377984
0.512,1211.62038006547,-3.62629940060786
0.514,1229.63233421119,-3.59720542040697
0.516,1247.49669644841,-3.56726567627861
0.518,1265.20595112832,-3.53648952049767
0.52,1282.75258265165,-3.50488630451174
0.522,1300.12907546842,-3.47246537894226
0.524,1317.32791407827,-3.43923609358354
0.526,1334.34158303005,-3.40520779740308
0.528,1351.1625669222,-3.37038983854227
0.53,1367.78335040239,-3.33479156431607
0.532,1384.19641816779,-3.29842232121311
0.534,1400.39425496492,-3.26129145489532
0.536,1416.36934558965,-3.2234083101989
0.538,1432.11417488732,-3.18478223113377
0.54,1447.62122775251,-3.14542256088387
0.542,1462.88298912934,-3.10533864180742
0.544,1477.8919440111,-3.06453981543687
0.546,1492.64057744064,-3.02303542247851
0.548,1507.12137450995,-2.98083480281362
0.55,1521.32682036051,-2.93794729549734
0.552,1535.24940018301,-2.89438223875976
0.554,1548.88159921757,-2.85014897000541
0.556,1562.21590275361,-2.80525682581372
0.558,1575.24479612989,-2.75971514193897
0.56,1587.96076473445,-2.71353325331012
0.562,1600.35629400469,-2.66672049403114
0.564,1612.42386942721,-2.61928619738127
0.566,1624.155976538,-2.57123969581473
0.568,1635.54510092229,-2.52259032096119
0.57,1646.5837282146,-2.47334740362549
0.572,1657.26434409879,-2.42352027378808
0.574,1667.57943430793,-2.37311826060476
0.576,1677.52148462437,-2.32215069240713
0.578,1687.08298087969,-2.27062689670232
0.58,1696.25640895483,-2.21855620017342
0.582,1705.03425477993,-2.16594792867922
0.584,1713.40900433431,-2.11281140725469
0.586,1721.3731436466,-2.05915596011083
0.588,1728.9191587946,-2.00499091063463
0.59,1736.03953590542,-1.95032558138948
0.592,1742.72676115537,-1.89516929411476
0.594,1748.97332076991,-1.83953136972679
0.596,1754.77170102379,-1.7834211283182
0.598,1760.11438824094,-1.72684788915808
0.6,1764.9938687945,-1.66982097069216
0.602,1769.40262910674,-1.6123496905433
0.604,1773.33315564921,-1.55444336551074
0.606,1776.77793494261,-1.49611131157096
0.608,1779.72945355677,-1.43736284387751
0.61,1782.18019811074,-1.37820727676104
0.612,1784.12265527269,-1.31865392372942
0.614,1785.54931176,-1.25871209746768
0.616,1786.45265433922,-1.19839110983837
0.618,1786.82516982596,-1.13770027188142
0.62,1786.65934508506,-1.07664889381443
0.622,1785.94766703044,-1.01524628503268
0.624,1784.68262262517,-0.95350175410918
0.626,1782.85669888148,-0.891424608794668
0.628,1780.46238286063,-0.829024156017913
0.63,1777.49216167308,-0.766309701885707
0.632,1773.9385224784,-0.703290551682815
0.634,1769.79395248519,-0.63997600987233
0.636,1765.0509389512,-0.576375380095607
0.638,1759.70196918324,-0.512497965172373
0.64,1753.73953053722,-0.448353067100698
0.642,1747.15611041818,-0.38394998705731
0.644,1739.94419628013,-0.319298025397571
0.646,1732.09627562624,-0.254406481655571
0.648,1723.6048360087,-0.189284654544083
0.65,1714.46236502872,-0.123941841955004
