"time","TAmb","TDif","TRes","heatCapacitor.T"
0,293.15,2,293.15,293.15
0.02,293.15,2,293.35,293.35
0.04,293.15,2,293.549,293.549
0.06,293.15,2,293.747,293.747
0.09,293.15,2,294.044,294.044
0.12,293.15,2,294.34,294.34
0.14,293.15,2,294.536,294.536
0.16,293.15,2,294.732,294.732
0.18,293.15,2,294.928,294.928
0.2,293.15,2,295.122,295.122
0.22,293.15,2,295.317,295.317
0.24,293.15,2,295.51,295.51
0.27,293.15,2,295.8,295.8
0.29,293.15,2,295.992,295.992
0.31,293.15,2,296.184,296.184
0.33,293.15,2,296.375,296.375
0.35,293.15,2,296.566,296.566
0.37,293.15,2,296.757,296.757
0.39,293.15,2,296.946,296.946
0.41,293.15,2,297.135,297.135
0.43,293.15,2,297.324,297.324
0.45,293.15,2,297.512,297.512
0.47,293.15,2,297.7,297.7
0.49,293.15,2,297.887,297.887
0.52,293.15,2,298.167,298.167
0.54,293.15,2,298.353,298.353
0.56,293.15,2,298.538,298.538
0.58,293.15,2,298.723,298.723
0.6,293.15,2,298.907,298.907
0.62,293.15,2,299.091,299.091
0.64,293.15,2,299.142,299.142
0.66,293.15,2,299.13,299.13
0.68,293.15,2,299.118,299.118
0.7,293.15,2,299.106,299.106
0.72,293.15,2,299.094,299.094
0.74,293.15,2,299.082,299.082
0.76,293.15,2,299.07,299.07
0.78,293.15,2,299.059,299.059
0.8,293.15,2,299.047,299.047
0.82,293.15,2,299.035,299.035
0.84,293.15,2,299.023,299.023
0.86,293.15,2,299.011,299.011
0.88,293.15,2,299,299
0.9,293.15,2,298.988,298.988
0.92,293.15,2,298.976,298.976
0.94,293.15,2,298.965,298.965
0.96,293.15,2,298.953,298.953
0.98,293.15,2,298.942,298.942
1,293.15,2,298.93,298.93
1.02,293.15,2,298.918,298.918
1.04,293.15,2,298.907,298.907
1.06,293.15,2,298.895,298.895
1.08,293.15,2,298.884,298.884
1.1,293.15,2,298.872,298.872
1.12,293.15,2,298.861,298.861
1.14,293.15,2,298.85,298.85
1.16,293.15,2,298.838,298.838
1.18,293.15,2,298.827,298.827
1.2,293.15,2,298.816,298.816
1.22,293.15,2,298.804,298.804
1.24,293.15,2,298.793,298.793
1.26,293.15,2,298.782,298.782
1.28,293.15,2,298.77,298.77
1.3,293.15,2,298.759,298.759
1.32,293.15,2,298.748,298.748
1.34,293.15,2,298.737,298.737
1.36,293.15,2,298.726,298.726
1.38,293.15,2,298.714,298.714
1.4,293.15,2,298.703,298.703
1.42,293.15,2,298.692,298.692
1.44,293.15,2,298.681,298.681
1.46,293.15,2,298.67,298.67
1.48,293.15,2,298.659,298.659
1.5,293.15,2,298.648,298.648
1.52,293.15,2,298.637,298.637
1.54,293.15,2,298.626,298.626
1.56,293.15,2,298.615,298.615
1.58,293.15,2,298.604,298.604
1.6,293.15,2,298.593,298.593
1.62,293.15,2,298.583,298.583
1.64,293.15,2,298.572,298.572
1.66,293.15,2,298.561,298.561
1.68,293.15,2,298.55,298.55
1.7,293.15,2,298.539,298.539
1.72,293.15,2,298.528,298.528
1.74,293.15,2,298.518,298.518
1.76,293.15,2,298.507,298.507
1.78,293.15,2,298.496,298.496
1.8,293.15,2,298.486,298.486
1.82,293.15,2,298.475,298.475
1.84,293.15,2,298.464,298.464
1.86,293.15,2,298.454,298.454
1.88,293.15,2,298.443,298.443
1.9,293.15,2,298.433,298.433
1.92,293.15,2,298.422,298.422
1.94,293.15,2,298.411,298.411
1.96,293.15,2,298.401,298.401
1.98,293.15,2,298.39,298.39
2.01,293.15,2,298.38,298.38
2.04,293.15,2,298.38,298.38
2.07,293.15,2,298.38,298.38
2.1,293.15,2,298.38,298.38
2.13,293.15,2,298.38,298.38
2.16,293.15,2,298.38,298.38
2.19,293.15,2,298.38,298.38
2.22,293.15,2,298.38,298.38
2.25,293.15,2,298.38,298.38
2.28,293.15,2,298.38,298.38
2.31,293.15,2,298.38,298.38
2.34,293.15,2,298.38,298.38
2.37,293.15,2,298.38,298.38
2.4,293.15,2,298.38,298.38
2.43,293.15,2,298.38,298.38
2.46,293.15,2,298.38,298.38
2.49,293.15,2,298.38,298.38
2.52,293.15,2,298.38,298.38
2.55,293.15,2,298.38,298.38
2.58,293.15,2,298.38,298.38
2.61,293.15,2,298.38,298.38
2.64,293.15,2,298.38,298.38
2.67,293.15,2,298.38,298.38
2.7,293.15,2,298.38,298.38
2.73,293.15,2,298.38,298.38
2.76,293.15,2,298.38,298.38
2.79,293.15,2,298.38,298.38
2.82,293.15,2,298.38,298.38
2.85,293.15,2,298.38,298.38
2.88,293.15,2,298.38,298.38
2.91,293.15,2,298.38,298.38
2.94,293.15,2,298.38,298.38
2.97,293.15,2,298.38,298.38
3,293.15,2,298.38,298.38
3.03,293.15,2,298.38,298.38
3.06,293.15,2,298.38,298.38
3.09,293.15,2,298.38,298.38
3.12,293.15,2,298.38,298.38
3.15,293.15,2,298.38,298.38
3.18,293.15,2,298.38,298.38
3.21,293.15,2,298.38,298.38
3.24,293.15,2,298.38,298.38
3.27,293.15,2,298.38,298.38
3.3,293.15,2,298.38,298.38
3.33,293.15,2,298.38,298.38
3.36,293.15,2,298.38,298.38
3.39,293.15,2,298.38,298.38
3.42,293.15,2,298.38,298.38
3.45,293.15,2,298.38,298.38
3.48,293.15,2,298.38,298.38
3.51,293.15,2,298.38,298.38
3.54,293.15,2,298.38,298.38
3.57,293.15,2,298.38,298.38
3.6,293.15,2,298.38,298.38
3.63,293.15,2,298.38,298.38
3.66,293.15,2,298.38,298.38
3.69,293.15,2,298.38,298.38
3.72,293.15,2,298.38,298.38
3.75,293.15,2,298.38,298.38
3.78,293.15,2,298.38,298.38
3.81,293.15,2,298.38,298.38
3.84,293.15,2,298.38,298.38
3.87,293.15,2,298.38,298.38
3.9,293.15,2,298.38,298.38
3.93,293.15,2,298.38,298.38
3.96,293.15,2,298.38,298.38
3.99,293.15,2,298.38,298.38
4.01,293.15,2,298.38,298.38
4.04,293.15,2,298.38,298.38
4.07,293.15,2,298.38,298.38
4.1,293.15,2,298.38,298.38
4.13,293.15,2,298.38,298.38
4.16,293.15,2,298.38,298.38
4.19,293.15,2,298.38,298.38
4.22,293.15,2,298.38,298.38
4.25,293.15,2,298.38,298.38
4.28,293.15,2,298.38,298.38
4.31,293.15,2,298.38,298.38
4.34,293.15,2,298.38,298.38
4.37,293.15,2,298.38,298.38
4.4,293.15,2,298.38,298.38
4.43,293.15,2,298.38,298.38
4.46,293.15,2,298.38,298.38
4.49,293.15,2,298.38,298.38
4.52,293.15,2,298.38,298.38
4.55,293.15,2,298.38,298.38
4.58,293.15,2,298.38,298.38
4.61,293.15,2,298.38,298.38
4.64,293.15,2,298.38,298.38
4.67,293.15,2,298.38,298.38
4.7,293.15,2,298.38,298.38
4.73,293.15,2,298.38,298.38
4.76,293.15,2,298.38,298.38
4.79,293.15,2,298.38,298.38
4.82,293.15,2,298.38,298.38
4.85,293.15,2,298.38,298.38
4.88,293.15,2,298.38,298.38
4.91,293.15,2,298.38,298.38
4.94,293.15,2,298.38,298.38
4.97,293.15,2,298.38,298.38
5,293.15,2,298.38,298.38
5.03,293.15,2,298.38,298.38
5.06,293.15,2,298.38,298.38
5.09,293.15,2,298.38,298.38
5.12,293.15,2,298.38,298.38
5.15,293.15,2,298.38,298.38
5.18,293.15,2,298.38,298.38
5.21,293.15,2,298.38,298.38
5.24,293.15,2,298.38,298.38
5.27,293.15,2,298.38,298.38
5.3,293.15,2,298.38,298.38
5.33,293.15,2,298.38,298.38
5.36,293.15,2,298.38,298.38
5.39,293.15,2,298.38,298.38
5.42,293.15,2,298.38,298.38
5.45,293.15,2,298.38,298.38
