"time","part5_displacement_output"
0,315.895
0.001,315.61
0.002,315.326
0.003,315.042
0.004,314.757
0.005,314.473
0.006,314.188
0.007,313.904
0.008,313.619
0.009,313.334
0.01,313.05
0.011,312.765
0.012,312.48
0.013,312.195
0.014,311.911
0.015,311.626
0.016,311.341
0.017,311.056
0.018,310.771
0.019,310.486
0.02,310.201
0.021,309.916
0.022,309.631
0.023,309.345
0.024,309.06
0.025,308.775
0.026,308.49
0.027,308.204
0.028,307.919
0.029,307.633
0.03,307.348
0.031,307.062
0.032,306.777
0.033,306.491
0.034,306.206
0.035,305.92
0.036,305.634
0.037,305.349
0.038,305.063
0.039,304.777
0.04,304.491
0.041,304.205
0.042,303.919
0.043,303.633
0.044,303.347
0.045,303.061
0.046,302.775
0.047,302.489
0.048,302.203
0.049,301.917
0.05,301.631
0.051,301.344
0.052,301.058
0.053,300.772
0.054,300.485
0.055,300.199
0.056,299.912
0.057,299.626
0.058,299.339
0.059,299.053
0.06,298.766
0.061,298.479
0.062,298.193
0.063,297.906
0.064,297.619
0.065,297.332
0.066,297.046
0.067,296.759
0.068,296.472
0.069,296.185
0.07,295.898
0.071,295.611
0.072,295.324
0.073,295.037
0.074,294.75
0.075,294.462
0.076,294.175
0.077,293.888
0.078,293.601
0.079,293.313
0.08,293.026
0.081,292.738
0.082,292.451
0.083,292.163
0.084,291.876
0.085,291.588
0.086,291.301
0.087,291.013
0.088,290.726
0.089,290.438
0.09,290.15
0.091,289.862
0.092,289.574
0.093,289.287
0.094,288.999
0.095,288.711
0.096,288.423
0.097,288.135
0.098,287.847
0.099,287.559
0.1,287.271
0.101,286.982
0.102,286.694
0.103,286.406
0.104,286.118
0.105,285.829
0.106,285.541
0.107,285.253
0.108,284.964
0.109,284.676
0.11,284.387
0.111,284.099
0.112,283.81
0.113,283.522
0.114,283.233
0.115,282.944
0.116,282.656
0.117,282.367
0.118,282.078
0.119,281.789
0.12,281.501
0.121,281.212
0.122,280.923
0.123,280.634
0.124,280.345
0.125,280.056
0.126,279.767
0.127,279.478
0.128,279.189
0.129,278.899
0.13,278.61
0.131,278.321
0.132,278.032
0.133,277.742
0.134,277.453
0.135,277.164
0.136,276.874
0.137,276.585
0.138,276.295
0.139,276.006
0.14,275.716
0.141,275.426
0.142,275.137
0.143,274.847
0.144,274.557
0.145,274.268
0.146,273.978
0.147,273.688
0.148,273.398
0.149,273.108
0.15,272.818
0.151,272.529
0.152,272.239
0.153,271.948
0.154,271.658
0.155,271.368
0.156,271.078
0.157,270.788
0.158,270.498
0.159,270.208
0.16,269.917
0.161,269.627
0.162,269.337
0.163,269.046
0.164,268.756
0.165,268.465
0.166,268.175
0.167,267.884
0.168,267.594
0.169,267.303
0.17,267.013
0.171,266.722
0.172,266.431
0.173,266.141
0.174,265.85
0.175,265.559
0.176,265.268
0.177,264.977
0.178,264.686
0.179,264.395
0.18,264.104
0.181,263.813
0.182,263.522
0.183,263.231
0.184,262.94
0.185,262.649
0.186,262.358
0.187,262.067
0.188,261.775
0.189,261.484
0.19,261.193
0.191,260.901
0.192,260.61
0.193,260.319
0.194,260.027
0.195,259.736
0.196,259.444
0.197,259.153
0.198,258.861
0.199,258.569
0.2,258.278
0.201,257.986
0.202,257.694
0.203,257.403
0.204,257.111
0.205,256.819
0.206,256.527
0.207,256.235
0.208,255.943
0.209,255.651
0.21,255.359
0.211,255.067
0.212,254.775
0.213,254.483
0.214,254.191
0.215,253.899
0.216,253.607
0.217,253.314
0.218,253.022
0.219,252.73
0.22,252.437
0.221,252.145
0.222,251.853
0.223,251.56
0.224,251.268
0.225,250.975
0.226,250.683
0.227,250.39
0.228,250.097
0.229,249.805
0.23,249.512
0.231,249.219
0.232,248.927
0.233,248.634
0.234,248.341
0.235,248.048
0.236,247.755
0.237,247.463
0.238,247.17
0.239,246.877
0.24,246.584
0.241,246.291
0.242,245.997
0.243,245.704
0.244,245.411
0.245,245.118
0.246,244.825
0.247,244.532
0.248,244.238
0.249,243.945
0.25,243.652
0.251,243.358
0.252,243.065
0.253,242.772
0.254,242.478
0.255,242.185
0.256,241.891
0.257,241.598
0.258,241.304
0.259,241.01
0.26,240.717
0.261,240.423
0.262,240.129
0.263,239.836
0.264,239.542
0.265,239.248
0.266,238.954
0.267,238.66
0.268,238.366
0.269,238.072
0.27,237.778
0.271,237.484
0.272,237.19
0.273,236.896
0.274,236.602
0.275,236.308
0.276,236.014
0.277,235.72
0.278,235.425
0.279,235.131
0.28,234.837
0.281,234.542
0.282,234.248
0.283,233.954
0.284,233.659
0.285,233.365
0.286,233.07
0.287,232.776
0.288,232.481
0.289,232.187
0.29,231.892
0.291,231.597
0.292,231.303
0.293,231.008
0.294,230.713
0.295,230.419
0.296,230.124
0.297,229.829
0.298,229.534
0.299,229.239
0.3,228.944
0.301,228.649
0.302,228.354
0.303,228.059
0.304,227.764
0.305,227.469
0.306,227.174
0.307,226.879
0.308,226.584
0.309,226.289
0.31,225.993
0.311,225.698
0.312,225.403
0.313,225.107
0.314,224.812
0.315,224.517
0.316,224.221
0.317,223.926
0.318,223.63
0.319,223.335
0.32,223.039
0.321,222.744
0.322,222.448
0.323,222.153
0.324,221.857
0.325,221.561
0.326,221.265
0.327,220.97
0.328,220.674
0.329,220.378
0.33,220.082
0.331,219.786
0.332,219.491
0.333,219.195
0.334,218.899
0.335,218.603
0.336,218.307
0.337,218.011
0.338,217.714
0.339,217.418
0.34,217.122
0.341,216.826
0.342,216.53
0.343,216.234
0.344,215.937
0.345,215.641
0.346,215.345
0.347,215.048
0.348,214.752
0.349,214.456
0.35,214.159
0.351,213.863
0.352,213.566
0.353,213.27
0.354,212.973
0.355,212.677
0.356,212.38
0.357,212.083
0.358,211.787
0.359,211.49
0.36,211.193
0.361,210.896
0.362,210.6
0.363,210.303
0.364,210.006
0.365,209.709
0.366,209.412
0.367,209.115
0.368,208.818
0.369,208.521
0.37,208.224
0.371,207.927
0.372,207.63
0.373,207.333
0.374,207.036
0.375,206.739
0.376,206.442
0.377,206.144
0.378,205.847
0.379,205.55
0.38,205.253
0.381,204.955
0.382,204.658
0.383,204.361
0.384,204.063
0.385,203.766
0.386,203.468
0.387,203.171
0.388,202.873
0.389,202.576
0.39,202.278
0.391,201.981
0.392,201.683
0.393,201.385
0.394,201.088
0.395,200.79
0.396,200.492
0.397,200.194
0.398,199.897
0.399,199.599
0.4,199.301
0.401,199.003
0.402,198.705
0.403,198.407
0.404,198.109
0.405,197.811
0.406,197.513
0.407,197.215
0.408,196.917
0.409,196.619
0.41,196.321
0.411,196.023
0.412,195.724
0.413,195.426
0.414,195.128
0.415,194.83
0.416,194.531
0.417,194.233
0.418,193.935
0.419,193.636
0.42,193.338
0.421,193.04
0.422,192.741
0.423,192.443
0.424,192.144
0.425,191.846
0.426,191.547
0.427,191.249
0.428,190.95
0.429,190.651
0.43,190.353
0.431,190.054
0.432,189.755
0.433,189.457
0.434,189.158
0.435,188.859
0.436,188.56
0.437,188.261
0.438,187.963
0.439,187.664
0.44,187.365
0.441,187.066
0.442,186.767
0.443,186.468
0.444,186.169
0.445,185.87
0.446,185.571
0.447,185.272
0.448,184.972
0.449,184.673
0.45,184.374
0.451,184.075
0.452,183.776
0.453,183.477
0.454,183.177
0.455,182.878
0.456,182.579
0.457,182.279
0.458,181.98
0.459,181.681
0.46,181.381
0.461,181.082
0.462,180.782
0.463,180.483
0.464,180.183
0.465,179.884
0.466,179.584
0.467,179.285
0.468,178.985
0.469,178.685
0.47,178.386
0.471,178.086
0.472,177.786
0.473,177.486
0.474,177.187
0.475,176.887
0.476,176.587
0.477,176.287
0.478,175.987
0.479,175.688
0.48,175.388
0.481,175.088
0.482,174.788
0.483,174.488
0.484,174.188
0.485,173.888
0.486,173.588
0.487,173.288
0.488,172.988
0.489,172.688
0.49,172.387
0.491,172.087
0.492,171.787
0.493,171.487
0.494,171.187
0.495,170.886
0.496,170.586
0.497,170.286
0.498,169.986
0.499,169.685
0.5,169.385
0.501,169.084
0.502,168.784
0.503,168.484
0.504,168.183
0.505,167.883
0.506,167.582
0.507,167.282
0.508,166.981
0.509,166.681
0.51,166.38
0.511,166.079
0.512,165.779
0.513,165.478
0.514,165.177
0.515,164.877
0.516,164.576
0.517,164.275
0.518,163.975
0.519,163.674
0.52,163.373
0.521,163.072
0.522,162.771
0.523,162.47
0.524,162.17
0.525,161.869
0.526,161.568
0.527,161.267
0.528,160.966
0.529,160.665
0.53,160.364
0.531,160.063
0.532,159.762
0.533,159.461
0.534,159.159
0.535,158.858
0.536,158.557
0.537,158.256
0.538,157.955
0.539,157.654
0.54,157.352
0.541,157.051
0.542,156.75
0.543,156.449
0.544,156.147
0.545,155.846
0.546,155.545
0.547,155.243
0.548,154.942
0.549,154.641
0.55,154.339
0.551,154.038
0.552,153.736
0.553,153.435
0.554,153.133
0.555,152.832
0.556,152.53
0.557,152.229
0.558,151.927
0.559,151.626
0.56,151.324
0.561,151.022
0.562,150.721
0.563,150.419
0.564,150.117
0.565,149.816
0.566,149.514
0.567,149.212
0.568,148.91
0.569,148.609
0.57,148.307
0.571,148.005
0.572,147.703
0.573,147.401
0.574,147.099
0.575,146.798
0.576,146.496
0.577,146.194
0.578,145.892
0.579,145.59
0.58,145.288
0.581,144.986
0.582,144.684
0.583,144.382
0.584,144.08
0.585,143.778
0.586,143.476
0.587,143.174
0.588,142.871
0.589,142.569
0.59,142.267
0.591,141.965
0.592,141.663
0.593,141.361
0.594,141.058
0.595,140.756
0.596,140.454
0.597,140.152
0.598,139.849
0.599,139.547
0.6,139.245
0.601,138.942
0.602,138.64
0.603,138.338
0.604,138.035
0.605,137.733
0.606,137.431
0.607,137.128
0.608,136.826
0.609,136.523
0.61,136.221
0.611,135.918
0.612,135.616
0.613,135.313
0.614,135.011
0.615,134.708
0.616,134.406
0.617,134.103
0.618,133.8
0.619,133.498
0.62,133.195
0.621,132.893
0.622,132.59
0.623,132.287
0.624,131.985
0.625,131.682
0.626,131.379
0.627,131.076
0.628,130.774
0.629,130.471
0.63,130.168
0.631,129.865
0.632,129.563
0.633,129.26
0.634,128.957
0.635,128.654
0.636,128.351
0.637,128.048
0.638,127.746
0.639,127.443
0.64,127.14
0.641,126.837
0.642,126.534
0.643,126.231
0.644,125.928
0.645,125.625
0.646,125.322
0.647,125.019
0.648,124.716
0.649,124.413
0.65,124.11
0.651,123.807
0.652,123.504
0.653,123.201
0.654,122.898
0.655,122.595
0.656,122.292
0.657,121.989
0.658,121.685
0.659,121.382
0.66,121.079
0.661,120.776
0.662,120.473
0.663,120.17
0.664,119.867
0.665,119.563
0.666,119.26
0.667,118.957
0.668,118.654
0.669,118.35
0.67,118.047
0.671,117.744
0.672,117.441
0.673,117.137
0.674,116.834
0.675,116.531
0.676,116.227
0.677,115.924
0.678,115.621
0.679,115.317
0.68,115.014
0.681,114.711
0.682,114.407
0.683,114.104
0.684,113.801
0.685,113.497
0.686,113.194
0.687,112.89
0.688,112.587
0.689,112.283
0.69,111.98
0.691,111.677
0.692,111.373
0.693,111.07
0.694,110.766
0.695,110.463
0.696,110.159
0.697,109.856
0.698,109.552
0.699,109.249
0.7,108.945
0.701,108.642
0.702,108.338
0.703,108.034
0.704,107.731
0.705,107.427
0.706,107.124
0.707,106.82
0.708,106.517
0.709,106.213
0.71,105.909
0.711,105.606
0.712,105.302
0.713,104.999
0.714,104.695
0.715,104.391
0.716,104.088
0.717,103.784
0.718,103.48
0.719,103.177
0.72,102.873
0.721,102.569
0.722,102.266
0.723,101.962
0.724,101.658
0.725,101.355
0.726,101.051
0.727,100.747
0.728,100.444
0.729,100.14
0.73,99.8363
0.731,99.5326
0.732,99.2289
0.733,98.9251
0.734,98.6214
0.735,98.3177
0.736,98.014
0.737,97.7102
0.738,97.4065
0.739,97.1027
0.74,96.799
0.741,96.4952
0.742,96.1915
0.743,95.8877
0.744,95.584
0.745,95.2802
0.746,94.9764
0.747,94.6727
0.748,94.3689
0.749,94.0651
0.75,93.7614
0.751,93.4576
0.752,93.1538
0.753,92.85
0.754,92.5462
0.755,92.2425
0.756,91.9387
0.757,91.6349
0.758,91.3311
0.759,91.0273
0.76,90.7235
0.761,90.4197
0.762,90.1159
0.763,89.8121
0.764,89.5083
0.765,89.2046
0.766,88.9008
0.767,88.597
0.768,88.2932
0.769,87.9894
0.77,87.6856
0.771,87.3818
0.772,87.078
0.773,86.7742
0.774,86.4704
0.775,86.1666
0.776,85.8628
0.777,85.559
0.778,85.2553
0.779,84.9515
0.78,84.6477
0.781,84.3439
0.782,84.0401
0.783,83.7363
0.784,83.4326
0.785,83.1288
0.786,82.825
0.787,82.5212
0.788,82.2175
0.789,81.9137
0.79,81.6099
0.791,81.3062
0.792,81.0024
0.793,80.6987
0.794,80.3949
0.795,80.0912
0.796,79.7874
0.797,79.4837
0.798,79.1799
0.799,78.8762
0.8,78.5725
0.801,78.2688
0.802,77.965
0.803,77.6613
0.804,77.3576
0.805,77.0539
0.806,76.7502
0.807,76.4465
0.808,76.1428
0.809,75.8391
0.81,75.5355
0.811,75.2318
0.812,74.9281
0.813,74.6245
0.814,74.3208
0.815,74.0172
0.816,73.7135
0.817,73.4099
0.818,73.1063
0.819,72.8026
0.82,72.499
0.821,72.1954
0.822,71.8918
0.823,71.5882
0.824,71.2846
0.825,70.9811
0.826,70.6775
0.827,70.3739
0.828,70.0704
0.829,69.7668
0.83,69.4633
0.831,69.1598
0.832,68.8563
0.833,68.5528
0.834,68.2493
0.835,67.9458
0.836,67.6423
0.837,67.3388
0.838,67.0354
0.839,66.7319
0.84,66.4285
0.841,66.125
0.842,65.8216
0.843,65.5182
0.844,65.2148
0.845,64.9114
0.846,64.608
0.847,64.3047
0.848,64.0013
0.849,63.698
0.85,63.3947
0.851,63.0913
0.852,62.788
0.853,62.4847
0.854,62.1815
0.855,61.8782
0.856,61.5749
0.857,61.2717
0.858,60.9685
0.859,60.6653
0.86,60.3621
0.861,60.0589
0.862,59.7557
0.863,59.4526
0.864,59.1494
0.865,58.8463
0.866,58.5432
0.867,58.2401
0.868,57.937
0.869,57.6339
0.87,57.3309
0.871,57.0278
0.872,56.7248
0.873,56.4218
0.874,56.1188
0.875,55.8158
0.876,55.5129
0.877,55.2099
0.878,54.907
0.879,54.6041
0.88,54.3012
0.881,53.9983
0.882,53.6955
0.883,53.3926
0.884,53.0898
0.885,52.787
