"time","x","der_x_","k"
0,1,-1,1
0.001,1,-1,1
0.001,0.999,-0.999,1
0.002,0.999,-0.999,1
0.002,0.998002,-0.998002,1
0.003,0.998002,-0.998002,1
0.003,0.997004,-0.997004,1
0.004,0.997004,-0.997004,1
0.004,0.996008,-0.996008,1
0.005,0.996008,-0.996008,1
0.005,0.995012,-0.995012,1
0.006,0.995012,-0.995012,1
0.006,0.994018,-0.994018,1
0.007,0.994018,-0.994018,1
0.007,0.993024,-0.993024,1
0.008,0.993024,-0.993024,1
0.008,0.992032,-0.992032,1
0.009,0.992032,-0.992032,1
0.009,0.99104,-0.99104,1
0.01,0.99104,-0.99104,1
0.01,0.990049,-0.990049,1
0.011,0.990049,-0.990049,1
0.011,0.98906,-0.98906,1
0.012,0.98906,-0.98906,1
0.012,0.988071,-0.988071,1
0.013,0.988071,-0.988071,1
0.013,0.987083,-0.987083,1
0.014,0.987083,-0.987083,1
0.014,0.986097,-0.986097,1
0.015,0.986097,-0.986097,1
0.015,0.985111,-0.985111,1
0.016,0.985111,-0.985111,1
0.016,0.984127,-0.984127,1
0.017,0.984127,-0.984127,1
0.017,0.983143,-0.983143,1
0.018,0.983143,-0.983143,1
0.018,0.98216,-0.98216,1
0.019,0.98216,-0.98216,1
0.019,0.981178,-0.981178,1
0.02,0.981178,-0.981178,1
0.02,0.980198,-0.980198,1
0.021,0.980198,-0.980198,1
0.021,0.979218,-0.979218,1
0.022,0.979218,-0.979218,1
0.022,0.978239,-0.978239,1
0.023,0.978239,-0.978239,1
0.023,0.977261,-0.977261,1
0.024,0.977261,-0.977261,1
0.024,0.976285,-0.976285,1
0.025,0.976285,-0.976285,1
0.025,0.975309,-0.975309,1
0.026,0.975309,-0.975309,1
0.026,0.974334,-0.974334,1
0.027,0.974334,-0.974334,1
0.027,0.97336,-0.97336,1
0.028,0.97336,-0.97336,1
0.028,0.972387,-0.972387,1
0.029,0.972387,-0.972387,1
0.029,0.971415,-0.971415,1
0.03,0.971415,-0.971415,1
0.03,0.970444,-0.970444,1
0.031,0.970444,-0.970444,1
0.031,0.969474,-0.969474,1
0.032,0.969474,-0.969474,1
0.032,0.968505,-0.968505,1
0.033,0.968505,-0.968505,1
0.033,0.967537,-0.967537,1
0.034,0.967537,-0.967537,1
0.034,0.96657,-0.96657,1
0.035,0.96657,-0.96657,1
0.035,0.965604,-0.965604,1
0.036,0.965604,-0.965604,1
0.036,0.964639,-0.964639,1
0.037,0.964639,-0.964639,1
0.037,0.963674,-0.963674,1
0.038,0.963674,-0.963674,1
0.038,0.962711,-0.962711,1
0.039,0.962711,-0.962711,1
0.039,0.961749,-0.961749,1
0.04,0.961749,-0.961749,1
0.04,0.960788,-0.960788,1
0.041,0.960788,-0.960788,1
0.041,0.959827,-0.959827,1
0.042,0.959827,-0.959827,1
0.042,0.958868,-0.958868,1
0.043,0.958868,-0.958868,1
0.043,0.957909,-0.957909,1
0.044,0.957909,-0.957909,1
0.044,0.956952,-0.956952,1
0.045,0.956952,-0.956952,1
0.045,0.955995,-0.955995,1
0.046,0.955995,-0.955995,1
0.046,0.95504,-0.95504,1
0.047,0.95504,-0.95504,1
0.047,0.954085,-0.954085,1
0.048,0.954085,-0.954085,1
0.048,0.953131,-0.953131,1
0.049,0.953131,-0.953131,1
0.049,0.952179,-0.952179,1
0.05,0.952179,-0.952179,1
0.05,0.951227,-0.951227,1
0.051,0.951227,-0.951227,1
0.051,0.950276,-0.950276,1
0.052,0.950276,-0.950276,1
0.052,0.949326,-0.949326,1
0.053,0.949326,-0.949326,1
0.053,0.948377,-0.948377,1
0.054,0.948377,-0.948377,1
0.054,0.94743,-0.94743,1
0.055,0.94743,-0.94743,1
