"time","egsCarSpeed","egsGear","egsTargetGear","valves_0eds","valves_0eds1","valves_0eds2","valves_0eds3","valves_0eds4","valves_0eds5","valves_0mv1","valves_0mv2","valves_0mv3"
0,0,0,0,0,0,0,0,0,0,0,0,0
0.03356,0,0,0,0,0,0,0,0,0,0,0,0
0.03356,0,-2,0,0,0,0.06,0.06,0,0,0,0,0
0.06712,0,-2,0,0,0,0.06,0.06,0,0,0,0,0
0.06712,0,-2,0,0,0,0.12,0.12,0,0,0,0,0
0.10068,0,-2,0,0,0,0.12,0.12,0,0,0,0,0
0.10068,0,-2,0,0,0,0.18,0.18,0,0,0,0,0
0.13424,0,-2,0,0,0,0.18,0.18,0,0,0,0,0
0.13424,0,-2,0,0,0,0.24,0.24,0,0,0,0,0
0.1678,0,-2,0,0,0,0.24,0.24,0,0,0,0,0
0.1678,0,-2,0,0,0,0.3,0.3,0,0,0,0,0
0.20136,0,-2,0,0,0,0.3,0.3,0,0,0,0,0
0.20136,0,-2,0,0,0,0.36,0.36,0,0,0,0,0
0.23492,0,-2,0,0,0,0.36,0.36,0,0,0,0,0
0.23492,0,-2,0,0,0,0.42,0.42,0,0,0,0,0
0.26848,0,-2,0,0,0,0.42,0.42,0,0,0,0,0
0.26848,0,-2,0,0,0,0.48,0.48,0,0,0,0,0
0.30204,0,-2,0,0,0,0.48,0.48,0,0,0,0,0
0.30204,0,-2,0,0,0,0.54,0.54,0,0,0,0,0
0.3356,0,-2,0,0,0,0.54,0.54,0,0,0,0,0
0.3356,-0.562,-2,0,0,0,0.6,0.6,0,0,0,0,0
0.36916,-0.562,-2,0,0,0,0.6,0.6,0,0,0,0,0
0.36916,0.131,-2,0,0,0,0.66,0.66,0,0,0,0,0
0.40272,0.131,-2,0,0,0,0.66,0.66,0,0,0,0,0
0.40272,0.156,-2,0,0,0,0.72,0.72,0,0,0,0,0
0.43628,0.156,-2,0,0,0,0.72,0.72,0,0,0,0,0
0.43628,0.181,-2,0,0,0,0.78,0.78,0,0,0,0,0
0.46984,0.181,-2,0,0,0,0.78,0.78,0,0,0,0,0
0.46984,0.213,-2,0,0,0,0.84,0.84,0,0,0,0,0
0.5034,0.213,-2,0,0,0,0.84,0.84,0,0,0,0,0
0.5034,0.244,-2,0,0,0,0.9,0.9,0,0,0,0,0
0.53696,0.244,-2,0,0,0,0.9,0.9,0,0,0,0,0
0.53696,0.221,-2,0,0,0,0.96,0.96,0,0,0,0,0
0.57052,0.221,-2,0,0,0,0.96,0.96,0,0,0,0,0
0.57052,0.238,-2,0,0,0,1,1,0,0,0,0,0
0.60408,0.238,-2,0,0,0,1,1,0,0,0,0,0
0.60408,0.237,-2,0,0,0,1,1,0,0,0,0,0
0.63764,0.237,-2,0,0,0,1,1,0,0,0,0,0
0.63764,0.236,-2,0,0,0,1,1,0,0,0,0,0
0.6712,0.236,-2,0,0,0,1,1,0,0,0,0,0
0.6712,0.235,-2,0,0,0,1,1,0,0,0,0,0
0.70476,0.235,-2,0,0,0,1,1,0,0,0,0,0
