time,der_p,der_T
0.00000,0.00000,0.00000
0.00200,0.00000,0.00000
0.00400,0.00000,0.00000
0.00600,0.00000,0.00000
0.00800,0.00000,0.00000
0.01000,0.00000,0.00000
0.01200,0.00000,0.00000
0.01400,0.00000,0.00000
0.01600,0.00000,0.00000
0.01800,0.00000,0.00000
0.02000,0.00000,0.00000
0.02200,0.00000,0.00000
0.02400,0.00000,0.00000
0.02600,0.00000,0.00000
0.02800,0.00000,0.00000
0.03000,0.00000,0.00000
0.03200,0.00000,0.00000
0.03400,0.00000,0.00000
0.03600,0.00000,0.00000
0.03800,0.00000,0.00000
0.04000,0.00000,0.00000
0.04200,0.00000,0.00000
0.04400,0.00000,0.00000
0.04600,0.00000,0.00000
0.04800,0.00000,0.00000
0.05000,0.00000,0.00000
0.05200,0.00000,0.00000
0.05400,0.00000,0.00000
0.05600,0.00000,0.00000
0.05800,0.00000,0.00000
0.06000,0.00000,0.00000
0.06200,0.00000,0.00000
0.06400,0.00000,0.00000
0.06600,0.00000,0.00000
0.06800,0.00000,0.00000
0.07000,0.00000,0.00000
0.07200,0.00000,0.00000
0.07400,0.00000,0.00000
0.07600,0.00000,0.00000
0.07800,0.00000,0.00000
0.08000,0.00000,0.00000
0.08200,0.00000,0.00000
0.08400,0.00000,0.00000
0.08600,0.00000,0.00000
0.08800,0.00000,0.00000
0.09000,0.00000,0.00000
0.09200,0.00000,0.00000
0.09400,0.00000,0.00000
0.09600,0.00000,0.00000
0.09800,0.00000,0.00000
0.10000,0.00000,0.00000
0.10200,0.00000,0.00000
0.10400,0.00000,0.00000
0.10600,0.00000,0.00000
0.10800,0.00000,0.00000
0.11000,0.00000,0.00000
0.11200,0.00000,0.00000
0.11400,0.00000,0.00000
0.11600,0.00000,0.00000
0.11800,0.00000,0.00000
0.12000,0.00000,0.00000
0.12200,0.00000,0.00000
0.12400,0.00000,0.00000
0.12600,0.00000,0.00000
0.12800,0.00000,0.00000
0.13000,0.00000,0.00000
0.13200,0.00000,0.00000
0.13400,0.00000,0.00000
0.13600,0.00000,0.00000
0.13800,0.00000,0.00000
0.14000,0.00000,0.00000
0.14200,0.00000,0.00000
0.14400,0.00000,0.00000
0.14600,0.00000,0.00000
0.14800,0.00000,0.00000
0.15000,0.00000,0.00000
0.15200,0.00000,0.00000
0.15400,0.00000,0.00000
0.15600,0.00000,0.00000
0.15800,0.00000,0.00000
0.16000,0.00000,0.00000
0.16200,0.00000,0.00000
0.16400,0.00000,0.00000
0.16600,0.00000,0.00000
0.16800,0.00000,0.00000
0.17000,0.00000,0.00000
0.17200,0.00000,0.00000
0.17400,0.00000,0.00000
0.17600,0.00000,0.00000
0.17800,0.00000,0.00000
0.18000,0.00000,0.00000
0.18200,0.00000,0.00000
0.18400,0.00000,0.00000
0.18600,0.00000,0.00000
0.18800,0.00000,0.00000
0.19000,0.00000,0.00000
0.19200,0.00000,0.00000
0.19400,0.00000,0.00000
0.19600,0.00000,0.00000
0.19800,0.00000,0.00000
0.20000,0.00000,0.00000
0.20200,0.00000,0.00000
0.20400,0.00000,0.00000
0.20600,0.00000,0.00000
0.20800,0.00000,0.00000
0.21000,0.00000,0.00000
0.21200,0.00000,0.00000
0.21400,0.00000,0.00000
0.21600,0.00000,0.00000
0.21800,0.00000,0.00000
0.22000,0.00000,0.00000
0.22200,0.00000,0.00000
0.22400,0.00000,0.00000
0.22600,0.00000,0.00000
0.22800,0.00000,0.00000
0.23000,0.00000,0.00000
0.23200,0.00000,0.00000
0.23400,0.00000,0.00000
0.23600,0.00000,0.00000
0.23800,0.00000,0.00000
0.24000,0.00000,0.00000
0.24200,0.00000,0.00000
0.24400,0.00000,0.00000
0.24600,0.00000,0.00000
0.24800,0.00000,0.00000
0.25000,0.00000,0.00000
0.25200,0.00000,0.00000
0.25400,0.00000,0.00000
0.25600,0.00000,0.00000
0.25800,0.00000,0.00000
0.26000,0.00000,0.00000
0.26200,0.00000,0.00000
0.26400,0.00000,0.00000
0.26600,0.00000,0.00000
0.26800,0.00000,0.00000
0.27000,0.00000,0.00000
0.27200,0.00000,0.00000
0.27400,0.00000,0.00000
0.27600,0.00000,0.00000
0.27800,0.00000,0.00000
0.28000,0.00000,0.00000
0.28200,0.00000,0.00000
0.28400,0.00000,0.00000
0.28600,0.00000,0.00000
0.28800,0.00000,0.00000
0.29000,0.00000,0.00000
0.29200,0.00000,0.00000
0.29400,0.00000,0.00000
0.29600,0.00000,0.00000
0.29800,0.00000,0.00000
0.30000,-0.00000,-0.00000
0.30200,-8.97511,-0.11377
0.30400,-17.30087,-0.22570
0.30600,-24.98480,-0.33580
0.30800,-32.03442,-0.44407
0.31000,-38.45726,-0.55053
0.31200,-44.26084,-0.65518
0.31400,-49.45267,-0.75805
0.31600,-54.04028,-0.85912
0.31800,-58.03118,-0.95842
0.32000,-61.43290,-1.05596
0.32200,-64.25296,-1.15173
0.32400,-66.49888,-1.24576
0.32600,-68.17818,-1.33805
0.32800,-69.29837,-1.42862
0.33000,-69.86698,-1.51746
0.33200,-69.89154,-1.60459
0.33400,-69.37955,-1.69003
0.33600,-68.33854,-1.77377
0.33800,-66.77603,-1.85583
0.34000,-64.69954,-1.93622
0.34200,-62.11658,-2.01495
0.34400,-59.03469,-2.09202
0.34600,-55.46137,-2.16745
0.34800,-51.40416,-2.24125
0.35000,-46.87056,-2.31342
0.35200,-41.86810,-2.38397
0.35400,-36.40429,-2.45292
0.35600,-30.48667,-2.52027
0.35800,-24.12274,-2.58604
0.36000,-17.32002,-2.65023
0.36200,-10.08605,-2.71285
0.36400,-2.42832,-2.77390
0.36600,5.64563,-2.83341
0.36800,14.12828,-2.89138
0.37000,23.01213,-2.94782
0.37200,32.28964,-3.00274
0.37400,41.95330,-3.05615
0.37600,51.99559,-3.10805
0.37800,62.40899,-3.15846
0.38000,73.18598,-3.20739
0.38200,84.31905,-3.25484
0.38400,95.80067,-3.30083
0.38600,107.62333,-3.34536
0.38800,119.77950,-3.38844
0.39000,132.26167,-3.43009
0.39200,145.06232,-3.47032
0.39400,158.17393,-3.50912
0.39600,171.58898,-3.54651
0.39800,185.29995,-3.58251
0.40000,199.29933,-3.61712
0.40200,213.57960,-3.65034
0.40400,228.13323,-3.68220
0.40600,242.95272,-3.71269
0.40800,258.03053,-3.74183
0.41000,273.35916,-3.76963
