time,Out1
0.00000,0.00000
0.01000,0.01000
0.02000,0.02000
0.03000,0.03000
0.04000,0.03999
0.05000,0.04998
0.06000,0.05996
0.07000,0.06994
0.08000,0.07991
0.09000,0.08988
0.10000,0.09983
0.11000,0.10978
0.12000,0.11971
0.13000,0.12963
0.14000,0.13954
0.15000,0.14944
0.16000,0.15932
0.17000,0.16918
0.18000,0.17903
0.19000,0.18886
0.20000,0.19867
0.21000,0.20846
0.22000,0.21823
0.23000,0.22798
0.24000,0.23770
0.25000,0.24740
0.26000,0.25708
0.27000,0.26673
0.28000,0.27636
0.29000,0.28595
0.30000,0.29552
0.31000,0.30506
0.32000,0.31457
0.33000,0.32404
0.34000,0.33349
0.35000,0.34290
0.36000,0.35227
0.37000,0.36162
0.38000,0.37092
0.39000,0.38019
0.40000,0.38942
0.41000,0.39861
0.42000,0.40776
0.43000,0.41687
0.44000,0.42594
0.45000,0.43497
0.46000,0.44395
0.47000,0.45289
0.48000,0.46178
0.49000,0.47063
0.50000,0.47943
0.51000,0.48818
0.52000,0.49688
0.53000,0.50553
0.54000,0.51414
0.55000,0.52269
0.56000,0.53119
0.57000,0.53963
0.58000,0.54802
0.59000,0.55636
0.60000,0.56464
0.61000,0.57287
0.62000,0.58104
0.63000,0.58914
0.64000,0.59720
0.65000,0.60519
0.66000,0.61312
0.67000,0.62099
0.68000,0.62879
0.69000,0.63654
0.70000,0.64422
0.71000,0.65183
0.72000,0.65938
0.73000,0.66687
0.74000,0.67429
0.75000,0.68164
0.76000,0.68892
0.77000,0.69614
0.78000,0.70328
0.79000,0.71035
0.80000,0.71736
0.81000,0.72429
0.82000,0.73115
0.83000,0.73793
0.84000,0.74464
0.85000,0.75128
0.86000,0.75784
0.87000,0.76433
0.88000,0.77074
0.89000,0.77707
0.90000,0.78333
0.91000,0.78950
0.92000,0.79560
0.93000,0.80162
0.94000,0.80756
0.95000,0.81342
0.96000,0.81919
0.97000,0.82489
0.98000,0.83050
0.99000,0.83603
1.00000,0.84147
1.01000,0.84683
1.02000,0.85211
1.03000,0.85730
1.04000,0.86240
1.05000,0.86742
1.06000,0.87236
1.07000,0.87720
1.08000,0.88196
1.09000,0.88663
1.10000,0.89121
1.11000,0.89570
1.12000,0.90010
1.13000,0.90441
1.14000,0.90863
1.15000,0.91276
1.16000,0.91680
1.17000,0.92075
1.18000,0.92461
1.19000,0.92837
1.20000,0.93204
1.21000,0.93562
1.22000,0.93910
1.23000,0.94249
1.24000,0.94578
1.25000,0.94898
1.26000,0.95209
1.27000,0.95510
1.28000,0.95802
1.29000,0.96084
1.30000,0.96356
1.31000,0.96618
1.32000,0.96872
1.33000,0.97115
1.34000,0.97348
1.35000,0.97572
1.36000,0.97786
1.37000,0.97991
1.38000,0.98185
1.39000,0.98370
1.40000,0.98545
1.41000,0.98710
1.42000,0.98865
1.43000,0.99010
1.44000,0.99146
1.45000,0.99271
1.46000,0.99387
1.47000,0.99492
1.48000,0.99588
1.49000,0.99674
1.50000,0.99749
1.51000,0.99815
1.52000,0.99871
1.53000,0.99917
1.54000,0.99953
1.55000,0.99978
1.56000,0.99994
1.57000,1.00000
1.58000,0.99996
1.59000,0.99982
1.60000,0.99957
1.61000,0.99923
1.62000,0.99879
1.63000,0.99825
1.64000,0.99761
1.65000,0.99687
1.66000,0.99602
1.67000,0.99508
1.68000,0.99404
1.69000,0.99290
1.70000,0.99166
1.71000,0.99033
1.72000,0.98889
1.73000,0.98735
1.74000,0.98572
1.75000,0.98399
1.76000,0.98215
1.77000,0.98022
1.78000,0.97820
1.79000,0.97607
1.80000,0.97385
1.81000,0.97153
1.82000,0.96911
1.83000,0.96659
1.84000,0.96398
1.85000,0.96128
1.86000,0.95847
1.87000,0.95557
1.88000,0.95258
1.89000,0.94949
1.90000,0.94630
1.91000,0.94302
1.92000,0.93965
1.93000,0.93618
1.94000,0.93262
1.95000,0.92896
1.96000,0.92521
1.97000,0.92137
1.98000,0.91744
1.99000,0.91341
2.00000,0.90930
2.01000,0.90509
2.02000,0.90079
2.03000,0.89641
2.04000,0.89193
2.05000,0.88736
2.06000,0.88271
2.07000,0.87796
2.08000,0.87313
2.09000,0.86821
2.10000,0.86321
2.11000,0.85812
2.12000,0.85294
2.13000,0.84768
2.14000,0.84233
2.15000,0.83690
2.16000,0.83138
2.17000,0.82578
2.18000,0.82010
2.19000,0.81434
2.20000,0.80850
2.21000,0.80257
2.22000,0.79657
2.23000,0.79048
2.24000,0.78432
2.25000,0.77807
2.26000,0.77175
2.27000,0.76535
2.28000,0.75888
2.29000,0.75233
2.30000,0.74571
2.31000,0.73901
2.32000,0.73223
2.33000,0.72538
2.34000,0.71846
2.35000,0.71147
2.36000,0.70441
2.37000,0.69728
2.38000,0.69007
2.39000,0.68280
2.40000,0.67546
2.41000,0.66806
2.42000,0.66058
2.43000,0.65304
2.44000,0.64543
2.45000,0.63776
2.46000,0.63003
2.47000,0.62223
2.48000,0.61437
2.49000,0.60645
2.50000,0.59847
2.51000,0.59043
2.52000,0.58233
2.53000,0.57417
2.54000,0.56596
2.55000,0.55768
2.56000,0.54936
2.57000,0.54097
2.58000,0.53253
2.59000,0.52404
2.60000,0.51550
2.61000,0.50691
2.62000,0.49826
2.63000,0.48957
2.64000,0.48082
2.65000,0.47203
2.66000,0.46319
2.67000,0.45431
2.68000,0.44537
2.69000,0.43640
2.70000,0.42738
2.71000,0.41832
2.72000,0.40921
2.73000,0.40007
2.74000,0.39088
2.75000,0.38166
2.76000,0.37240
2.77000,0.36310
2.78000,0.35376
2.79000,0.34439
2.80000,0.33499
2.81000,0.32555
2.82000,0.31608
2.83000,0.30657
2.84000,0.29704
2.85000,0.28748
2.86000,0.27789
2.87000,0.26827
2.88000,0.25862
2.89000,0.24895
2.90000,0.23925
2.91000,0.22953
2.92000,0.21978
2.93000,0.21002
2.94000,0.20023
2.95000,0.19042
2.96000,0.18060
2.97000,0.17075
2.98000,0.16089
