time,revolute1.w,revolute2.w
0.00000,0.00000,0.00000
0.01000,-0.25142,0.33396
0.02000,-0.50270,0.66755
0.03000,-0.75377,1.00052
0.04000,-1.00444,1.33228
0.05000,-1.25439,1.66169
0.06000,-1.50303,1.98679
0.07000,-1.74955,2.30485
0.08000,-1.99287,2.61215
0.09000,-2.23162,2.90408
0.10000,-2.46425,3.17525
0.11000,-2.68904,3.41974
0.12000,-2.90429,3.63147
0.13000,-3.10838,3.80470
0.14000,-3.29997,3.93437
0.15000,-3.47802,4.01639
0.16000,-3.64194,4.04820
0.17000,-3.79151,4.02849
0.18000,-3.92669,3.95678
0.19000,-4.04765,3.83357
0.20000,-4.15458,3.65992
0.21000,-4.24758,3.43713
0.22000,-4.32655,3.16645
0.23000,-4.39111,2.84905
0.24000,-4.44056,2.48578
0.25000,-4.47387,2.07718
0.26000,-4.48967,1.62351
0.27000,-4.48625,1.12468
0.28000,-4.46166,0.58033
0.29000,-4.41371,-0.01020
0.30000,-4.34010,-0.64780
0.31000,-4.23850,-1.33359
0.32000,-4.10672,-2.06886
0.33000,-3.94286,-2.85489
0.34000,-3.74569,-3.69246
0.35000,-3.51489,-4.58130
0.36000,-3.25209,-5.51799
0.37000,-2.96192,-6.49300
0.38000,-2.65421,-7.48493
0.39000,-2.34678,-8.45223
0.40000,-2.06877,-9.32321
0.41000,-1.86098,-9.99355
0.42000,-1.76846,-10.34486
0.43000,-1.82291,-10.29231
0.44000,-2.02552,-9.83158
0.45000,-2.34636,-9.04056
0.46000,-2.74136,-8.03226
0.47000,-3.16980,-6.90791
0.48000,-3.60212,-5.73719
0.49000,-4.02002,-4.55997
0.50000,-4.41312,-3.39690
0.51000,-4.77636,-2.25711
0.52000,-5.10809,-1.14375
0.53000,-5.40862,-0.05775
0.54000,-5.67955,1.00072
0.55000,-5.92322,2.03097
0.56000,-6.14203,3.03086
0.57000,-6.33794,3.99562
0.58000,-6.51174,4.91626
0.59000,-6.66199,5.77746
0.60000,-6.78379,6.55440
0.61000,-6.86894,7.21296
0.62000,-6.90525,7.70938
0.63000,-6.87922,7.99834
0.64000,-6.78080,8.04751
0.65000,-6.60800,7.85166
0.66000,-6.36888,7.43843
0.67000,-6.07938,6.86072
0.68000,-5.75735,6.17800
0.69000,-5.41841,5.44310
0.70000,-5.07391,4.69538
0.71000,-4.73079,3.96002
0.72000,-4.39282,3.25163
0.73000,-4.06167,2.57751
0.74000,-3.73772,1.94010
0.75000,-3.42074,1.33916
0.76000,-3.11012,0.77273
0.77000,-2.80517,0.23801
0.78000,-2.50517,-0.26828
0.79000,-2.20941,-0.74970
0.80000,-1.91721,-1.20990
0.81000,-1.62791,-1.65260
0.82000,-1.34087,-2.08148
0.83000,-1.05549,-2.50012
0.84000,-0.77118,-2.91194
0.85000,-0.48745,-3.32000
0.86000,-0.20394,-3.72692
0.87000,0.07950,-4.13442
0.88000,0.36257,-4.54281
0.89000,0.64447,-4.95068
0.90000,0.92361,-5.35410
0.91000,1.19761,-5.74647
0.92000,1.46304,-6.11785
0.93000,1.71596,-6.45637
0.94000,1.95232,-6.74953
0.95000,2.16874,-6.98626
0.96000,2.36328,-7.15948
0.97000,2.53592,-7.26729
0.98000,2.68854,-7.31323
0.99000,2.82425,-7.30420
1.00000,2.94673,-7.24870
1.01000,3.05982,-7.15563
1.02000,3.16695,-7.03270
1.03000,3.27095,-6.88581
1.04000,3.37408,-6.71929
1.05000,3.47793,-6.53552
1.06000,3.58372,-6.33598
1.07000,3.69217,-6.12077
1.08000,3.80370,-5.88937
1.09000,3.91842,-5.64063
1.10000,4.03613,-5.37291
1.11000,4.15630,-5.08418
1.12000,4.27808,-4.77218
1.13000,4.40024,-4.43451
1.14000,4.52119,-4.06868
1.15000,4.63886,-3.67227
1.16000,4.75072,-3.24296
1.17000,4.85373,-2.77861
1.18000,4.94431,-2.27735
1.19000,5.01840,-1.73764
1.20000,5.07153,-1.15829
1.21000,5.09876,-0.53845
1.22000,5.09488,0.12237
1.23000,5.05464,0.82452
1.24000,4.97298,1.56836
1.25000,4.84502,2.35450
1.26000,4.66647,3.18436
1.27000,4.43358,4.06055
1.28000,4.14319,4.98768
1.29000,3.79262,5.97319
1.30000,3.37927,7.02862
1.31000,2.90020,8.17093
1.32000,2.35141,9.42464
1.33000,1.72702,10.82385
1.34000,1.01898,12.41391
1.35000,0.21891,14.24680
1.36000,-0.67253,16.35693
1.37000,-1.61206,18.66782
1.38000,-2.43407,20.76201
1.39000,-2.79907,21.71778
1.40000,-2.46996,20.87661
1.41000,-1.65492,18.81701
1.42000,-0.70167,16.48565
1.43000,0.21054,14.33819
1.44000,1.03238,12.46675
1.45000,1.76142,10.84035
1.46000,2.40579,9.40600
1.47000,2.97339,8.11791
1.48000,3.47006,6.94059
1.49000,3.89972,5.84910
1.50000,4.26526,4.82588
1.51000,4.56918,3.85941
1.52000,4.81428,2.94206
1.53000,5.00381,2.06932
1.54000,5.14177,1.23868
1.55000,5.23278,0.44886
1.56000,5.28209,-0.30070
1.57000,5.29521,-1.01038
1.58000,5.27782,-1.68060
1.59000,5.23552,-2.31209
1.60000,5.17363,-2.90605
1.61000,5.09712,-3.46405
1.62000,5.01042,-3.98825
1.63000,4.91742,-4.48127
1.64000,4.82147,-4.94596
1.65000,4.72542,-5.38554
1.66000,4.63155,-5.80337
1.67000,4.54173,-6.20282
1.68000,4.45735,-6.58714
1.69000,4.37937,-6.95927
1.70000,4.30828,-7.32143
1.71000,4.24396,-7.67468
1.72000,4.18549,-8.01828
1.73000,4.13093,-8.34878
1.74000,4.07679,-8.65854
1.75000,4.01758,-8.93428
1.76000,3.94546,-9.15606
1.77000,3.85052,-9.29803
1.78000,3.72185,-9.33157
1.79000,3.55085,-9.23482
1.80000,3.33435,-9.00191
1.81000,3.07639,-8.64779
1.82000,2.78688,-8.20417
1.83000,2.47787,-7.70845
1.84000,2.16018,-7.19373
1.85000,1.84169,-6.68384
1.86000,1.52705,-6.19261
1.87000,1.21848,-5.72637
1.88000,0.91648,-5.28604
1.89000,0.62063,-4.86963
1.90000,0.33002,-4.47339
1.91000,0.04346,-4.09263
1.92000,-0.24004,-3.72291
1.93000,-0.52149,-3.35961
1.94000,-0.80190,-2.99773
1.95000,-1.08197,-2.63307
1.96000,-1.36232,-2.26140
1.97000,-1.64346,-1.87862
1.98000,-1.92583,-1.48071
1.99000,-2.20978,-1.06376
2.00000,-2.49562,-0.62398
2.01000,-2.78368,-0.15748
2.02000,-3.07438,0.33977
2.03000,-3.36833,0.87200
2.04000,-3.66636,1.44378
2.05000,-3.96963,2.06015
2.06000,-4.27976,2.72678
2.07000,-4.59888,3.45011
2.08000,-4.92978,4.23747
2.09000,-5.27589,5.09699
2.10000,-5.64114,6.03697
2.11000,-6.02951,7.06434
2.12000,-6.44355,8.18001
2.13000,-6.88130,9.36937
2.14000,-7.33044,10.58484
2.15000,-7.76006,11.72124
2.16000,-8.11455,12.59862
2.17000,-8.32846,13.00862
2.18000,-8.36526,12.83354
2.19000,-8.24575,12.13358
2.20000,-8.02791,11.08695
2.21000,-7.76697,9.86891
2.22000,-7.49640,8.59304
2.23000,-7.22982,7.31540
2.24000,-6.96878,6.05701
2.25000,-6.70878,4.82168
2.26000,-6.44285,3.60505
2.27000,-6.16338,2.40091
2.28000,-5.86301,1.20251
2.29000,-5.53509,0.00278
2.30000,-5.17395,-1.20532
2.31000,-4.77492,-2.42952
2.32000,-4.33445,-3.67883
2.33000,-3.84991,-4.96367
2.34000,-3.31993,-6.29587
2.35000,-2.74495,-7.68675
2.36000,-2.12915,-9.14171
2.37000,-1.48493,-10.64714
2.38000,-0.84248,-12.14258
2.39000,-0.26323,-13.48020
2.40000,0.15613,-14.40879
2.41000,0.32016,-14.67180
2.42000,0.20879,-14.21530
2.43000,-0.10280,-13.24481
2.44000,-0.50935,-12.04287
2.45000,-0.93344,-10.80958
2.46000,-1.33444,-9.64175
2.47000,-1.69493,-8.57376
2.48000,-2.00964,-7.60938
2.49000,-2.27850,-6.74124
2.50000,-2.50340,-5.95907
2.51000,-2.68693,-5.25316
2.52000,-2.83180,-4.61515
2.53000,-2.94078,-4.03801
2.54000,-3.01654,-3.51629
2.55000,-3.06167,-3.04559
2.56000,-3.07871,-2.62235
2.57000,-3.07009,-2.24361
2.58000,-3.03817,-1.90692
2.59000,-2.98519,-1.61005
2.60000,-2.91330,-1.35093
2.61000,-2.82450,-1.12772
2.62000,-2.72062,-0.93867
2.63000,-2.60335,-0.78202
2.64000,-2.47424,-0.65596
2.65000,-2.33472,-0.55868
2.66000,-2.18603,-0.48837
2.67000,-2.02931,-0.44321
2.68000,-1.86557,-0.42130
2.69000,-1.69570,-0.42074
2.70000,-1.52051,-0.43955
2.71000,-1.34070,-0.47576
2.72000,-1.15692,-0.52735
2.73000,-0.96973,-0.59228
2.74000,-0.77964,-0.66851
2.75000,-0.58709,-0.75395
2.76000,-0.39251,-0.84652
2.77000,-0.19625,-0.94415
2.78000,0.00137,-1.04476
2.79000,0.20006,-1.14629
2.80000,0.39957,-1.24669
2.81000,0.59967,-1.34392
2.82000,0.80017,-1.43598
2.83000,1.00088,-1.52087
2.84000,1.20164,-1.59664
2.85000,1.40229,-1.66134
2.86000,1.60267,-1.71304
2.87000,1.80258,-1.74983
2.88000,2.00180,-1.76981
