"time","J1_w","J2_w","J3_w","J4_w"
0,10,0,0,0
0.003,9.971412794,0.02999995681,2.147587663e-015,2.147563367e-015
0.006,9.945637597,0.05999957127,1.734723476e-015,1.734601395e-015
0.009,9.92263799,0.08999842687,-1.33226763e-015,-1.332465728e-015
0.012,9.902353372,0.1199961024,-1.984523657e-015,-1.984958051e-015
0.015,9.884697393,0.1499921639,-1.026956298e-015,-1.027590297e-015
0.018,9.869559261,0.1799861835,-1.387778781e-015,-1.388495252e-015
0.021,9.856807833,0.2099777352,-1.554312234e-015,-1.555017848e-015
0.024,9.846293066,0.2399663926,-3.60822483e-016,-3.615671792e-016
0.027,9.837843204,0.2699517296,-7.21644966e-016,-7.225829853e-016
0.03,9.831266515,0.29993332,-3.108624469e-015,-3.109874608e-015
0.033,9.826354779,0.3299107377,-5.218048216e-015,-5.219572856e-015
0.036,9.822885665,0.3598835568,-2.609024108e-015,-2.610718843e-015
0.039,9.820624443,0.3898513511,-1.998401444e-015,-2.000298063e-015
0.042,9.819325743,0.4198136949,-1.110223025e-015,-1.112323535e-015
0.045,9.818736163,0.4497701623,-7.21644966e-016,-7.238787429e-016
0.048,9.818596247,0.4797203275,-5.551115123e-016,-5.57440513e-016
0.051,9.818639736,0.5096637648,-1.443289932e-015,-1.445649649e-015
0.054,9.818600666,0.5396000488,3.330669074e-016,3.307038904e-016
0.057,9.818214158,0.5695287539,4.440892099e-016,4.417438109e-016
0.06,9.81721876,0.5994494548,6.661338148e-016,6.638902371e-016
0.063,9.815359105,0.6293617263,-7.771561172e-016,-7.79161485e-016
0.066,9.81238656,0.6592651432,-1.110223025e-015,-1.111923047e-015
0.069,9.80806236,0.6891592806,1.110223025e-016,1.097742319e-016
0.072,9.80215975,0.7190437136,0,-7.487378939e-019
0.075,9.794466096,0.7489180174,-2.553512957e-015,-2.553818136e-015
0.078,9.784784933,0.7787817675,-1.110223025e-016,-1.109955147e-016
0.081,9.772937118,0.8086345394,3.330669074e-016,3.332637774e-016
0.084,9.758763905,0.8384759089,-2.220446049e-016,-2.218313846e-016
0.087,9.742125471,0.8683054519,-2.442490654e-015,-2.442370791e-015
0.09,9.722906981,0.8981227444,-4.551914401e-015,-4.551857634e-015
0.093,9.701012991,0.9279273626,-3.663735981e-015,-3.663627362e-015
0.096,9.676375908,0.957718883,-1.554312234e-015,-1.553832688e-015
0.099,9.64894859,0.9874968822,-1.776356839e-015,-1.775255634e-015
0.102,9.618712294,1.017260937,4.440892099e-016,4.460687292e-016
0.105,9.585670076,1.047010624,-8.881784197e-016,-8.851859172e-016
0.108,9.549852728,1.076745521,2.220446049e-016,2.259233453e-016
0.111,9.511313585,1.106465205,6.661338148e-016,6.709387042e-016
0.114,9.470132031,1.136169254,2.220446049e-016,2.279249557e-016
0.117,9.426409792,1.165857245,8.881784197e-016,8.951173117e-016
0.12,9.38027218,1.195528757,-4.440892099e-016,-4.362663208e-016
0.123,9.33186575,1.225183368,0,8.578085947e-018
0.126,9.281357216,1.254820657,0,9.293385567e-018
0.129,9.228932676,1.284440202,-4.440892099e-016,-4.341441028e-016
0.132,9.174794435,1.314041582,-6.661338148e-016,-6.556584601e-016
0.135,9.119161341,1.343624377,-1.33226763e-015,-1.321343576e-015
0.138,9.062264334,1.373188166,-6.661338148e-016,-6.547482818e-016
0.141,9.004347135,1.402732528,8.881784197e-016,9.000661017e-016
0.144,8.945661287,1.432257046,6.661338148e-016,6.784852222e-016
0.147,8.88646672,1.461761297,2.442490654e-015,2.45524136e-015
0.15,8.827026753,1.491244864,2.442490654e-015,2.455541616e-015
