"time","heatCapacitor_T","switch_Controll"
0,293.15,0
0.01,293.25,0
0.02,293.35,0
0.03,293.449,0
0.04,293.549,0
0.05,293.648,0
0.06,293.747,0
0.07,293.846,0
0.08,293.945,0
0.09,294.044,0
0.1,294.142,0
0.11,294.241,0
0.12,294.339,0
0.13,294.437,0
0.14,294.535,0
0.15,294.633,0
0.16,294.731,0
0.17,294.829,0
0.18,294.926,0
0.19,295.024,0
0.2,295.121,0
0.21,295.218,0
0.22,295.315,0
0.23,295.412,0
0.24,295.509,0
0.25,295.606,0
0.26,295.702,0
0.27,295.799,0
0.28,295.895,0
0.29,295.991,0
0.3,296.087,0
0.31,296.183,0
0.32,296.279,0
0.33,296.374,0
0.34,296.47,0
0.35,296.565,0
0.36,296.66,0
0.37,296.755,0
0.38,296.85,0
0.39,296.945,0
0.4,297.04,0
0.41,297.134,0
0.42,297.229,0
0.43,297.323,0
0.44,297.417,0
0.45,297.511,0
0.46,297.605,0
0.47,297.699,0
0.48,297.793,0
0.49,297.886,0
0.5,297.98,0
0.51,298.073,0
0.52,298.166,0
0.53,298.259,0
0.54,298.352,0
0.55,298.445,0
0.56,298.538,0
0.57,298.63,0
0.58,298.723,0
0.59,298.815,0
0.6,298.907,0
0.61,298.999,0
0.62,299.091,0
0.63,299.148,1
0.64,299.142,1
0.65,299.136,1
0.66,299.13,1
0.67,299.124,1
0.68,299.118,1
0.69,299.112,1
0.7,299.106,1
0.71,299.1,1
0.72,299.094,1
0.73,299.088,1
0.74,299.082,1
0.75,299.076,1
0.76,299.071,1
0.77,299.065,1
0.78,299.059,1
0.79,299.053,1
0.8,299.047,1
0.81,299.041,1
0.82,299.035,1
0.83,299.029,1
0.84,299.023,1
0.85,299.018,1
0.86,299.012,1
0.87,299.006,1
0.88,299,1
0.89,298.994,1
0.9,298.988,1
0.91,298.983,1
0.92,298.977,1
0.93,298.971,1
0.94,298.965,1
0.95,298.959,1
0.96,298.953,1
0.97,298.948,1
0.98,298.942,1
0.99,298.936,1
1,298.93,1
1.01,298.925,1
1.02,298.919,1
1.03,298.913,1
1.04,298.907,1
1.05,298.901,1
1.06,298.896,1
1.07,298.89,1
1.08,298.884,1
1.09,298.879,1
1.1,298.873,1
1.11,298.867,1
1.12,298.861,1
1.13,298.856,1
1.14,298.85,1
1.15,298.844,1
1.16,298.839,1
1.17,298.833,1
1.18,298.827,1
1.19,298.822,1
1.2,298.816,1
1.21,298.81,1
1.22,298.805,1
1.23,298.799,1
1.24,298.793,1
1.25,298.788,1
1.26,298.782,1
1.27,298.776,1
1.28,298.771,1
1.29,298.765,1
1.3,298.76,1
1.31,298.754,1
1.32,298.748,1
1.33,298.743,1
1.34,298.737,1
1.35,298.732,1
1.36,298.726,1
1.37,298.72,1
1.38,298.715,1
1.39,298.709,1
1.4,298.704,1
1.41,298.698,1
1.42,298.693,1
1.43,298.687,1
1.44,298.682,1
1.45,298.676,1
1.46,298.671,1
1.47,298.665,1
1.48,298.659,1
1.49,298.654,1
1.5,298.648,1
1.51,298.643,1
1.52,298.638,1
1.53,298.632,1
1.54,298.627,1
1.55,298.621,1
