    "time",   "Noise","Noise_Filt","Noise_Filt_Sat",    "Sine","Sine_Filt","Sine_Filt_Quantized"
         0,0.50419341,0.063024177,0.063024177,         0,         0,         0
      0.02,0.50419341,0.063024177,0.063024177,0.039997333,2.0155765e-005,         0
      0.04,0.50419341,0.063024177,0.063024177,0.079978668,0.00017102015,         0
      0.06, 3.3752486,0.48177904,0.48177904,0.11992801,0.00057984192,         0
      0.08, 3.3752486,0.48177904,0.48177904,0.15982939,0.0013626174,         0
       0.1,-1.2125882,0.30611657,0.30611657,0.19966683,0.0026245407,         0
      0.12,-1.2125882,0.30611657,0.30611657,0.23942441,0.0044604544,         0
      0.14,-1.2125882,0.30611657,0.30611657,0.27908623,0.006955301,         0
      0.16, 1.8177243,0.51802628,       0.5,0.31863641,0.010184571,         0
      0.18, 1.8177243,0.51802628,       0.5,0.35805915,0.014214749,         0
       0.2, 0.2774625,0.52680778,       0.5,0.39733866,0.019103754,         0
      0.22, 0.2774625,0.52680778,       0.5,0.43645925,0.024901376,         0
      0.24, 0.2774625,0.52680778,       0.5,0.47540525, 0.0316497,         0
      0.26,-0.54855955,0.43189745,0.43189745, 0.5141611,0.039383535,         0
      0.28,-0.54855955,0.43189745,0.43189745, 0.5527113,0.048130817,         0
       0.3,-1.3007991,0.24770268,0.24770268,0.59104041,0.057913018,       0.1
      0.32,-1.3007991,0.24770268,0.24770268,0.62913312,0.068745538,       0.1
      0.34,-1.3007991,0.24770268,0.24770268,0.66697418,0.080638088,       0.1
      0.36,    0.1949,0.25968005,0.25968005,0.70454847,0.093595061,       0.1
      0.38,    0.1949,0.25968005,0.25968005,0.74184094,0.10761589,       0.1
       0.4,0.81612375,0.34871152,0.34871152,0.77883668,0.12269541,       0.1
      0.42,0.81612375,0.34871152,0.34871152,0.81552091,0.13882418,       0.1
      0.44,0.81612375,0.34871152,0.34871152,0.85187893,0.15598881,       0.2
      0.46,0.35654631,0.37584423,0.37584423,0.88789621,0.17417229,       0.2
      0.48,0.35654631,0.37584423,0.37584423,0.92355835,0.19335427,       0.2
       0.5,0.72283651,0.44740658,0.44740658,0.95885108,0.21351136,       0.2
      0.52,0.72283651,0.44740658,0.44740658,0.99376028,0.23461742,       0.2
      0.54,0.72283651,0.44740658,0.44740658,  1.028272,0.25664379,       0.3
      0.56,0.70238467,0.51283434,       0.5, 1.0623724,0.27955957,       0.3
      0.58,0.70238467,0.51283434,       0.5, 1.0960479,0.30333185,       0.3
       0.6,-0.19603711,0.46268798,0.46268798, 1.1292849,0.32792595,       0.3
      0.62,-0.19603711,0.46268798,0.46268798, 1.1620703,0.35330561,       0.4
      0.64,-0.19603711,0.46268798,0.46268798, 1.1943909,0.37943323,       0.4
      0.66, 1.7724189,0.66110594,       0.5, 1.2262337,0.40627004,       0.4
      0.68, 1.7724189,0.66110594,       0.5,  1.257586,0.43377629,       0.4
       0.7,-0.73112434, 0.5366601,       0.5, 1.2884354,0.46191142,       0.5
      0.72,-0.73112434, 0.5366601,       0.5, 1.3187693,0.49063422,       0.5
      0.74,-0.73112434, 0.5366601,       0.5, 1.3485758,0.51990299,       0.5
      0.76,-3.0020105,0.13457579,0.13457579, 1.3778429,0.54967569,       0.5
      0.78,-3.0020105,0.13457579,0.13457579, 1.4065588,0.57991005,       0.6
       0.8,-2.1872023,-0.14555329,-0.14555329, 1.4347122,0.61056369,       0.6
      0.82,-2.1872023,-0.14555329,-0.14555329, 1.4622917,0.64159428,       0.6
      0.84,-2.1872023,-0.14555329,-0.14555329, 1.4892862,0.67295958,       0.7
      0.86, 2.5629814,0.18209706,0.18209706, 1.5156851,0.70461759,       0.7
      0.88, 2.5629814,0.18209706,0.18209706, 1.5414778,0.73652664,       0.7
       0.9,-0.6076773,0.09703254,0.09703254, 1.5666538,0.76864542,       0.8
      0.92,-0.6076773,0.09703254,0.09703254, 1.5912032,0.80093311,       0.8
      0.94,-0.6076773,0.09703254,0.09703254, 1.6151162,0.83334942,       0.8
      0.96,-1.3575245,-0.077509655,-0.077509655, 1.6383831,0.86585467,       0.9
      0.98,-1.3575245,-0.077509655,-0.077509655, 1.6609947,0.89840984,       0.9
         1,-1.1859152,-0.22187358,-0.22187358,  1.682942, 0.9309766,       0.9
      1.02,-1.1859152,-0.22187358,-0.22187358,  1.704216,0.96351737,         1
      1.04,-1.1859152,-0.22187358,-0.22187358, 1.7248085,0.99599538,         1
      1.06,-1.0554553,-0.34271181,-0.34271181,  1.744711, 1.0283747,         1
      1.08,-1.0554553,-0.34271181,-0.34271181, 1.7639156, 1.0606201,       1.1
       1.1,-0.6829272,-0.41094212,-0.41094212, 1.7824147, 1.0926975,       1.1
      1.12,-0.6829272,-0.41094212,-0.41094212, 1.8002009, 1.1245736,       1.1
      1.14,-0.6829272,-0.41094212,-0.41094212,  1.817267, 1.1562158,       1.2
      1.16,-0.69507534,-0.47727944,-0.47727944, 1.8336062, 1.1875928,       1.2
      1.18,-0.69507534,-0.47727944,-0.47727944,  1.849212, 1.2186739,       1.2
       1.2,-0.30239902,-0.49121534,-0.49121534, 1.8640782, 1.2494297,       1.2
      1.22,-0.30239902,-0.49121534,-0.49121534, 1.8781987, 1.2798314,       1.3
      1.24,-0.30239902,-0.49121534,-0.49121534,  1.891568, 1.3098514,       1.3
      1.26, 2.1085786,-0.20308225,-0.20308225, 1.9041807, 1.3394629,       1.3
      1.28, 2.1085786,-0.20308225,-0.20308225, 1.9160317, 1.3686402,       1.4
       1.3,0.10403944,-0.1799232,-0.1799232, 1.9271164, 1.3973584,       1.4
      1.32,0.10403944,-0.1799232,-0.1799232, 1.9374302, 1.4255936,       1.4
      1.34,0.10403944,-0.1799232,-0.1799232, 1.9469691, 1.4533229,       1.5
      1.36, 1.8088513,0.055179368,0.055179368, 1.9557292, 1.4805242,       1.5
      1.38, 1.8088513,0.055179368,0.055179368, 1.9637071, 1.5071763,       1.5
       1.4, 1.0888472, 0.1885263, 0.1885263, 1.9708995, 1.5332591,       1.5
      1.42, 1.0888472, 0.1885263, 0.1885263, 1.9773035, 1.5587531,       1.6
      1.44, 1.0888472, 0.1885263, 0.1885263, 1.9829167, 1.5836399,       1.6
      1.46,0.47484693,0.23845585,0.23845585, 1.9877367, 1.6079019,       1.6
      1.48,0.47484693,0.23845585,0.23845585, 1.9917617, 1.6315222,       1.6
       1.5,-0.82917902,0.12288568,0.12288568,   1.99499, 1.6544849,       1.7
      1.52,-0.82917902,0.12288568,0.12288568, 1.9974203, 1.6767748,       1.7
      1.54,-0.82917902,0.12288568,0.12288568, 1.9990517, 1.6983776,       1.7
      1.56,-0.65009695,0.035479279,0.035479279, 1.9998834, 1.7192796,       1.7
      1.58,-0.65009695,0.035479279,0.035479279, 1.9999153,  1.739468,       1.7
       1.6,-0.33242722,-0.0078480883,-0.0078480883, 1.9991472, 1.7589306,       1.8
      1.62,-0.33242722,-0.0078480883,-0.0078480883, 1.9975795, 1.7776562,       1.8
      1.64,-0.33242722,-0.0078480883,-0.0078480883, 1.9952128, 1.7956339,       1.8
      1.66,-1.7816065,-0.2301565,-0.2301565,  1.992048, 1.8128538,       1.8
      1.68,-1.7816065,-0.2301565,-0.2301565, 1.9880864, 1.8293065,       1.8
       1.7, 3.0351355,0.16074327,0.16074327, 1.9833296, 1.8449834,       1.8
      1.72, 3.0351355,0.16074327,0.16074327, 1.9777795, 1.8598764,       1.9
      1.74, 3.0351355,0.16074327,0.16074327, 1.9714384,  1.873978,       1.9
      1.76, 1.3977046,0.32741918,0.32741918, 1.9643086, 1.8872815,       1.9
      1.78, 1.3977046,0.32741918,0.32741918, 1.9563932, 1.8997804,       1.9
       1.8,-0.95854463,0.19123014,0.19123014, 1.9476953, 1.9114693,       1.9
      1.82,-0.95854463,0.19123014,0.19123014, 1.9382183, 1.9223428,       1.9
      1.84,-0.95854463,0.19123014,0.19123014,  1.927966, 1.9323965,       1.9
      1.86,-1.3822317,0.0088896671,0.0088896671, 1.9169426, 1.9416262,       1.9
      1.88,-1.3822317,0.0088896671,0.0088896671, 1.9051524, 1.9500285,         2
       1.9,-0.21434792,-0.018348306,-0.018348306, 1.8926002, 1.9576001,         2
      1.92,-0.21434792,-0.018348306,-0.018348306, 1.8792909, 1.9643387,         2
      1.94,-0.21434792,-0.018348306,-0.018348306,   1.86523, 1.9702419,         2
      1.96,  1.066785,0.11591724,0.11591724,  1.850423, 1.9753082,         2
      1.98,  1.066785,0.11591724,0.11591724, 1.8348759, 1.9795364,         2
         2,-0.38134716,0.062452982,0.062452982, 1.8185949, 1.9829257,         2
      2.02,-0.38134716,0.062452982,0.062452982, 1.8015864, 1.9854758,         2
      2.04,-0.38134716,0.062452982,0.062452982, 1.7838573, 1.9871867,         2
      2.06,-1.8208315,-0.16827361,-0.16827361, 1.7654147, 1.9880588,         2
      2.08,-1.8208315,-0.16827361,-0.16827361,  1.746266, 1.9880932,         2
       2.1,-1.2908124,-0.32121148,-0.32121148, 1.7264187, 1.9872909,         2
      2.12,-1.2908124,-0.32121148,-0.32121148,  1.705881, 1.9856537,         2
      2.14,-1.2908124,-0.32121148,-0.32121148, 1.6846609, 1.9831835,         2
      2.16,-0.039695972,-0.3101129,-0.3101129, 1.6627669, 1.9798827,         2
      2.18,-0.039695972,-0.3101129,-0.3101129, 1.6402079,  1.975754,         2
       2.2, 1.6441851,-0.089084125,-0.089084125, 1.6169928, 1.9708004,         2
      2.22, 1.6441851,-0.089084125,-0.089084125, 1.5931309, 1.9650254,         2
      2.24, 1.6441851,-0.089084125,-0.089084125, 1.5686319, 1.9584325,         2
      2.26,-0.069982732,-0.09337776,-0.09337776, 1.5435053,  1.951026,         2
      2.28,-0.069982732,-0.09337776,-0.09337776, 1.5177614, 1.9428101,       1.9
       2.3, 1.3042489,0.074322244,0.074322244, 1.4914104, 1.9337894,       1.9
      2.32, 1.3042489,0.074322244,0.074322244, 1.4644629, 1.9239691,       1.9
      2.34, 1.3042489,0.074322244,0.074322244, 1.4369296, 1.9133543,       1.9
      2.36,-0.73889984,-0.021756348,-0.021756348, 1.4088215, 1.9019506,       1.9
      2.38,-0.73889984,-0.021756348,-0.021756348,   1.38015, 1.8897639,       1.9
       2.4,-0.037429007,-0.025347156,-0.025347156, 1.3509264, 1.8768004,       1.9
      2.42,-0.037429007,-0.025347156,-0.025347156, 1.3211624, 1.8630664,       1.9
      2.44,-0.037429007,-0.025347156,-0.025347156,   1.29087, 1.8485686,       1.8
      2.46,0.19692873,0.00053629287,0.00053629287, 1.2600613, 1.8333141,       1.8
      2.48,0.19692873,0.00053629287,0.00053629287, 1.2287485, 1.8173101,       1.8
       2.5,-2.3181006,-0.2892531,-0.2892531, 1.1969443,  1.800564,       1.8
      2.52,-2.3181006,-0.2892531,-0.2892531, 1.1646613, 1.7830837,       1.8
      2.54,-2.3181006,-0.2892531,-0.2892531, 1.1319125, 1.7648772,       1.8
      2.56,-3.2117797,-0.67626291,      -0.5, 1.0987109, 1.7459527,       1.7
      2.58,-3.2117797,-0.67626291,      -0.5, 1.0650698, 1.7263189,       1.7
       2.6,0.56521721,-0.57179761,      -0.5, 1.0310027, 1.7059843,       1.7
      2.62,0.56521721,-0.57179761,      -0.5,0.99652328, 1.6849581,       1.7
      2.64,0.56521721,-0.57179761,      -0.5,0.96164523, 1.6632496,       1.7
      2.66,-0.21674389,-0.57030072,      -0.5,0.92638253, 1.6408681,       1.6
      2.68,-0.21674389,-0.57030072,      -0.5,0.89074929, 1.6178234,       1.6
       2.7, 1.6501508,-0.33551683,-0.33551683,0.85475976, 1.5941255,       1.6
      2.72, 1.6501508,-0.33551683,-0.33551683,0.81842834, 1.5697845,       1.6
      2.74, 1.6501508,-0.33551683,-0.33551683,0.78176956, 1.5448108,       1.5
      2.76,-0.091033121,-0.33012013,-0.33012013,0.74479808,  1.519215,       1.5
      2.78,-0.091033121,-0.33012013,-0.33012013,0.70752869, 1.4930079,       1.5
       2.8,-0.56107678,-0.38374872,-0.38374872, 0.6699763, 1.4662006,       1.5
      2.82,-0.56107678,-0.38374872,-0.38374872,0.63215593, 1.4388043,       1.4
      2.84,-0.56107678,-0.38374872,-0.38374872, 0.5940827, 1.4108304,       1.4
      2.86,-0.75653175,-0.45912776,-0.45912776,0.55577185, 1.3822906,       1.4
      2.88,-0.75653175,-0.45912776,-0.45912776, 0.5172387, 1.3531967,       1.4
       2.9,0.92178531,-0.3209482,-0.3209482,0.47849866, 1.3235607,       1.3
      2.92,0.92178531,-0.3209482,-0.3209482,0.43956722, 1.2933948,       1.3
      2.94,0.92178531,-0.3209482,-0.3209482,0.40045997, 1.2627115,       1.3
      2.96,0.70937882,-0.21622844,-0.21622844,0.36119254, 1.2315233,       1.2
      2.98,0.70937882,-0.21622844,-0.21622844,0.32178063, 1.1998429,       1.2
         3, 1.2161108,-0.053403168,-0.053403168,0.28224002, 1.1676834,       1.2
      3.02, 1.2161108,-0.053403168,-0.053403168,0.24258651, 1.1350578,       1.1
      3.04, 1.2161108,-0.053403168,-0.053403168,0.20283597, 1.1019793,       1.1
      3.06, 2.7685515,0.29533593,0.29533593, 0.1630043, 1.0684614,       1.1
      3.08, 2.7685515,0.29533593,0.29533593,0.12310743, 1.0345177,         1
       3.1,0.86241286,0.38837074,0.38837074,0.083161325, 1.0001618,         1
      3.12,0.86241286,0.38837074,0.38837074,0.043181951,0.96540772,         1
      3.14,0.86241286,0.38837074,0.38837074,0.0031853058,0.93026941,       0.9
      3.16,-2.4204368,0.066397603,0.066397603,-0.036812614,0.89476103,       0.9
      3.18,-2.4204368,0.066397603,0.066397603,-0.076795809,0.85889688,       0.9
       3.2,0.18909066,0.086714054,0.086714054,-0.11674829,0.82269136,       0.8
      3.22,0.18909066,0.086714054,0.086714054,-0.15665407,0.78615902,       0.8
      3.24,0.18909066,0.086714054,0.086714054,-0.19649719,0.74931451,       0.7
      3.26, 2.1215793,0.34757577,0.34757577,-0.23626171,0.71217261,       0.7
      3.28, 2.1215793,0.34757577,0.34757577,-0.27593173, 0.6747482,       0.7
       3.3,-1.4094875,0.15401104,0.15401104,-0.31549139,0.63705625,       0.6
      3.32,-1.4094875,0.15401104,0.15401104,-0.35492485,0.59911185,       0.6
      3.34,-1.4094875,0.15401104,0.15401104,-0.39421635,0.56093017,       0.6
      3.36,-0.034304036,0.14202248,0.14202248,-0.43335016,0.52252647,       0.5
      3.38,-0.034304036,0.14202248,0.14202248,-0.47231064, 0.4839161,       0.5
       3.4,-2.1190074,-0.12995457,-0.12995457,-0.5110822,0.44511446,       0.4
      3.42,-2.1190074,-0.12995457,-0.12995457,-0.54964934,0.40613705,       0.4
      3.44,-2.1190074,-0.12995457,-0.12995457,-0.58799662,0.36699941,       0.4
      3.46,0.53088292,-0.057096478,-0.057096478,-0.62610872,0.32771718,       0.3
      3.48,0.53088292,-0.057096478,-0.057096478,-0.66397038,  0.288306,       0.3
       3.5,-0.68154542,-0.13943483,-0.13943483,-0.70156646,0.24878159,       0.2
      3.52,-0.68154542,-0.13943483,-0.13943483,-0.73888192,0.20915972,       0.2
      3.54,-0.68154542,-0.13943483,-0.13943483,-0.77590184,0.16945617,       0.2
      3.56,-2.2015568,-0.40765769,-0.40765769,-0.8126114,0.12968676,       0.1
      3.58,-2.2015568,-0.40765769,-0.40765769,-0.84899594,0.089867345,       0.1
       3.6,0.79189861,-0.28828748,-0.28828748,-0.88504089,0.050013788,       0.1
      3.62,0.79189861,-0.28828748,-0.28828748,-0.92073183,0.010141966,         0
      3.64,0.79189861,-0.28828748,-0.28828748,-0.95605449,-0.029732235,        -0
      3.66, 3.0115981,0.10257666,0.10257666,-0.99099475,-0.069592933,      -0.1
      3.68, 3.0115981,0.10257666,0.10257666,-1.0255386,-0.10942425,      -0.1
       3.7,0.91098351,0.21132076,0.21132076,-1.0596723,-0.14921031,      -0.1
      3.72,0.91098351,0.21132076,0.21132076,-1.0933821,-0.18893528,      -0.2
      3.74,0.91098351,0.21132076,0.21132076,-1.1266546,-0.22858332,      -0.2
      3.76,-0.24765215,0.16979821,0.16979821,-1.1594764,-0.26813864,      -0.3
      3.78,-0.24765215,0.16979821,0.16979821,-1.1918344,-0.30758548,      -0.3
       3.8, 4.3725825,0.70788111,       0.5,-1.2237158,-0.34690814,      -0.3
      3.82, 4.3725825,0.70788111,       0.5,-1.2551076,-0.38609093,      -0.4
      3.84, 4.3725825,0.70788111,       0.5,-1.2859975,-0.42511825,      -0.4
      3.86,-0.94622199,0.55420931,       0.5,-1.3163729,-0.46397455,      -0.5
      3.88,-0.94622199,0.55420931,       0.5,-1.3462219,-0.50264434,      -0.5
       3.9, 1.5738009,0.72322395,       0.5,-1.3755323,-0.54111222,      -0.5
      3.92, 1.5738009,0.72322395,       0.5,-1.4042926,-0.57936284,      -0.6
      3.94, 1.5738009,0.72322395,       0.5,-1.4324911,-0.61738097,      -0.6
      3.96, 1.0828659,0.82242099,       0.5,-1.4601167,-0.65515144,      -0.7
