    "time","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
         0,         1,         0,      0.45,         0,        30,         0,         3,         0,      1000,        40
         1,         1,0.90968947,      0.45,0.49538568,        30, 22.368899,         3, 0.9871241,      1000,        40
         2,         1, 0.9533495,      0.45,0.52216306,        30, 22.411033,         3,0.97768936,      1000,        40
         3,         1,0.99252426,      0.45,0.53485066,        30, 22.447543,         3,0.97087191,      1000,        40
         4,         1, 1.0220087,      0.45,0.53716078,        30, 30.218986,         3, 1.2053757,      1000,        40
         5,         1, 1.0297312,      0.45,0.53208317,        30, 30.172276,         3, 2.1018124,      1000,        40
         6,         1, 1.0224364,      0.45,0.52269556,        30, 30.095554,         3, 3.3497126,      1000,        40
         7,         1, 1.0099401,      0.45,0.51141051,        30, 30.039383,         3, 4.1260495,      1000,        40
         8,         1,0.99955274,      0.45,0.49986817,        30, 30.004358,         3, 3.8769321,      1000,        40
         9,         1,0.99435011,      0.45,0.48903653,        30, 29.986834,         3, 3.3589798,      1000,        40
        10,         1,0.99392887,      0.45,0.47939879,        30, 29.983373,         3, 3.0310332,      1000,        40
        11,         1,0.99615929,      0.45,0.47114071,        30, 29.988877,         3, 2.8973111,      1000,        40
        12,         1,0.99883534,      0.45,0.46428917,        30, 29.996745,         3,  2.888767,      1000,        40
        13,         1, 1.0006282,      0.45,0.45879088,        30,  30.00216,         3, 2.9389291,      1000,        40
        14,         1, 1.0012366,      0.45,0.45454734,        30, 30.003907,         3, 2.9944725,      1000,        40
        15,         1, 1.0010123,      0.45,0.45142598,        30, 30.003131,         3, 3.0260974,      1000,        40
        16,         1,  1.000481,      0.45,0.44926817,        30, 30.001481,         3,  3.030647,      1000,        40
        17,         1, 1.0000261,      0.45,0.44790079,        30, 30.000094,         3, 3.0197377,      1000,        40
        18,         1,0.99979873,      0.45,0.44715017,        30, 29.999402,         3, 3.0061195,      1000,        40
        19,         1,0.99977476,      0.45,0.44685628,        30, 29.999327,         3, 2.9969837,      1000,        40
        20,         1,  0.999857,      0.45,0.44688013,        30, 29.999575,         3, 2.9938335,      1000,        40
        21,         1,0.99995496,      0.45,0.44710902,        30, 29.999872,         3, 2.9948722,      1000,        40
        22,         1, 1.0000193,      0.45, 0.4474558,        30, 30.000066,         3,  2.997491,      1000,        40
        23,         1,  1.000041,      0.45,0.44785618,        30, 30.000131,         3, 2.9997763,      1000,        40
