    "time",   "der_p",   "der_T"
         0,         0,         0
     0.002,         0,         0
     0.004,         0,         0
     0.006,         0,         0
     0.008,         0,         0
      0.01,         0,         0
     0.012,         0,         0
     0.014,         0,         0
     0.016,         0,         0
     0.018,         0,         0
      0.02,         0,         0
     0.022,         0,         0
     0.024,         0,         0
     0.026,         0,         0
     0.028,         0,         0
      0.03,         0,         0
     0.032,         0,         0
     0.034,         0,         0
     0.036,         0,         0
     0.038,         0,         0
      0.04,         0,         0
     0.042,         0,         0
     0.044,         0,         0
     0.046,         0,         0
     0.048,         0,         0
      0.05,         0,         0
     0.052,         0,         0
     0.054,         0,         0
     0.056,         0,         0
     0.058,         0,         0
      0.06,         0,         0
     0.062,         0,         0
     0.064,         0,         0
     0.066,         0,         0
     0.068,         0,         0
      0.07,         0,         0
     0.072,         0,         0
     0.074,         0,         0
     0.076,         0,         0
     0.078,         0,         0
      0.08,         0,         0
     0.082,         0,         0
     0.084,         0,         0
     0.086,         0,         0
     0.088,         0,         0
      0.09,         0,         0
     0.092,         0,         0
     0.094,         0,         0
     0.096,         0,         0
     0.098,         0,         0
       0.1,         0,         0
     0.102,         0,         0
     0.104,         0,         0
     0.106,         0,         0
     0.108,         0,         0
      0.11,         0,         0
     0.112,         0,         0
     0.114,         0,         0
     0.116,         0,         0
     0.118,         0,         0
      0.12,         0,         0
     0.122,         0,         0
     0.124,         0,         0
     0.126,         0,         0
     0.128,         0,         0
      0.13,         0,         0
     0.132,         0,         0
     0.134,         0,         0
     0.136,         0,         0
     0.138,         0,         0
      0.14,         0,         0
     0.142,         0,         0
     0.144,         0,         0
     0.146,         0,         0
     0.148,         0,         0
      0.15,         0,         0
     0.152,         0,         0
     0.154,         0,         0
     0.156,         0,         0
     0.158,         0,         0
      0.16,         0,         0
     0.162,         0,         0
     0.164,         0,         0
     0.166,         0,         0
     0.168,         0,         0
      0.17,         0,         0
     0.172,         0,         0
     0.174,         0,         0
     0.176,         0,         0
     0.178,         0,         0
      0.18,         0,         0
     0.182,         0,         0
     0.184,         0,         0
     0.186,         0,         0
     0.188,         0,         0
      0.19,         0,         0
     0.192,         0,         0
     0.194,         0,         0
     0.196,         0,         0
     0.198,         0,         0
       0.2,         0,         0
     0.202,         0,         0
     0.204,         0,         0
     0.206,         0,         0
     0.208,         0,         0
      0.21,         0,         0
     0.212,         0,         0
     0.214,         0,         0
     0.216,         0,         0
     0.218,         0,         0
      0.22,         0,         0
     0.222,         0,         0
     0.224,         0,         0
     0.226,         0,         0
     0.228,         0,         0
      0.23,         0,         0
     0.232,         0,         0
     0.234,         0,         0
     0.236,         0,         0
     0.238,         0,         0
      0.24,         0,         0
     0.242,         0,         0
     0.244,         0,         0
     0.246,         0,         0
     0.248,         0,         0
      0.25,         0,         0
     0.252,         0,         0
     0.254,         0,         0
     0.256,         0,         0
     0.258,         0,         0
      0.26,         0,         0
     0.262,         0,         0
     0.264,         0,         0
     0.266,         0,         0
     0.268,         0,         0
      0.27,         0,         0
     0.272,         0,         0
     0.274,         0,         0
     0.276,         0,         0
     0.278,         0,         0
      0.28,         0,         0
     0.282,         0,         0
     0.284,         0,         0
     0.286,         0,         0
     0.288,         0,         0
      0.29,         0,         0
     0.292,         0,         0
     0.294,         0,         0
     0.296,         0,         0
     0.298,         0,         0
       0.3,1.1368684e-013,1.110223e-016
     0.302,-8.9746333,-0.11376243
     0.304,-17.299918,-0.22568304
     0.306,-24.983375,-0.33577128
     0.308,-32.032526,-0.44403659
      0.31,-38.454891,-0.5504884
     0.312,-44.257991,-0.65513615
     0.314,-49.449346,-0.75798929
     0.316,-54.036478,-0.85905724
     0.318,-58.026907,-0.95834944
      0.32,-61.428153,-1.0558753
     0.322,-64.247738,-1.1516443
     0.324,-66.493181,-1.2456659
     0.326,-68.172003,-1.3379494
     0.328,-69.291725,-1.4285044
      0.33,-69.859866,-1.5173402
     0.332,-69.883947,-1.6044663
     0.334,-69.371488,-1.6898921
     0.336, -68.33001, -1.773627
     0.338,-66.767032,-1.8556805
      0.34,-64.690075, -1.936062
     0.342,-62.106659,-2.0147809
     0.344,-59.024303,-2.0918466
     0.346,-55.450528,-2.1672686
     0.348,-51.392853,-2.2410563
      0.35,-46.858798,-2.3132191
     0.352,-41.855884,-2.3837664
     0.354,-36.391629,-2.4527077
     0.356,-30.473553,-2.5200523
     0.358,-24.109177,-2.5858097
      0.36,-17.306019,-2.6499893
     0.362,  -10.0716,-2.7126006
     0.364,-2.4134377,-2.7736529
     0.366, 5.6609472,-2.8331556
     0.368, 14.144036,-2.8911182
      0.37, 23.028308,-2.9475501
     0.372, 32.306246,-3.0024607
     0.374, 41.970329,-3.0558594
     0.376, 52.013039,-3.1077556
     0.378, 62.426856,-3.1581587
      0.38, 73.204261,-3.2070782
     0.382, 84.337736,-3.2545234
     0.384, 95.819761,-3.3005038
     0.386, 107.64282,-3.3450288
     0.388, 119.79939,-3.3881077
      0.39, 132.28195,  -3.42975
     0.392, 145.08299,-3.4699651
     0.394, 158.19498,-3.5087623
     0.396, 171.61041,-3.5461512
     0.398, 185.32176, -3.582141
       0.4, 199.32151,-3.6167412
     0.402, 213.60214,-3.6499612
     0.404, 228.15614,-3.6818104
     0.406, 242.97598,-3.7122982
     0.408, 258.05414, -3.741434
      0.41, 273.38312,-3.7692272
     0.412, 288.95538,-3.7956871
     0.414, 304.76342,-3.8208233
     0.416, 320.79971, -3.844645
     0.418, 337.05673,-3.8671616
      0.42, 353.52697,-3.8883826
     0.422, 370.20291,-3.9083174
     0.424, 387.07703,-3.9269753
     0.426, 404.14182,-3.9443658
     0.428, 421.38975,-3.9604981
      0.43, 438.81331,-3.9753818
     0.432, 456.40497,-3.9890262
     0.434, 474.15723,-4.0014406
     0.436, 492.06257,-4.0126346
     0.438, 510.11346,-4.0226174
      0.44, 528.30239,-4.0313984
     0.442, 546.62184,-4.0389871
     0.444, 565.06429,-4.0453927
     0.446, 583.62223,-4.0506248
     0.448, 602.28814,-4.0546926
      0.45,  621.0545,-4.0576056
     0.452,  639.9138,-4.0593731
     0.454, 658.85851,-4.0600046
     0.456, 677.88113,-4.0595093
     0.458, 696.97413,-4.0578967
      0.46, 716.12999,-4.0551761
     0.462,  735.3412, -4.051357
     0.464, 754.60024,-4.0464486
     0.466,  773.8996,-4.0404604
     0.468, 793.23176,-4.0334018
      0.47,  812.5892,-4.0252821
     0.472,  831.9644,-4.0161106
     0.474, 851.34985,-4.0058969
     0.476, 870.73803,-3.9946501
     0.478, 890.12143,-3.9823797
      0.48, 909.49252,-3.9690951
     0.482, 928.84379,-3.9548057
     0.484, 948.16773,-3.9395207
     0.486, 967.45682,-3.9232496
     0.488, 986.70354,-3.9060017
      0.49, 1005.9004,-3.8877864
     0.492, 1025.0398, -3.868613
     0.494, 1044.1143, -3.848491
     0.496, 1063.1164,-3.8274297
     0.498, 1082.0385,-3.8054384
       0.5, 1100.8732,-3.7825265
     0.502, 1119.6129,-3.7587033
     0.504, 1138.2501,-3.7339783
     0.506, 1156.7773,-3.7083607
     0.508, 1175.1869,  -3.68186
      0.51, 1193.4715,-3.6544854
     0.512, 1211.6235,-3.6262464
     0.514, 1229.6355,-3.5971523
     0.516, 1247.4999,-3.5672124
     0.518, 1265.2091,-3.5364362
      0.52, 1282.7558,-3.5048328
     0.522, 1300.1323,-3.4724118
     0.524, 1317.3311,-3.4391825
     0.526, 1334.3448,-3.4051541
     0.528, 1351.1658,-3.3703361
      0.53, 1367.7866,-3.3347378
     0.532, 1384.1996,-3.2983685
     0.534, 1400.3975,-3.2612376
     0.536, 1416.3725,-3.2233545
     0.538, 1432.1174,-3.1847284
      0.54, 1447.6244,-3.1453687
     0.542, 1462.8862,-3.1052849
     0.544, 1477.8951,-3.0644861
     0.546, 1492.6438,-3.0229817
     0.548, 1507.1246,-2.9807812
      0.55,   1521.33,-2.9378938
     0.552, 1535.2526,-2.8943288
     0.554, 1548.8848,-2.8500957
     0.556, 1562.2191,-2.8052037
     0.558, 1575.2479,-2.7596621
      0.56, 1587.9639,-2.7134804
     0.562, 1600.3594,-2.6666678
     0.564,  1612.427,-2.6192337
     0.566, 1624.1591,-2.5711874
     0.568, 1635.5482,-2.5225382
      0.57, 1646.5868,-2.4732955
     0.572, 1657.2674,-2.4234686
     0.574, 1667.5825,-2.3730669
     0.576, 1677.5245,-2.3220996
     0.578,  1687.086,-2.2705761
      0.58, 1696.2594,-2.2185057
     0.582, 1705.0372,-2.1658977
     0.584,  1713.412,-2.1127615
     0.586, 1721.3761,-2.0591064
     0.588, 1728.9221,-2.0049418
      0.59, 1736.0424,-1.9502768
     0.592, 1742.7296,-1.8951209
     0.594, 1748.9762,-1.8394834
     0.596, 1754.7745,-1.7833736
     0.598, 1760.1172,-1.7268008
       0.6, 1764.9966,-1.6697743
     0.602, 1769.4054,-1.6123035
     0.604, 1773.3359,-1.5543977
     0.606, 1776.7806,-1.4960662
     0.608, 1779.7321,-1.4373182
      0.61, 1782.1828,-1.3781632
     0.612, 1784.1252,-1.3186104
     0.614, 1785.5519,-1.2586692
     0.616, 1786.4552,-1.1983488
     0.618, 1786.8276,-1.1376586
      0.62, 1786.6618,-1.0766078
     0.622, 1785.9501,-1.0152058
     0.624,  1784.685,-0.95346199
     0.626,  1782.859,-0.89138553
     0.628, 1780.4647,-0.82898578
      0.63, 1777.4944,-0.76627205
     0.632, 1773.9407,-0.70325364
     0.634, 1769.7961,-0.63993986
     0.636,  1765.053,  -0.57634
     0.638,  1759.704,-0.51246339
      0.64, 1753.7415,-0.44831931
     0.642, 1747.1581,-0.38391706
     0.644, 1739.9461,-0.31926595
     0.646, 1732.0981,-0.25437528
     0.648, 1723.6066,-0.18925435
