    "time","revolute1.w","revolute2.w"
         0,         0,         0
    0.0015,-0.037721319,0.050113684
     0.003,-0.075439871,0.10022047
    0.0045,-0.11315564,0.15032029
     0.006,-0.1508686,0.20041311
    0.0075,-0.18857874,0.25049883
     0.009, -0.226286,0.30057731
    0.0105,-0.26399033,0.35064833
     0.012,-0.30169163,0.40071158
    0.0135,-0.33938979,0.45076664
     0.015,-0.37708464,  0.500813
    0.0165,-0.41477599,   0.55085
     0.018,-0.4524636,0.60087684
    0.0195,-0.4901472,0.65089256
     0.021,-0.52782644,0.70089603
    0.0225,-0.56550094,0.75088593
     0.024,-0.60317024,0.80086074
    0.0255,-0.64083383,0.85081872
     0.027,-0.67849112,0.90075791
    0.0285,-0.71614147,0.95067609
      0.03,-0.75378414, 1.0005708
    0.0315,-0.79141832, 1.0504393
     0.033,-0.82904312, 1.1002785
    0.0345,-0.86665754, 1.1500852
     0.036,-0.90426051, 1.1998557
    0.0375,-0.94185086,  1.249586
     0.039,-0.97942732, 1.2992718
    0.0405,-1.0169885, 1.3489086
     0.042,-1.0545329, 1.3984912
    0.0435, -1.092059, 1.4480143
     0.045,-1.1295651, 1.4974721
    0.0465,-1.1670492, 1.5468584
     0.048,-1.2045095, 1.5961668
    0.0495,-1.2419439,   1.64539
     0.051,-1.2793503, 1.6945209
    0.0525,-1.3167262, 1.7435514
     0.054,-1.3540692, 1.7924733
    0.0555,-1.3913768, 1.8412778
     0.057,-1.4286462, 1.8899557
    0.0585,-1.4658746, 1.9384973
      0.06,-1.5030589, 1.9868924
    0.0615, -1.540196, 2.0351305
     0.063,-1.5772827, 2.0832004
    0.0645,-1.6143155, 2.1310905
     0.066,-1.6512909, 2.1787888
    0.0675,-1.6882051, 2.2262826
     0.069,-1.7250544, 2.2735589
    0.0705,-1.7618347, 2.3206043
     0.072, -1.798542, 2.3674047
    0.0735,-1.8351719, 2.4139456
     0.075,-1.8717202, 2.4602121
    0.0765,-1.9081822, 2.5061888
     0.078,-1.9445534, 2.5518598
    0.0795,-1.9808289, 2.5972089
     0.081,-2.0170039, 2.6422194
    0.0825,-2.0530734, 2.6868741
     0.084,-2.0890323, 2.7311556
    0.0855,-2.1248753, 2.7750458
     0.087,-2.1605971, 2.8185265
    0.0885,-2.1961923, 2.8615792
      0.09,-2.2316554, 2.9041849
    0.0915,-2.2669809, 2.9463243
     0.093,-2.3021631,  2.987978
    0.0945,-2.3371962, 3.0291262
     0.096,-2.3720745, 3.0697489
    0.0975,-2.4067922,  3.109826
     0.099,-2.4413435, 3.1493371
    0.1005,-2.4757224, 3.1882617
     0.102,-2.5099232, 3.2265793
    0.1035,-2.5439398, 3.2642692
     0.105,-2.5777664, 3.3013108
    0.1065,-2.6113972, 3.3376833
     0.108,-2.6448262, 3.3733662
    0.1095,-2.6780477, 3.4083388
     0.111,-2.7110559, 3.4425807
