    "time", "Sa1_UPI"
         0,         0
       0.1,         0
     0.101, 21.998047
     0.102, 13.824219
     0.103, 9.6738281
     0.104, 7.5234375
     0.105, 6.2246094
     0.106, 5.5996094
     0.107, 5.1738281
     0.108, 4.4238281
     0.109, 4.1484375
      0.11, 4.1230469
     0.111, 3.8242188
     0.112, 3.4980469
     0.113, 3.4238281
     0.114, 3.3496094
     0.115, 3.2734375
     0.116, 2.9238281
     0.117, 3.0996094
     0.118, 3.0234375
     0.119, 2.9492188
      0.12, 2.8730469
     0.121, 2.7988281
     0.122, 2.7246094
     0.123, 2.9238281
     0.124, 2.8730469
     0.125, 2.8242188
     0.126, 2.7734375
     0.127, 2.7246094
     0.128, 2.9492188
     0.129, 2.9238281
      0.13, 2.8984375
     0.131, 2.8730469
     0.132, 2.8496094
     0.133, 2.8242188
     0.134, 2.7988281
     0.135, 2.7734375
     0.136, 2.7480469
     0.137, 2.7246094
     0.138, 2.6992188
     0.139, 2.6738281
      0.14, 2.6484375
     0.141, 2.8984375
       0.2, 2.8984375
     0.201,-19.101563
     0.202,-14.775391
     0.203,-4.7441406
     0.204,-3.8945313
     0.205,-3.1738281
     0.206,-2.5605469
     0.207,-2.0488281
     0.208,    -1.625
     0.209,-1.2734375
      0.21,-0.98046875
     0.211,-0.74609375
     0.212,-0.5546875
     0.213,-0.3984375
     0.214,-0.27148438
     0.215,-0.17382813
     0.216,-0.095703125
     0.217,-0.037109375
     0.218,0.009765625
     0.219,0.044921875
      0.22, 0.0703125
     0.221,0.087890625
     0.222,0.099609375
     0.223,0.10546875
     0.224,  0.109375
     0.225,0.10742188
     0.226,0.10546875
     0.227, 0.1015625
     0.228,0.095703125
     0.229,0.091796875
      0.23, 0.0859375
     0.231,0.080078125
     0.232,0.07421875
     0.233,0.06640625
     0.234,0.05859375
     0.235,0.056640625
     0.236,0.05078125
     0.237,0.044921875
     0.238,0.041015625
     0.239,0.03515625
      0.24,   0.03125
     0.241,0.02734375
     0.242,0.025390625
     0.243, 0.0234375
     0.244,0.01953125
     0.245,  0.015625
     0.246,  0.015625
     0.247,0.013671875
     0.248,0.01171875
     0.249,0.009765625
      0.25, 0.0078125
     0.251, 0.0078125
     0.252,0.005859375
     0.253,0.005859375
     0.254,0.00390625
     0.256,0.00390625
     0.257,0.001953125
      0.26,0.001953125
     0.261,0.00390625
     0.262,0.001953125
     0.263,0.001953125
     0.264,         0
       0.3,         0
     0.301, 21.998047
     0.302, 13.824219
     0.303, 9.6738281
     0.304, 7.5234375
     0.305, 6.2246094
     0.306, 5.5996094
     0.307, 5.1738281
     0.308, 4.4238281
     0.309, 4.1484375
      0.31, 4.1230469
     0.311, 3.8242188
     0.312, 3.4980469
     0.313, 3.4238281
     0.314, 3.3496094
     0.315, 3.2734375
     0.316, 2.9238281
     0.317, 3.0996094
     0.318, 3.0234375
     0.319, 2.9492188
      0.32, 2.8730469
     0.321, 2.7988281
     0.322, 2.7246094
     0.323, 2.9238281
     0.324, 2.8730469
     0.325, 2.8242188
     0.326, 2.7734375
     0.327, 2.7246094
     0.328, 2.9492188
     0.329, 2.9238281
      0.33, 2.8984375
     0.331, 2.8730469
     0.332, 2.8496094
     0.333, 2.8242188
     0.334, 2.7988281
     0.335, 2.7734375
     0.336, 2.7480469
     0.337, 2.7246094
     0.338, 2.6992188
     0.339, 2.6738281
      0.34, 2.6484375
     0.341, 2.8984375
      0.35, 2.8984375
