"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
0,10,0,0,0
0.002,9.98,0.02,0,0
0.004,9.961256,0.04,0,0
0.006,9.943763,0.06,0,0
0.008,9.927511,0.079999,0,0
0.01,9.912485,0.099998,0,0
0.012,9.898667,0.119997,0,0
0.014,9.886032,0.139995,0,0
0.016,9.87455,0.159992,0,0
0.018,9.864189,0.179988,0,0
0.02,9.85491,0.199984,0,0
0.022,9.846672,0.219978,0,0
0.024,9.839428,0.239971,0,0
0.026,9.833127,0.259962,0,0
0.028,9.827717,0.279952,0,0
0.03,9.823139,0.29994,0,0
0.032,9.819333,0.319926,0,0
0.034,9.816235,0.339911,0,0
0.036,9.813778,0.359893,0,0
0.038,9.811895,0.379874,0,0
0.04,9.810512,0.399851,0,0
0.042,9.809558,0.419827,0,0
0.044,9.808957,0.4398,0,0
0.046,9.808632,0.45977,0,0
0.048,9.808507,0.479738,0,0
0.05,9.808503,0.499702,0,0
0.052,9.808541,0.519664,0,0
0.054,9.808543,0.539622,0,0
0.056,9.808431,0.559577,0,0
0.058,9.808125,0.579529,0,0
0.06,9.807548,0.599477,0,0
0.062,9.806625,0.619421,0,0
0.064,9.80528,0.639362,0,0
0.066,9.80344,0.659299,0,0
0.068,9.801034,0.679231,0,0
0.07,9.797992,0.699159,0,0
0.072,9.794248,0.719084,0,0
0.074,9.789739,0.739003,0,0
0.076,9.784403,0.758918,0,0
0.078,9.778184,0.778829,0,0
0.08,9.771027,0.798734,0,0
0.082,9.762882,0.818635,0,0
0.084,9.753703,0.83853,0,0
0.086,9.743447,0.858421,0,0
0.088,9.732078,0.878306,0,0
0.09,9.719561,0.898185,0,0
0.092,9.705867,0.918059,0,0
0.094,9.690973,0.937928,0,0
0.096,9.674858,0.95779,0,0
0.098,9.657508,0.977647,0,0
0.1,9.638913,0.997497,0,0
0.102,9.619069,1.017341,0,0
0.104,9.597975,1.037179,0,0
0.106,9.575637,1.057011,0,0
0.108,9.552064,1.076836,0,0
0.11,9.527272,1.096654,0,0
0.112,9.501281,1.116466,0,0
0.114,9.474114,1.13627,0,0
0.116,9.445801,1.156067,0,0
0.118,9.416375,1.175858,0,0
