"time","J1_w","J2_w","J3_w","J4_w"
0.0,10.0,0.0,0.0,0.0
1.00000005e-03,9.99015713e+00,9.99999885e-03,3.03056191e-15,3.03007741e-15
2.00000009e-03,9.98062801e+00,1.99999902e-02,6.38031294e-15,6.37923806e-15
3.00000003e-03,9.97141266e+00,2.99999584e-02,7.18522464e-15,7.18352210e-15
4.00000019e-03,9.96251011e+00,3.99998948e-02,8.70137296e-15,8.69903684e-15
4.99999989e-03,9.95391846e+00,4.99997698e-02,8.32667268e-15,8.32378176e-15
6.00000005e-03,9.94563770e+00,5.99995777e-02,7.23032745e-15,7.22655137e-15
7.00000022e-03,9.93766499e+00,6.99992999e-02,6.34214903e-15,6.33784441e-15
8.00000038e-03,9.92999935e+00,7.99989253e-02,7.95197241e-15,7.94688768e-15
8.99999961e-03,9.92263699e+00,8.99984315e-02,7.27196081e-15,7.26647881e-15
9.99999978e-03,9.91557789e+00,9.99978036e-02,8.49320614e-15,8.48750137e-15
1.09999999e-02,9.90881634e+00,1.09997027e-01,8.16013923e-15,8.15389745e-15
1.20000001e-02,9.90235043e+00,1.19996093e-01,9.14546217e-15,9.13862492e-15
1.30000003e-02,9.89617729e+00,1.29994974e-01,8.71525074e-15,8.70826357e-15
1.40000004e-02,9.89029217e+00,1.39993653e-01,7.52176099e-15,7.51439773e-15
1.49999997e-02,9.88469124e+00,1.49992123e-01,6.57807142e-15,6.57030159e-15
1.60000008e-02,9.87937069e+00,1.59990385e-01,8.60422844e-15,8.59608507e-15
1.70000009e-02,9.87432575e+00,1.69988394e-01,7.88258347e-15,7.87412077e-15
1.79999992e-02,9.86955166e+00,1.79986134e-01,7.38298311e-15,7.37426122e-15
1.89999994e-02,9.86504173e+00,1.89983606e-01,7.93809463e-15,7.92917537e-15
1.99999996e-02,9.86079311e+00,1.99980795e-01,8.21565038e-15,8.20659391e-15
2.09999997e-02,9.85679817e+00,2.09977672e-01,7.49400542e-15,7.48487186e-15
2.19999999e-02,9.85305214e+00,2.19974235e-01,7.16093851e-15,7.15157625e-15
2.30000000e-02,9.84954739e+00,2.29970455e-01,5.38458167e-15,5.37497886e-15
2.40000002e-02,9.84627914e+00,2.39966318e-01,5.82867088e-15,5.81906849e-15
2.50000004e-02,9.84324074e+00,2.49961808e-01,6.91113833e-15,6.90154822e-15
2.60000005e-02,9.84042454e+00,2.59956926e-01,3.55271368e-15,3.54306915e-15
2.70000007e-02,9.83782291e+00,2.69951642e-01,6.71684930e-15,6.70716136e-15
2.80000009e-02,9.83543015e+00,2.79945940e-01,5.88418203e-15,5.87448647e-15
2.89999992e-02,9.83323956e+00,2.89939791e-01,5.71764858e-15,5.70789076e-15
2.99999993e-02,9.83124161e+00,2.99933225e-01,4.16333634e-15,4.15352389e-15
3.09999995e-02,9.82942963e+00,3.09926182e-01,4.55191440e-15,4.54201979e-15
3.20000015e-02,9.82779503e+00,3.19918662e-01,3.88578059e-15,3.87587030e-15
3.29999998e-02,9.82632923e+00,3.29910636e-01,4.10782519e-15,4.09787467e-15
3.40000018e-02,9.82502365e+00,3.39902103e-01,5.66213743e-15,5.65218055e-15
3.50000001e-02,9.82386971e+00,3.49893063e-01,6.66133815e-15,6.65137069e-15
3.59999985e-02,9.82285976e+00,3.59883457e-01,4.77395901e-15,4.76398985e-15
3.70000005e-02,9.82198334e+00,3.69873285e-01,6.66133815e-15,6.65137111e-15
3.79999988e-02,9.82123184e+00,3.79862577e-01,7.38298311e-15,7.37303895e-15
3.90000008e-02,9.82059765e+00,3.89851242e-01,7.60502772e-15,7.59510388e-15
3.99999991e-02,9.82007027e+00,3.99839312e-01,6.71684930e-15,6.70696654e-15
4.10000011e-02,9.81964016e+00,4.09826785e-01,6.99440506e-15,6.98457270e-15
4.19999994e-02,9.81929874e+00,4.19813603e-01,5.21804822e-15,5.20824932e-15
4.30000015e-02,9.81903553e+00,4.29799765e-01,5.93969318e-15,5.92996713e-15
4.39999998e-02,9.81884193e+00,4.39785242e-01,6.55031585e-15,6.54063595e-15
4.50000018e-02,9.81870747e+00,4.49770063e-01,7.27196081e-15,7.26230379e-15
4.60000001e-02,9.81862354e+00,4.59754169e-01,7.54951657e-15,7.53989004e-15
4.69999984e-02,9.81857967e+00,4.69737560e-01,9.65894031e-15,9.64931971e-15
4.80000004e-02,9.81856537e+00,4.79720235e-01,8.32667268e-15,8.31714865e-15
4.89999987e-02,9.81857204e+00,4.89702135e-01,1.01030304e-14,1.00935817e-14
5.00000007e-02,9.81858921e+00,4.99683291e-01,9.76996262e-15,9.76063085e-15
5.09999990e-02,9.81860733e+00,5.09663641e-01,8.65973959e-15,8.65048152e-15
5.20000011e-02,9.81861591e+00,5.19643247e-01,1.03250741e-14,1.03159541e-14
5.29999994e-02,9.81860638e+00,5.29622018e-01,1.06581410e-14,1.06490998e-14
5.40000014e-02,9.81856728e+00,5.39599955e-01,1.28785871e-14,1.28696043e-14
