"time","J1_0w","J2_0w","J3_0w","J4_0w"
0,10,0,0,0
0.0015,10,0,0,0
0.0015,9.98536,0.015,-3.30985e-015,-3.30987e-015
0.003,9.98536,0.015,-3.30985e-015,-3.30987e-015
0.003,9.97141,0.0299999,-3.60822e-015,-3.60826e-015
0.0045,9.97141,0.0299999,-3.60822e-015,-3.60826e-015
0.0045,9.95818,0.0449998,-4.47559e-015,-4.47567e-015
0.006,9.95818,0.0449998,-4.47559e-015,-4.47567e-015
0.006,9.94564,0.0599995,-5.22499e-015,-5.2252e-015
0.0075,9.94564,0.0599995,-5.22499e-015,-5.2252e-015
0.0075,9.93379,0.0749991,-5.68989e-015,-5.6902e-015
0.009,9.93379,0.0749991,-5.68989e-015,-5.6902e-015
0.009,9.92263,0.0899983,-5.82867e-015,-5.82906e-015
0.0105,9.92263,0.0899983,-5.82867e-015,-5.82906e-015
0.0105,9.91215,0.104997,-4.13558e-015,-4.13607e-015
0.012,9.91215,0.104997,-4.13558e-015,-4.13607e-015
0.012,9.90234,0.119996,-7.10543e-015,-7.10602e-015
0.0135,9.90234,0.119996,-7.10543e-015,-7.10602e-015
0.0135,9.89318,0.134994,-7.82707e-015,-7.82779e-015
0.015,9.89318,0.134994,-7.82707e-015,-7.82779e-015
0.015,9.88467,0.149992,-8.24341e-015,-8.24425e-015
0.0165,9.88467,0.149992,-8.24341e-015,-8.24425e-015
0.0165,9.87679,0.164989,-6.63358e-015,-6.63455e-015
0.018,9.87679,0.164989,-6.63358e-015,-6.63455e-015
0.018,9.86952,0.179986,-6.30052e-015,-6.30156e-015
0.0195,9.86952,0.179986,-6.30052e-015,-6.30156e-015
0.0195,9.86285,0.194982,-4.88498e-015,-4.88607e-015
0.021,9.86285,0.194982,-4.88498e-015,-4.88607e-015
0.021,9.85676,0.209977,-6.71685e-015,-6.71802e-015
0.0225,9.85676,0.209977,-6.71685e-015,-6.71802e-015
0.0225,9.85124,0.224972,-3.4972e-015,-3.49849e-015
0.024,9.85124,0.224972,-3.4972e-015,-3.49849e-015
0.024,9.84625,0.239966,-3.96905e-015,-3.9705e-015
0.0255,9.84625,0.239966,-3.96905e-015,-3.9705e-015
0.0255,9.84178,0.254959,-2.498e-015,-2.49963e-015
0.027,9.84178,0.254959,-2.498e-015,-2.49963e-015
0.027,9.83781,0.269951,-1.55431e-015,-1.55609e-015
0.0285,9.83781,0.269951,-1.55431e-015,-1.55609e-015
0.0285,9.8343,0.284943,-2.60902e-015,-2.61094e-015
0.03,9.8343,0.284943,-2.60902e-015,-2.61094e-015
0.03,9.83123,0.299933,-2.94209e-015,-2.94414e-015
0.0315,9.83123,0.299933,-2.94209e-015,-2.94414e-015
0.0315,9.82858,0.314922,-1.72085e-015,-1.72298e-015
0.033,9.82858,0.314922,-1.72085e-015,-1.72298e-015
0.033,9.82632,0.32991,-4.55191e-015,-4.55409e-015
0.0345,9.82632,0.32991,-4.55191e-015,-4.55409e-015
0.0345,9.82441,0.344898,-2.77556e-015,-2.77776e-015
0.036,9.82441,0.344898,-2.77556e-015,-2.77776e-015
0.036,9.82284,0.359883,-3.10862e-015,-3.11084e-015
0.0375,9.82284,0.359883,-3.10862e-015,-3.11084e-015
0.0375,9.82157,0.374868,-2.05391e-015,-2.05613e-015
0.039,9.82157,0.374868,-2.05391e-015,-2.05613e-015
0.039,9.82057,0.389851,-3.60822e-015,-3.61044e-015
0.0405,9.82057,0.389851,-3.60822e-015,-3.61044e-015
0.0405,9.81981,0.404833,-1.83187e-015,-1.83409e-015
0.042,9.81981,0.404833,-1.83187e-015,-1.83409e-015
0.042,9.81926,0.419813,-4.10783e-015,-4.11005e-015
0.0435,9.81926,0.419813,-4.10783e-015,-4.11005e-015
0.0435,9.8189,0.434792,-4.88498e-015,-4.88721e-015
0.045,9.8189,0.434792,-4.88498e-015,-4.88721e-015
0.045,9.81867,0.44977,-4.27436e-015,-4.2766e-015
0.0465,9.81867,0.44977,-4.27436e-015,-4.2766e-015
0.0465,9.81856,0.464746,-5.82867e-015,-5.83094e-015
0.048,9.81856,0.464746,-5.82867e-015,-5.83094e-015
0.048,9.81853,0.47972,-5.88418e-015,-5.88648e-015
0.0495,9.81853,0.47972,-5.88418e-015,-5.88648e-015
0.0495,9.81854,0.494693,-3.33067e-015,-3.333e-015
0.051,9.81854,0.494693,-3.33067e-015,-3.333e-015
0.051,9.81857,0.509664,-4.55191e-015,-4.55427e-015
0.0525,9.81857,0.509664,-4.55191e-015,-4.55427e-015
0.0525,9.81858,0.524633,-4.32987e-015,-4.33224e-015
0.054,9.81858,0.524633,-4.32987e-015,-4.33224e-015
0.054,9.81853,0.5396,-4.10783e-015,-4.11019e-015
0.0555,9.81853,0.5396,-4.10783e-015,-4.11019e-015
0.0555,9.8184,0.554565,-4.10783e-015,-4.11018e-015
0.057,9.8184,0.554565,-4.10783e-015,-4.11018e-015
0.057,9.81815,0.569529,-4.55191e-015,-4.55423e-015
0.0585,9.81815,0.569529,-4.55191e-015,-4.55423e-015
0.0585,9.81775,0.58449,-3.55271e-015,-3.55496e-015
0.06,9.81775,0.58449,-3.55271e-015,-3.55496e-015
0.06,9.81716,0.599449,-1.33227e-015,-1.33443e-015
0.0615,9.81716,0.599449,-1.33227e-015,-1.33443e-015
0.0615,9.81636,0.614406,1.11022e-016,1.08958e-016
0.063,9.81636,0.614406,1.11022e-016,1.08958e-016
0.063,9.81531,0.629362,-9.99201e-016,-1.00115e-015
0.0645,9.81531,0.629362,-9.99201e-016,-1.00115e-015
0.0645,9.81398,0.644314,-1.88738e-015,-1.88921e-015
0.066,9.81398,0.644314,-1.88738e-015,-1.88921e-015
0.066,9.81234,0.659265,-3.44169e-015,-3.44338e-015
0.0675,9.81234,0.659265,-3.44169e-015,-3.44338e-015
0.0675,9.81037,0.674213,-3.21965e-015,-3.22119e-015
0.069,9.81037,0.674213,-3.21965e-015,-3.22119e-015
0.069,9.80802,0.689159,-1.66533e-015,-1.66673e-015
0.0705,9.80802,0.689159,-1.66533e-015,-1.66673e-015
0.0705,9.80528,0.704103,-5.55112e-016,-5.56341e-016
0.072,9.80528,0.704103,-5.55112e-016,-5.56341e-016
0.072,9.80212,0.719043,-1.33227e-015,-1.33329e-015
0.0735,9.80212,0.719043,-1.33227e-015,-1.33329e-015
0.0735,9.79852,0.733982,-2.77556e-015,-2.77635e-015
0.075,9.79852,0.733982,-2.77556e-015,-2.77635e-015
0.075,9.79443,0.748918,-2.88658e-015,-2.88709e-015
0.0765,9.79443,0.748918,-2.88658e-015,-2.88709e-015
0.0765,9.78986,0.763851,-1.77636e-015,-1.77658e-015
0.078,9.78986,0.763851,-1.77636e-015,-1.77658e-015
0.078,9.78476,0.778782,-2.66454e-015,-2.66444e-015
0.0795,9.78476,0.778782,-2.66454e-015,-2.66444e-015
0.0795,9.77912,0.793709,-1.77636e-015,-1.77593e-015
0.081,9.77912,0.793709,-1.77636e-015,-1.77593e-015
0.081,9.77291,0.808634,-1.11022e-015,-1.10944e-015
0.0825,9.77291,0.808634,-1.11022e-015,-1.10944e-015
0.0825,9.76613,0.823556,-1.88738e-015,-1.8862e-015
0.084,9.76613,0.823556,-1.88738e-015,-1.8862e-015
0.084,9.75874,0.838476,-1.77636e-015,-1.77477e-015
0.0855,9.75874,0.838476,-1.77636e-015,-1.77477e-015
0.0855,9.75074,0.853392,-1.11022e-015,-1.10819e-015
0.087,9.75074,0.853392,-1.11022e-015,-1.10819e-015
0.087,9.74211,0.868305,-1.22125e-015,-1.2188e-015
0.0885,9.74211,0.868305,-1.22125e-015,-1.2188e-015
0.0885,9.73283,0.883215,-1.55431e-015,-1.5515e-015
0.09,9.73283,0.883215,-1.55431e-015,-1.5515e-015
0.09,9.7229,0.898122,-1.88738e-015,-1.88426e-015
0.0915,9.7229,0.898122,-1.88738e-015,-1.88426e-015
0.0915,9.71229,0.913026,-5.55112e-016,-5.51715e-016
0.093,9.71229,0.913026,-5.55112e-016,-5.51715e-016
0.093,9.70101,0.927927,5.55112e-016,5.58847e-016
0.0945,9.70101,0.927927,5.55112e-016,5.58847e-016
0.0945,9.68904,0.942825,-1.33227e-015,-1.32815e-015
0.096,9.68904,0.942825,-1.33227e-015,-1.32815e-015
0.096,9.67637,0.957719,7.77156e-016,7.81732e-016
0.0975,9.67637,0.957719,7.77156e-016,7.81732e-016
0.0975,9.66301,0.972609,-1.88738e-015,-1.88238e-015
0.099,9.66301,0.972609,-1.88738e-015,-1.88238e-015
0.099,9.64895,0.987497,-1.33227e-015,-1.32684e-015
0.1,9.64895,0.987497,-1.33227e-015,-1.32684e-015
0.1005,9.64895,0.987497,-1.33227e-015,-1.32684e-015
0.1005,9.63418,1.00238,-8.88178e-016,-8.82334e-016
0.102,9.63418,1.00238,-8.88178e-016,-8.82334e-016
0.102,9.61872,1.01726,1.11022e-015,1.11648e-015
0.1035,9.61872,1.01726,1.11022e-015,1.11648e-015
0.1035,9.60255,1.03214,-4.44089e-016,-4.37373e-016
0.105,9.60255,1.03214,-4.44089e-016,-4.37373e-016
0.105,9.58568,1.04701,1.77636e-015,1.78355e-015
0.1065,9.58568,1.04701,1.77636e-015,1.78355e-015
0.1065,9.56811,1.06188,1.33227e-015,1.33997e-015
0.108,9.56811,1.06188,1.33227e-015,1.33997e-015
0.108,9.54986,1.07675,2.66454e-015,2.67273e-015
0.1095,9.54986,1.07675,2.66454e-015,2.67273e-015
0.1095,9.53093,1.09161,8.88178e-016,8.96841e-016
0.111,9.53093,1.09161,8.88178e-016,8.96841e-016
0.111,9.51132,1.10646,6.66134e-016,6.75241e-016
0.1125,9.51132,1.10646,6.66134e-016,6.75241e-016
0.1125,9.49106,1.12132,2.66454e-015,2.67407e-015
0.114,9.49106,1.12132,2.66454e-015,2.67407e-015
0.114,9.47014,1.13617,8.88178e-016,8.98196e-016
0.1155,9.47014,1.13617,8.88178e-016,8.98196e-016
0.1155,9.44859,1.15102,1.9984e-015,2.00894e-015
0.117,9.44859,1.15102,1.9984e-015,2.00894e-015
0.117,9.42642,1.16586,2.22045e-015,2.23156e-015
0.1185,9.42642,1.16586,2.22045e-015,2.23156e-015
