"time","step-size"
0.0,0.0
1.0E-7,1.0E-7
2.0E-7,1.0E-7
3.0E-7,1.0E-7
4.0E-7,1.0E-7
5.0E-7,1.0E-7
6.0E-7,1.0E-7
7.0E-7,1.0E-7
8.0E-7,1.0E-7
9.0E-7,1.0E-7
1.0E-6,1.0E-7
1.1E-6,1.0E-7
1.2E-6,1.0E-7
1.2999999999999998E-6,1.0E-7
1.3999999999999997E-6,1.0E-7
1.4999999999999996E-6,1.0E-7
1.5999999999999995E-6,1.0E-7
1.6999999999999994E-6,1.0E-7
1.7999999999999993E-6,1.0E-7
1.8999999999999992E-6,1.0E-7
1.999999999999999E-6,1.0E-7
2.099999999999999E-6,1.0E-7
2.199999999999999E-6,1.0E-7
2.2999999999999987E-6,1.0E-7
2.3999999999999986E-6,1.0E-7
2.4999999999999985E-6,1.0E-7
2.5999999999999984E-6,1.0E-7
2.6999999999999983E-6,1.0E-7
2.799999999999998E-6,1.0E-7
2.899999999999998E-6,1.0E-7
2.999999999999998E-6,1.0E-7
3.099999999999998E-6,1.0E-7
3.1999999999999977E-6,1.0E-7
3.2999999999999976E-6,1.0E-7
3.3999999999999975E-6,1.0E-7
3.4999999999999974E-6,1.0E-7
3.5999999999999973E-6,1.0E-7
3.699999999999997E-6,1.0E-7
3.799999999999997E-6,1.0E-7
3.899999999999997E-6,1.0E-7
3.999999999999997E-6,1.0E-7
4.099999999999997E-6,1.0E-7
4.199999999999997E-6,1.0E-7
4.299999999999997E-6,1.0E-7
4.399999999999997E-6,1.0E-7
4.499999999999997E-6,1.0E-7
4.599999999999997E-6,1.0E-7
4.6999999999999965E-6,1.0E-7
4.799999999999996E-6,1.0E-7
4.899999999999996E-6,1.0E-7
4.999999999999996E-6,1.0E-7
5.099999999999996E-6,1.0E-7
5.199999999999996E-6,1.0E-7
5.299999999999996E-6,1.0E-7
5.399999999999996E-6,1.0E-7
5.499999999999996E-6,1.0E-7
5.5999999999999955E-6,1.0E-7
5.699999999999995E-6,1.0E-7
5.799999999999995E-6,1.0E-7
5.899999999999995E-6,1.0E-7
5.999999999999995E-6,1.0E-7
6.099999999999995E-6,1.0E-7
6.199999999999995E-6,1.0E-7
6.299999999999995E-6,1.0E-7
6.399999999999995E-6,1.0E-7
6.4999999999999945E-6,1.0E-7
6.599999999999994E-6,1.0E-7
6.699999999999994E-6,1.0E-7
6.799999999999994E-6,1.0E-7
6.899999999999994E-6,1.0E-7
6.999999999999994E-6,1.0E-7
7.099999999999994E-6,1.0E-7
7.199999999999994E-6,1.0E-7
7.299999999999994E-6,1.0E-7
7.3999999999999935E-6,1.0E-7
7.499999999999993E-6,1.0E-7
7.599999999999993E-6,1.0E-7
7.699999999999994E-6,1.0E-7
7.799999999999995E-6,1.0E-7
7.899999999999996E-6,1.0E-7
7.999999999999996E-6,1.0E-7
8.099999999999997E-6,1.0E-7
8.199999999999998E-6,1.0E-7
8.299999999999998E-6,1.0E-7
8.4E-6,1.0E-7
8.5E-6,1.0E-7
8.6E-6,1.0E-7
8.700000000000001E-6,1.0E-7
8.800000000000002E-6,1.0E-7
8.900000000000003E-6,1.0E-7
9.000000000000004E-6,1.0E-7
9.100000000000004E-6,1.0E-7
9.200000000000005E-6,1.0E-7
9.300000000000006E-6,1.0E-7
9.400000000000007E-6,1.0E-7
9.500000000000007E-6,1.0E-7
9.600000000000008E-6,1.0E-7
9.700000000000009E-6,1.0E-7
9.80000000000001E-6,1.0E-7
9.90000000000001E-6,1.0E-7
1.0000000000000011E-5,1.0E-7
1.0100000000000012E-5,1.0E-7
1.0200000000000012E-5,1.0E-7
1.0300000000000013E-5,1.0E-7
1.0400000000000014E-5,1.0E-7
1.0500000000000015E-5,1.0E-7
1.0600000000000015E-5,1.0E-7
1.0700000000000016E-5,1.0E-7
1.0800000000000017E-5,1.0E-7
1.0900000000000018E-5,1.0E-7
1.1000000000000018E-5,1.0E-7
1.1100000000000019E-5,1.0E-7
1.120000000000002E-5,1.0E-7
1.130000000000002E-5,1.0E-7
1.1400000000000021E-5,1.0E-7
1.1500000000000022E-5,1.0E-7
1.1600000000000023E-5,1.0E-7
1.1700000000000024E-5,1.0E-7
1.1800000000000024E-5,1.0E-7
1.1900000000000025E-5,1.0E-7
1.2000000000000026E-5,1.0E-7
1.2100000000000026E-5,1.0E-7
1.2200000000000027E-5,1.0E-7
1.2300000000000028E-5,1.0E-7
1.2400000000000029E-5,1.0E-7
1.250000000000003E-5,1.0E-7
1.260000000000003E-5,1.0E-7
1.2700000000000031E-5,1.0E-7
1.2800000000000032E-5,1.0E-7
1.2900000000000032E-5,1.0E-7
1.3000000000000033E-5,1.0E-7
1.3100000000000034E-5,1.0E-7
1.3200000000000035E-5,1.0E-7
1.3300000000000035E-5,1.0E-7
1.3400000000000036E-5,1.0E-7
1.3500000000000037E-5,1.0E-7
1.3600000000000038E-5,1.0E-7
1.3700000000000038E-5,1.0E-7
1.3800000000000039E-5,1.0E-7
1.390000000000004E-5,1.0E-7
1.400000000000004E-5,1.0E-7
1.4100000000000041E-5,1.0E-7
1.4200000000000042E-5,1.0E-7
1.4300000000000043E-5,1.0E-7
1.4400000000000043E-5,1.0E-7
1.4500000000000044E-5,1.0E-7
1.4600000000000045E-5,1.0E-7
1.4700000000000046E-5,1.0E-7
1.4800000000000046E-5,1.0E-7
1.4900000000000047E-5,1.0E-7
1.5000000000000048E-5,1.0E-7
1.5100000000000049E-5,1.0E-7
1.520000000000005E-5,1.0E-7
1.530000000000005E-5,1.0E-7
1.540000000000005E-5,1.0E-7
1.5500000000000048E-5,1.0E-7
1.5600000000000047E-5,1.0E-7
1.5700000000000046E-5,1.0E-7
1.5800000000000045E-5,1.0E-7
1.5900000000000044E-5,1.0E-7
1.6000000000000043E-5,1.0E-7
1.6100000000000042E-5,1.0E-7
1.620000000000004E-5,1.0E-7
1.630000000000004E-5,1.0E-7
1.640000000000004E-5,1.0E-7
1.650000000000004E-5,1.0E-7
1.6600000000000038E-5,1.0E-7
1.6700000000000037E-5,1.0E-7
1.6800000000000036E-5,1.0E-7
1.6900000000000035E-5,1.0E-7
1.7000000000000034E-5,1.0E-7
1.7100000000000033E-5,1.0E-7
1.7200000000000032E-5,1.0E-7
1.730000000000003E-5,1.0E-7
1.740000000000003E-5,1.0E-7
1.750000000000003E-5,1.0E-7
1.7600000000000028E-5,1.0E-7
1.7700000000000027E-5,1.0E-7
1.7800000000000026E-5,1.0E-7
1.7900000000000025E-5,1.0E-7
1.8000000000000024E-5,1.0E-7
1.8100000000000023E-5,1.0E-7
1.8200000000000022E-5,1.0E-7
1.830000000000002E-5,1.0E-7
1.840000000000002E-5,1.0E-7
1.850000000000002E-5,1.0E-7
1.860000000000002E-5,1.0E-7
1.8700000000000017E-5,1.0E-7
1.8800000000000017E-5,1.0E-7
1.8900000000000016E-5,1.0E-7
1.9000000000000015E-5,1.0E-7
1.9100000000000014E-5,1.0E-7
1.9200000000000013E-5,1.0E-7
1.9300000000000012E-5,1.0E-7
1.940000000000001E-5,1.0E-7
1.950000000000001E-5,1.0E-7
1.960000000000001E-5,1.0E-7
1.9700000000000008E-5,1.0E-7
1.9800000000000007E-5,1.0E-7
1.9900000000000006E-5,1.0E-7
2.0000000000000005E-5,1.0E-7
2.0100000000000004E-5,1.0E-7
2.0200000000000003E-5,1.0E-7
2.0300000000000002E-5,1.0E-7
2.04E-5,1.0E-7
2.05E-5,1.0E-7
2.06E-5,1.0E-7
2.07E-5,1.0E-7
2.0799999999999997E-5,1.0E-7
2.0899999999999996E-5,1.0E-7
2.0999999999999995E-5,1.0E-7
2.1099999999999994E-5,1.0E-7
2.1199999999999994E-5,1.0E-7
2.1299999999999993E-5,1.0E-7
2.139999999999999E-5,1.0E-7
2.149999999999999E-5,1.0E-7
2.159999999999999E-5,1.0E-7
2.169999999999999E-5,1.0E-7
2.1799999999999988E-5,1.0E-7
2.1899999999999987E-5,1.0E-7
2.1999999999999986E-5,1.0E-7
2.2099999999999985E-5,1.0E-7
2.2199999999999984E-5,1.0E-7
2.2299999999999983E-5,1.0E-7
2.2399999999999982E-5,1.0E-7
2.249999999999998E-5,1.0E-7
2.259999999999998E-5,1.0E-7
2.269999999999998E-5,1.0E-7
2.2799999999999978E-5,1.0E-7
2.2899999999999977E-5,1.0E-7
2.2999999999999976E-5,1.0E-7
2.3099999999999975E-5,1.0E-7
2.3199999999999974E-5,1.0E-7
2.3299999999999973E-5,1.0E-7
2.3399999999999972E-5,1.0E-7
2.349999999999997E-5,1.0E-7
2.359999999999997E-5,1.0E-7
2.369999999999997E-5,1.0E-7
2.379999999999997E-5,1.0E-7
2.3899999999999968E-5,1.0E-7
2.3999999999999967E-5,1.0E-7
2.4099999999999966E-5,1.0E-7
2.4199999999999965E-5,1.0E-7
2.4299999999999964E-5,1.0E-7
2.4399999999999963E-5,1.0E-7
2.4499999999999962E-5,1.0E-7
2.459999999999996E-5,1.0E-7
2.469999999999996E-5,1.0E-7
2.479999999999996E-5,1.0E-7
2.4899999999999958E-5,1.0E-7
2.4999999999999957E-5,1.0E-7
2.5099999999999956E-5,1.0E-7
2.5199999999999955E-5,1.0E-7
2.5299999999999954E-5,1.0E-7
2.5399999999999953E-5,1.0E-7
2.5499999999999952E-5,1.0E-7
2.559999999999995E-5,1.0E-7
2.569999999999995E-5,1.0E-7
2.579999999999995E-5,1.0E-7
2.589999999999995E-5,1.0E-7
2.5999999999999948E-5,1.0E-7
2.6099999999999947E-5,1.0E-7
