"time","J1_w","J2_w","J3_w","J4_w"
0,10,0,0,0
0.003,9.97143,0.0299999,-3.56659e-15,-3.56676e-15
0.006,9.94565,0.0599994,-2.46331e-15,-2.46363e-15
0.009,9.92263,0.0899981,-2.56739e-15,-2.56778e-15
0.012,9.90232,0.119996,-2.88658e-15,-2.8874e-15
0.015,9.88463,0.149992,-4.44089e-16,-4.45416e-16
0.018,9.86945,0.179985,0,-1.45312e-18
0.021,9.85664,0.209977,-1.27676e-15,-1.27844e-15
0.024,9.84607,0.239965,-2.05391e-15,-2.05579e-15
0.027,9.83755,0.26995,-3.60822e-15,-3.61042e-15
0.03,9.83089,0.299932,-3.66374e-15,-3.66615e-15
0.033,9.82593,0.329909,-5.55112e-16,-5.57691e-16
0.036,9.82246,0.359882,-1.9984e-15,-2.00131e-15
0.039,9.8202,0.38985,-1.11022e-15,-1.1135e-15
0.042,9.81892,0.419812,-3.10862e-15,-3.11232e-15
0.045,9.81834,0.449769,-3.05311e-15,-3.05714e-15
0.048,9.81821,0.479719,-5.44009e-15,-5.44437e-15
0.051,9.81826,0.509662,-4.88498e-15,-4.88938e-15
0.054,9.81822,0.539599,-6.66134e-15,-6.66576e-15
0.057,9.81783,0.569527,-4.996e-15,-5.00032e-15
0.06,9.81685,0.599448,-3.77476e-15,-3.77887e-15
0.064,9.81414,0.639329,-5.44009e-15,-5.44379e-15
0.067,9.81076,0.669229,-3.33067e-15,-3.33406e-15
0.07,9.80596,0.69912,-3.88578e-15,-3.88895e-15
0.073,9.7995,0.729002,-2.44249e-15,-2.44557e-15
0.076,9.7912,0.758872,-1.66533e-15,-1.66829e-15
0.079,9.78084,0.788732,-1.77636e-15,-1.7792e-15
0.082,9.76825,0.818582,-3.33067e-15,-3.33328e-15
0.085,9.7533,0.848419,-3.55271e-15,-3.55474e-15
0.088,9.73583,0.878244,-4.32987e-15,-4.3308e-15
0.091,9.71575,0.908058,-3.10862e-15,-3.10844e-15
0.094,9.69297,0.937858,-2.10942e-15,-2.10832e-15
0.097,9.66742,0.967645,-1.9984e-15,-1.99669e-15
0.1,9.63907,0.997418,-2.33147e-15,-2.32913e-15
0.103,9.6079,1.02718,-2.66454e-15,-2.66174e-15
0.106,9.57394,1.05692,-4.66294e-15,-4.65976e-15
0.109,9.53721,1.08665,-5.10703e-15,-5.10319e-15
0.112,9.49779,1.11637,-4.21885e-15,-4.21395e-15
0.115,9.45574,1.14607,-4.88498e-15,-4.87877e-15
0.118,9.4112,1.17575,-3.77476e-15,-3.76708e-15
0.121,9.36429,1.20541,-5.9952e-15,-5.98584e-15
0.124,9.31515,1.23506,-4.88498e-15,-4.87378e-15
0.128,9.2465,1.27457,-5.10703e-15,-5.09326e-15
0.131,9.1929,1.30418,-4.88498e-15,-4.86938e-15
0.134,9.13772,1.33376,-4.88498e-15,-4.86781e-15
0.137,9.08121,1.36333,-5.9952e-15,-5.97691e-15
0.14,9.02358,1.39289,-4.21885e-15,-4.19963e-15
0.143,8.9651,1.42242,-4.44089e-15,-4.42109e-15
0.146,8.90604,1.45193,-5.32907e-15,-5.30898e-15
0.149,8.84662,1.48142,-4.44089e-15,-4.42069e-15
0.152,8.78715,1.51089,-4.21885e-15,-4.19864e-15
0.155,8.72787,1.54034,-5.55112e-15,-5.53102e-15
0.158,8.66905,1.56976,-5.32907e-15,-5.30927e-15
0.161,8.61096,1.59917,-4.66294e-15,-4.64353e-15
0.164,8.55385,1.62855,-5.77316e-15,-5.75426e-15
0.167,8.49796,1.65791,-6.43929e-15,-6.42099e-15
0.17,8.44354,1.68724,-5.32907e-15,-5.31146e-15
0.173,8.39079,1.71655,-5.10703e-15,-5.09021e-15
0.176,8.33995,1.74584,-4.44089e-15,-4.42497e-15
0.179,8.29118,1.7751,-5.10703e-15,-5.09203e-15
0.182,8.24465,1.80434,-5.10703e-15,-5.09285e-15
0.185,8.20052,1.83355,-4.21885e-15,-4.20534e-15
0.188,8.15893,1.86273,-5.77316e-15,-5.76009e-15
0.191,8.12003,1.89189,-4.88498e-15,-4.87207e-15
0.194,8.0838,1.92103,-4.44089e-15,-4.42806e-15
0.197,8.05037,1.95013,-4.21885e-15,-4.20595e-15
0.2,8.01979,1.97921,-4.44089e-15,-4.42785e-15
0.203,7.99211,2.00826,-4.44089e-15,-4.42773e-15
0.206,7.96726,2.03728,-5.77316e-15,-5.75987e-15
0.209,7.94521,2.06627,-4.44089e-15,-4.42755e-15
0.212,7.92593,2.09523,-4.88498e-15,-4.87185e-15
0.215,7.90931,2.12417,-4.88498e-15,-4.8725e-15
0.218,7.89527,2.15307,-4.44089e-15,-4.42942e-15
0.221,7.88367,2.18194,-4.44089e-15,-4.43018e-15
0.224,7.87435,2.21078,-5.32907e-15,-5.31909e-15
0.227,7.86713,2.23959,-4.88498e-15,-4.87555e-15
0.23,7.86178,2.26837,-5.32907e-15,-5.31975e-15
0.233,7.85818,2.29712,-5.77316e-15,-5.76433e-15
0.236,7.85606,2.32583,-5.32907e-15,-5.32081e-15
0.239,7.85517,2.35451,-5.32907e-15,-5.32143e-15
0.242,7.85524,2.38316,-4.88498e-15,-4.87809e-15
0.245,7.85604,2.41177,-6.21725e-15,-6.2111e-15
0.248,7.85735,2.44035,-6.21725e-15,-6.21167e-15
0.252,7.85936,2.47841,-6.21725e-15,-6.21225e-15
0.255,7.8607,2.5069,-6.21725e-15,-6.21251e-15
0.258,7.86163,2.53537,-5.77316e-15,-5.76849e-15
0.261,7.8619,2.56379,-6.21725e-15,-6.21248e-15
0.264,7.86124,2.59218,-6.66134e-15,-6.65621e-15
0.267,7.8594,2.62054,-6.66134e-15,-6.65556e-15
0.27,7.85615,2.64885,-7.54952e-15,-7.54276e-15
0.273,7.85128,2.67713,-7.10543e-15,-7.09761e-15
0.276,7.84457,2.70537,-7.54952e-15,-7.54049e-15
0.279,7.83583,2.73357,-7.10543e-15,-7.09512e-15
0.282,7.82491,2.76174,-7.10543e-15,-7.09387e-15
0.285,7.81163,2.78986,-6.21725e-15,-6.20435e-15
0.288,7.79586,2.81795,-7.10543e-15,-7.09108e-15
0.291,7.7775,2.84599,-6.66134e-15,-6.64555e-15
0.294,7.75647,2.874,-6.66134e-15,-6.64415e-15
0.297,7.73272,2.90196,-6.66134e-15,-6.64279e-15
0.3,7.70617,2.92988,-7.10543e-15,-7.08549e-15
0.303,7.67683,2.95777,-7.10543e-15,-7.0841e-15
0.306,7.64472,2.98561,-7.10543e-15,-7.08267e-15
0.309,7.6099,3.0134,-7.54952e-15,-7.52526e-15
0.312,7.57238,3.04116,-6.66134e-15,-6.63546e-15
0.315,7.53226,3.06887,-7.10543e-15,-7.07775e-15
0.318,7.48967,3.09654,-6.66134e-15,-6.63157e-15
0.321,7.44476,3.12416,-7.10543e-15,-7.07319e-15
0.324,7.39767,3.15174,-5.77316e-15,-5.73822e-15
0.327,7.34852,3.17927,-6.21725e-15,-6.17975e-15
0.33,7.29755,3.20676,-5.77316e-15,-5.73313e-15
0.333,7.24499,3.23421,-5.32907e-15,-5.28672e-15
0.336,7.19106,3.2616,-5.77316e-15,-5.72885e-15
0.339,7.13593,3.28896,-6.21725e-15,-6.17098e-15
0.342,7.07989,3.31626,-6.66134e-15,-6.61343e-15
0.345,7.02321,3.34352,-5.77316e-15,-5.72404e-15
0.348,6.96616,3.37073,-6.21725e-15,-6.16745e-15
0.351,6.90897,3.39789,-6.21725e-15,-6.16714e-15
0.354,6.85191,3.42501,-5.77316e-15,-5.723e-15
0.357,6.79525,3.45207,-6.21725e-15,-6.16733e-15
0.36,6.73928,3.47909,-5.77316e-15,-5.72366e-15
0.363,6.68424,3.50606,-6.66134e-15,-6.61238e-15
0.366,6.63037,3.53298,-6.21725e-15,-6.16918e-15
0.369,6.57791,3.55985,-7.10543e-15,-7.05835e-15
0.372,6.5271,3.58666,-6.66134e-15,-6.61526e-15
0.375,6.47815,3.61343,-6.66134e-15,-6.61615e-15
0.378,6.43125,3.64015,-6.66134e-15,-6.61737e-15
