"time","outputs"
0,282.843
0.0002,279.504
0.0004,276.184
0.0006,272.916
0.0008,269.71
0.001,266.552
0.0012,263.401
0.0014,260.194
0.0016,256.875
0.0018,253.538
0.0021,248.582
0.0024,244.18
0.0027,240.987
0.003,239.478
0.0033,239.918
0.0036,242.353
0.0039,246.602
0.0041,250.258
0.0043,254.384
0.0045,258.783
0.0047,263.227
0.0049,267.465
0.0051,271.228
0.0053,274.24
0.0055,276.281
0.0057,277.229
0.0059,276.976
0.0061,275.788
0.0063,274.567
0.0065,273.434
0.0067,272.447
0.0069,271.636
0.0071,271.001
0.0073,270.516
0.0075,270.124
0.0077,269.744
0.0079,269.272
0.0082,268.106
0.0085,265.947
0.0088,262.344
0.0091,258.066
0.0094,254.349
0.0097,251.682
0.01,250.379
0.0103,250.561
0.0106,252.148
0.0109,254.869
0.0112,258.273
0.0115,261.759
0.0118,264.611
0.0121,266.105
0.0124,265.873
0.0127,264.149
0.013,262.788
0.0133,262.218
0.0136,262.54
0.0139,263.685
0.0142,265.419
0.0145,267.358
0.0148,268.99
0.0151,269.703
0.0154,268.852
0.0157,266.145
0.016,262.81
0.0163,260.044
0.0166,258.198
0.0169,257.447
0.0172,257.789
0.0175,259.042
0.0178,260.858
0.0181,262.742
0.0184,264.081
0.0187,264.213
0.019,262.797
0.0193,260.31
0.0196,258.419
0.0199,257.505
0.0202,257.712
0.0205,259.004
0.0208,261.166
0.0211,263.818
0.0214,266.438
0.0217,268.388
0.022,268.966
0.0223,267.713
0.0226,264.934
0.0229,262.417
0.0232,260.662
0.0235,259.871
0.0238,260.072
0.0241,261.116
0.0244,262.695
0.0247,264.351
0.025,265.509
0.0253,265.514
0.0256,263.939
0.0259,261.109
0.0262,258.717
0.0265,257.249
0.0268,256.906
0.0271,257.707
0.0274,259.487
0.0277,261.912
0.028,264.497
0.0283,266.632
0.0286,267.621
0.0289,266.922
0.0292,264.51
0.0295,262.062
0.0298,260.352
0.0301,259.604
0.0304,259.874
0.0307,261.037
0.031,262.805
0.0313,264.737
0.0315,265.842
0.0317,266.581
0.0319,266.748
0.0321,266.192
0.0323,264.872
0.0325,262.93
0.0327,261.099
0.0329,259.574
0.0331,258.455
0.0333,257.805
0.0335,257.654
0.0337,257.996
0.0339,258.787
0.0341,259.952
0.0343,261.382
0.0345,262.938
0.0347,264.457
0.0349,265.752
0.0351,266.621
0.0353,266.855
0.0355,266.339
0.0357,265.033
0.0359,263.203
0.0361,261.556
0.0363,260.229
0.0365,259.309
0.0367,258.847
0.0369,258.86
0.0371,259.329
0.0373,260.203
0.0375,261.394
0.0377,262.785
0.0379,264.232
0.0381,265.564
0.0383,266.592
0.0385,267.114
0.0387,266.938
0.0389,265.993
0.0391,264.266
0.0393,262.385
0.0395,260.756
0.0397,259.487
0.0399,258.653
0.0401,258.298
0.0403,258.427
0.0405,259.011
0.0407,259.986
0.0409,261.256
0.0411,262.694
0.0413,264.145
0.0415,265.433
0.0417,266.363
0.0419,266.725
0.0421,266.365
0.0423,265.235
0.0425,263.419
0.0427,261.662
0.0429,260.199
0.0431,259.127
0.0433,258.509
0.0435,258.375
0.0437,258.717
0.0439,259.493
0.0441,260.627
0.0443,262.011
0.0445,263.508
0.0447,264.954
0.0449,266.167
0.0451,266.944
0.0453,267.079
0.0455,266.458
0.0457,265.044
0.0459,263.147
0.0461,261.445
0.0463,260.066
0.0465,259.096
0.0467,258.59
0.0469,258.565
0.0471,259.003
0.0473,259.852
0.0475,261.027
0.0477,262.409
0.0479,263.856
0.0481,265.196
0.0483,266.241
0.0485,266.787
0.0487,266.643
0.0489,265.74
0.0491,264.056
0.0493,262.21
0.0495,260.618
0.0497,259.389
0.0499,258.598
0.0501,258.286
0.0503,258.459
0.0505,259.086
0.0507,260.102
0.0509,261.41
0.0511,262.882
0.0513,264.364
0.0515,265.678
0.0517,266.627
0.0519,267.004
0.0521,266.65
0.0523,265.518
0.0525,263.691
0.0527,261.917
0.0529,260.432
0.0531,259.332
