"time","Piston.body.r_0[2]","Inertia.w"
0,0.4,0
0.0010001,0.4,0.00941952
0.0020001,0.4,0.0189268
0.0030002,0.4,0.0286131
0.0040003,0.4,0.0385688
0.0050003,0.4,0.0488864
0.0060003,0.4,0.0596642
0.0070003,0.4,0.0710034
0.0080003,0.4,0.0830109
0.0090004,0.4,0.0958009
0.0100005,0.4,0.109493
0.0110006,0.4,0.124215
0.0120007,0.4,0.140107
0.0130008,0.4,0.157317
0.0140009,0.4,0.176008
0.015001,0.4,0.196356
0.0160011,0.4,0.218552
0.0170012,0.399999,0.242806
0.0180013,0.399999,0.269344
0.0190014,0.399999,0.298418
0.0200015,0.399999,0.330301
0.0210016,0.399999,0.365292
0.0220017,0.399999,0.403722
0.0230018,0.399998,0.445951
0.0240019,0.399998,0.492376
0.025002,0.399998,0.543436
0.0260021,0.399997,0.599609
0.0270022,0.399996,0.661423
0.0280023,0.399996,0.729461
0.0290024,0.399995,0.804362
0.0300025,0.399994,0.886828
0.0310026,0.399992,0.977635
0.0320026,0.399991,1.07762
0.0330026,0.399989,1.18774
0.0340026,0.399986,1.30902
0.0350026,0.399983,1.4426
0.0360026,0.39998,1.58972
0.0370026,0.399975,1.75176
0.0380026,0.39997,1.93023
0.0390026,0.399964,2.1268
0.0400026,0.399956,2.34328
0.0410026,0.399947,2.58168
0.0420026,0.399935,2.8442
0.0430026,0.399922,3.13325
0.0440026,0.399905,3.45148
0.0450026,0.399884,3.80177
0.0460026,0.39986,4.18727
0.0470026,0.39983,4.61144
0.0480026,0.399793,5.078
0.0490026,0.399749,5.59102
0.0500026,0.399696,6.15488
0.0510026,0.399631,6.77431
0.0520026,0.399553,7.45434
0.0530026,0.399458,8.20035
0.0540026,0.399343,9.01801
0.0550026,0.399203,9.91321
0.0560026,0.399035,10.892
0.0570026,0.398832,11.9606
0.0580026,0.398586,13.125
0.0590026,0.39829,14.3911
0.0600026,0.397934,15.7641
0.0610026,0.397506,17.2485
0.0620026,0.396992,18.8478
0.0630026,0.396378,20.5636
0.0640026,0.395645,22.3959
0.0650026,0.394772,24.3422
0.0660026,0.393738,26.3975
0.0670026,0.392518,28.5537
0.0680026,0.391083,30.8
0.0690026,0.389406,33.1231
0.0700026,0.387456,35.5078
0.0710026,0.385203,37.9377
0.0720026,0.382615,40.3967
0.0730026,0.379665,42.8702
0.0740026,0.376323,45.3462
0.0750026,0.372567,47.8171
0.0760026,0.368375,50.2799
0.0770026,0.36373,52.7372
0.0780026,0.358621,55.1974
0.0790026,0.353043,57.6742
0.0800026,0.346995,60.1861
0.0810026,0.340483,62.7563
0.0820026,0.333521,65.4113
0.0830026,0.326128,68.1803
0.0840026,0.318336,71.0941
0.0850026,0.310182,74.1841
0.0860026,0.301717,77.4804
0.0870026,0.293003,81.0092
0.0880026,0.284116,84.7895
0.0890026,0.275144,88.8277
0.0900026,0.266193,93.1111
0.0910026,0.257378,97.6006
0.0920026,0.248827,102.224
0.0930026,0.24067,106.876
0.0940026,0.233036,111.422
0.0950026,0.226042,115.713
0.0960026,0.219787,119.611
0.0970026,0.214342,123.009
0.0980026,0.209755,125.843
0.0990026,0.206049,128.091
0.100003,0.203229,129.764
0.101003,0.201291,130.891
0.102003,0.200228,131.5
0.103003,0.200033,131.611
0.104003,0.200704,131.23
0.105003,0.202247,130.353
0.106003,0.20467,128.979
0.107003,0.20798,127.111
0.108003,0.212183,124.764
0.109003,0.217275,121.98
0.110003,0.223236,118.828
0.111003,0.230027,115.413
0.112003,0.23759,111.858
0.113003,0.245847,108.299
0.114003,0.254706,104.863
0.115003,0.264065,101.656
0.116003,0.273815,98.7579
0.117003,0.283849,96.2238
0.118003,0.294062,94.0872
0.119003,0.304352,92.3686
0.120003,0.314623,91.0811
0.121003,0.324782,90.2363
0.122003,0.334743,89.8463
0.123003,0.344417,89.9261
0.124003,0.353717,90.4912
0.125003,0.362547,91.5541
0.126003,0.370802,93.1149
0.127003,0.378359,95.1452
0.128003,0.385072,97.5618
0.129003,0.39077,100.19
0.130003,0.39526,102.733
0.131003,0.398346,104.776
0.132003,0.399859,105.88
0.133003,0.399706,105.881
0.134003,0.397886,105.261
0.135003,0.39447,104.252
0.136003,0.389577,103.104
0.137003,0.383345,102.059
0.138003,0.37592,101.302
0.139003,0.367438,100.965
0.140003,0.358026,101.135
0.141003,0.347804,101.878
0.142003,0.336886,103.246
0.143003,0.32539,105.289
0.144003,0.313438,108.055
0.145003,0.301171,111.588
0.146003,0.288745,115.916
0.147003,0.276347,121.036
0.148003,0.26419,126.885
0.149003,0.252512,133.306
0.150003,0.241563,140.03
0.151003,0.231592,146.686
0.152003,0.222812,152.863
0.153003,0.215382,158.208
0.154003,0.209397,162.501
0.155003,0.204888,165.672
0.156003,0.201851,167.754
0.157003,0.200264,168.82
0.158003,0.20011,168.923
0.159003,0.201387,168.073
0.160003,0.204109,166.25
0.161003,0.208301,163.433
0.162003,0.213981,159.634
0.163003,0.22114,154.953
0.164003,0.229723,149.611
0.165003,0.239622,143.939
0.166003,0.250673,138.327
0.167003,0.262675,133.137
0.168003,0.275409,128.652
0.169003,0.288651,125.058
0.170003,0.302182,122.469
0.171003,0.315794,120.954
0.172003,0.329286,120.573
0.173003,0.342454,121.39
0.174003,0.355081,123.478
0.175003,0.366915,126.901
0.176003,0.377641,131.636
0.177003,0.386853,137.415
0.178003,0.394031,143.452
0.179003,0.398581,148.217
0.180003,0.39999,149.878
0.181003,0.398067,148.16
0.182003,0.39302,144.27
0.183003,0.38531,139.704
0.184003,0.375456,135.648
0.185003,0.363919,132.73
0.186003,0.351076,131.203
0.187003,0.337236,131.153
0.188003,0.322671,132.615
0.189003,0.30764,135.612
0.190003,0.292415,140.158
0.191003,0.277299,146.22
0.192003,0.262635,153.648
0.193003,0.248806,162.088
0.194003,0.236209,170.935
0.195003,0.225208,179.406
0.196003,0.216079,186.751
0.197003,0.208978,192.485
0.198003,0.203949,196.46
0.199003,0.20097,198.749
0.200003,0.2,199.481
0.201003,0.201023,198.711
0.202003,0.204057,196.408
0.203003,0.209144,192.51
0.204003,0.216314,187.029
0.205003,0.22554,180.197
0.206003,0.2367,172.535
0.207003,0.249561,164.783
0.208003,0.263807,157.69
0.209003,0.27908,151.841
0.210003,0.295016,147.604
0.211003,0.311264,145.192
0.212003,0.327486,144.748
0.213003,0.343338,146.422
0.214003,0.358439,150.387
0.215003,0.372315,156.764
0.216003,0.384324,165.334
0.217003,0.393582,174.826
0.218003,0.399,182.065
0.219003,0.399657,183.127
0.220003,0.395405,178.082
0.221003,0.386936,170.236
0.222003,0.375258,162.828
0.223003,0.361269,157.456
0.224003,0.345656,154.593
0.225003,0.328942,154.293
0.226003,0.311569,156.518
0.227003,0.293954,161.228
0.228003,0.276545,168.325
0.229003,0.259842,177.512
0.230003,0.244394,188.114
0.231003,0.230755,199.016
0.232003,0.219389,208.901
0.233003,0.210586,216.745
0.234003,0.204448,222.125
0.235003,0.200947,225.1
0.236003,0.200025,225.868
0.237003,0.20166,224.506
0.238003,0.205889,220.936
0.239003,0.212776,215.06
0.240003,0.222336,207.026
0.241003,0.234453,197.491
0.242003,0.248833,187.605
0.243003,0.265033,178.634
0.244003,0.282538,171.566
0.245003,0.300825,166.993
0.246003,0.31939,165.248
0.247003,0.337737,166.59
0.248003,0.355326,171.316
0.249003,0.371484,179.694
0.250003,0.38526,191.434
0.251003,0.39528,204.16
0.252003,0.399859,211.719
0.253003,0.397899,208.723
0.254003,0.389849,198.473
0.255003,0.377201,187.42
0.256003,0.361436,179.189
0.257003,0.343643,174.733
0.258003,0.324609,174.069
0.259003,0.304964,177.056
0.260003,0.285306,183.545
0.261003,0.266274,193.231
0.262003,0.248578,205.34
0.263003,0.232958,218.389
0.264003,0.220059,230.435
0.265003,0.210289,239.873
0.266003,0.203777,246.054
0.267003,0.200477,249.087
0.268003,0.200311,249.237
0.269003,0.203276,246.537
0.270003,0.209444,240.818
0.271003,0.218884,232.054
0.272003,0.23152,220.894
0.273003,0.247027,208.871
0.274003,0.26484,197.897
0.275003,0.284273,189.506
0.276003,0.304624,184.595
0.277003,0.325219,183.659
0.278003,0.345373,187.116
0.279003,0.364288,195.452
0.280003,0.380861,208.808
0.281003,0.393417,225.079
0.282003,0.399668,236.318
0.283003,0.397857,233.151
0.284003,0.388495,219.622
0.285003,0.3737,205.661
0.286003,0.35547,196.097
0.287003,0.335189,191.792
0.288003,0.31383,192.548
0.289003,0.2922,198.087
0.290003,0.271102,208.04
0.291003,0.251419,221.519
0.292003,0.23409,236.64
0.293003,0.219948,250.731
0.294003,0.209514,261.539
0.295003,0.202933,268.218
0.296003,0.200125,270.974
0.297003,0.201007,270.117
0.298003,0.20561,265.575
0.299003,0.214042,257.11
0.300003,0.226323,245.052
0.301003,0.242183,231.026
0.302003,0.260995,217.634
0.303003,0.281906,207.234
0.304003,0.304019,201.247
0.305003,0.326464,200.421
0.306003,0.348355,205.373
0.307003,0.368616,216.788
0.308003,0.385672,234.481
0.309003,0.397042,253.302
0.310003,0.399741,259.073
0.311003,0.392777,246.405
0.312003,0.378313,228.401
0.313003,0.359189,214.991
0.314003,0.337415,208.378
0.315003,0.314321,208.333
0.316003,0.290946,214.399
0.317003,0.268299,226.005
0.318003,0.247482,241.801
0.319003,0.229638,259.016
0.320003,0.215705,274.082
0.321003,0.206158,284.563
0.322003,0.201031,290.01
0.323003,0.200195,290.875
0.324003,0.203618,287.304
0.325003,0.211415,278.981
0.326003,0.223668,265.99
0.327003,0.240143,250.056
0.328003,0.260131,234.512
0.329003,0.282598,222.578
0.330003,0.306434,216.188
0.331003,0.330565,216.343
0.332003,0.353865,223.907
0.333003,0.374879,239.729
0.334003,0.391311,262.239
0.335003,0.399621,279.492
0.336003,0.396793,273.476
0.337003,0.383909,252.586
0.338003,0.36458,234.383
0.339003,0.341697,224.435
0.340003,0.317087,222.77
0.341003,0.292069,228.714
0.342003,0.26787,241.49
0.343003,0.245812,259.323
0.344003,0.227256,278.55
0.345003,0.21326,294.664
0.346003,0.204277,305.024
0.347003,0.200262,309.486
0.348003,0.201077,308.594
0.349003,0.206758,302.256
0.350003,0.217461,290.106
0.351003,0.233131,273.166
0.352003,0.253163,254.986
0.353003,0.276422,240.012
0.354003,0.301579,231.277
0.355003,0.327329,230.292
0.356003,0.352333,238.175
0.357003,0.374875,256.064
0.358003,0.392182,281.955
0.359003,0.39992,299.564
0.360003,0.394849,288.142
0.361003,0.37911,263.445
0.362003,0.357092,245.007
0.363003,0.331882,236.877
0.364003,0.305399,238.417
0.365003,0.279137,248.706
0.366003,0.254594,266.264
0.367003,0.233378,287.559
0.368003,0.216917,307.039
0.369003,0.205982,320.375
0.370003,0.200636,326.671
0.371003,0.200706,326.591
0.372003,0.206197,320.162
0.373003,0.217287,306.902
0.374003,0.23393,287.981
0.375003,0.255401,267.834
0.376003,0.280338,251.937
0.377003,0.307172,243.806
0.378003,0.334368,245.174
0.379003,0.360274,257.506
0.380003,0.38255,281.764
0.381003,0.397183,310.488
0.382003,0.398892,315.068
0.383003,0.386781,290.147
0.384003,0.36562,265.123
0.385003,0.33984,251.773
0.386003,0.312097,250.213
0.387003,0.284231,259.233
0.388003,0.257965,277.24
0.389003,0.235149,300.398
0.390003,0.217477,322.106
0.391003,0.205893,336.887
0.392003,0.200484,343.548
0.393003,0.201053,342.862
0.394003,0.20763,334.761
0.395003,0.220418,318.764
0.396003,0.239238,297.028
0.397003,0.263043,275.639
0.398003,0.290139,260.795
0.399003,0.31871,255.896
0.400003,0.34696,262.786
0.401003,0.372703,283.312
0.402003,0.39235,315.497
0.403003,0.399997,335.15
0.404003,0.39176,315.122
0.405003,0.371633,284.733
0.406003,0.345354,266.45
0.407003,0.316437,262.152
0.408003,0.287126,270.337
0.409003,0.259399,289.159
0.410003,0.235358,314.262
0.411003,0.216943,337.836
0.412003,0.205211,353.421
0.413003,0.200223,359.801
0.414003,0.201769,357.856
0.415003,0.209931,347.299
0.416003,0.224911,327.884
0.417003,0.246283,303.453
0.418003,0.272576,281.903
0.419003,0.301757,269.634
0.420003,0.331769,269.739
0.421003,0.36044,284.405
0.422003,0.38465,314.975
0.423003,0.3988,347.875
0.424003,0.396325,341.279
0.425003,0.378564,306.999
0.426003,0.352389,282.289
0.427003,0.322553,273.875
0.428003,0.291855,280.119
0.429003,0.262553,298.94
0.430003,0.237008,325.722
0.431003,0.21745,351.538
0.432003,0.205134,368.539
0.433003,0.200144,375.168
0.434003,0.202251,372.407
0.435003,0.211576,359.821
0.436003,0.228302,337.473
0.437003,0.251763,310.888
0.438003,0.28011,289.503
0.439003,0.311005,279.853
0.440003,0.342124,285.024
0.441003,0.370781,307.67
0.442003,0.392553,346.025
0.443003,0.399861,366.715
0.444003,0.388401,337.621
0.445003,0.36426,303.38
0.446003,0.334295,286.849
0.447003,0.302378,287.779
0.448003,0.271164,303.843
0.449003,0.243243,330.969
0.450003,0.221227,359.957
0.451003,0.206851,380.545
0.452003,0.200427,389.456
0.453003,0.201688,387.745
0.454003,0.210712,375.144
0.455003,0.22773,351.492
0.456003,0.252052,322.844
0.457003,0.281628,300.123
0.458003,0.313837,290.814
0.459003,0.346062,298.453
0.460003,0.375149,326.092
0.461003,0.395591,368.389
0.462003,0.398637,377.786
0.463003,0.382278,339.358
0.464003,0.354712,307.441
0.465003,0.322523,296.253
0.466003,0.289376,303.688
0.467003,0.258126,326.668
0.468003,0.231723,358.127
0.469003,0.212752,385.644
0.470003,0.202315,400.92
0.471003,0.200253,403.823
0.472003,0.206434,395.017
0.473003,0.221152,373.564
0.474003,0.24413,343.351
0.475003,0.273521,316.149
0.476003,0.306488,302.273
0.477003,0.340124,306.552
0.478003,0.371134,332.579
0.479003,0.393979,377.605
0.480003,0.399153,393.719
0.481003,0.383163,353.629
0.482003,0.35475,318.683
0.483003,0.321368,306.783
0.484003,0.287089,315.499
0.485003,0.25508,341.103
0.486003,0.228596,374.827
0.487003,0.210331,402.43
0.488003,0.201214,416.089
0.489003,0.200979,416.429
0.490003,0.209613,403.607
0.491003,0.227411,377.115
0.492003,0.253606,344.38
0.493003,0.285671,319.58
0.494003,0.320391,312.019
0.495003,0.354503,326.179
0.496003,0.383631,365.424
0.497003,0.399452,408.509
0.498003,0.392514,387.369
0.499003,0.367466,341.772
0.5,0.334471,319.1
