"time","revolute1.w","revolute2.w"
0,0,0
0.01,-0.25142255489587,0.3339588392147
0.02,-0.5027074445166,0.66756180091991
0.03,-0.75378413539221,1.0005707635257
0.04,-1.0044698805444,1.3323686928125
0.05,-1.2544159181573,1.6617775121827
0.06,-1.5030588108397,1.986892222426
0.07,-1.7495824270612,2.3049486957084
0.08,-1.9928985177445,2.6122504206227
0.09,-2.2316552570795,2.9041842472658
0.1,-2.4642820634507,3.1753524481749
0.11,-2.6890741629015,3.4198340275253
0.12,-2.9043114783222,3.6315613477231
0.13,-3.108395418028,3.8047643947032
0.14,-3.2999781040817,3.9344067331763
0.15,-3.4780562164297,4.016528701072
0.16,-3.642008359309,4.0484322694289
0.17,-3.7915687713048,4.0286828414751
0.18,-3.9267457359477,3.9569495425345
0.19,-4.0477042083337,3.8337391670085
0.2,-4.1546358158494,3.6600901786209
0.21,-4.2476362478934,3.4372838379298
0.22,-4.3266032838138,3.166608890061
0.23,-4.3911616724936,2.8491942723384
0.24,-4.4406158556712,2.4859073661789
0.25,-4.4739286999518,2.0773054142939
0.26,-4.4897235574041,1.6236239491006
0.27,-4.4863073536104,1.1247865133909
0.28,-4.4617133524336,0.58042296826042
0.29,-4.4137634468233,-0.010111458648761
0.3,-4.34015138926,-0.64771713454213
0.31,-4.2385509642861,-1.3335206457667
0.32,-4.1067581404524,-2.0688059378554
0.33,-3.9428863041526,-2.8548434510707
0.34,-3.7456531281124,-3.6924947127808
0.35,-3.5148330934356,-4.5813637469044
0.36,-3.2520087878924,-5.5180899331025
0.37,-2.961836050369,-6.4931245353747
0.38,-2.6540974945702,-7.4851205335757
0.39,-2.3466668462766,-8.4524165314938
0.4,-2.0686554156624,-9.3234136044757
0.41,-1.8608648870543,-9.9937438584556
0.42,-1.7683229526563,-10.34511756017
0.43,-1.8227702302241,-10.292568181602
0.44,-2.0253487959563,-9.831952982788
0.45,-2.3461706569414,-9.0409718547029
0.46,-2.7411348095845,-8.0327922815029
0.47,-3.1695437645788,-6.9085253130469
0.48,-3.60191063845,-5.7376715680989
0.49,-4.0198036447947,-4.5604903922908
0.5,-4.4129033347646,-3.3974280893634
0.51,-4.7761745964759,-2.2575670002244
0.52,-5.1078956708349,-1.1442248097629
0.53,-5.4084170387972,-0.058222169160677
0.54,-5.6793615238084,1.0002701781141
0.55,-5.9230304457008,2.030574758119
0.56,-6.1418553907263,3.0305314397657
0.57,-6.3377856386653,3.995339002686
0.58,-6.5115345383341,4.9159543428275
0.59,-6.6616557211902,5.7769457752738
0.6,-6.7835392163566,6.5540739230663
0.61,-6.8686808034773,7.2126792743854
0.62,-6.9049793952584,7.709155034693
0.63,-6.8790321455499,7.9983842168707
0.64,-6.7806598513353,8.0477264664831
0.65,-6.6078653854598,7.8519862985256
0.66,-6.3688607597613,7.4391380298095
0.67,-6.0794067839,6.8615825931819
0.68,-5.7574564884421,6.1791352768886
0.69,-5.4186143471205,5.4445482532738
0.7,-5.0741410032834,4.6969203954609
0.71,-4.7310454673532,3.9616445726457
0.72,-4.3931016539854,3.2533434062891
0.73,-4.0619622837148,2.5792340841064
0.74,-3.7380316473463,1.941843600355
0.75,-3.4210483199948,1.3408868471646
0.76,-3.1104361033349,0.7744590167707
0.77,-2.8054975560496,0.23975289411009
0.78,-2.5055100705274,-0.26652556462677
0.79,-2.2097658673271,-0.74792255480237
0.8,-1.9175825779012,-1.2081042200968
0.81,-1.6283012887588,-1.6507768542876
0.82,-1.3412830705765,-2.0796262636614
0.83,-1.0559119737337,-2.4982515953242
0.84,-0.77161134932847,-2.9100718106753
0.85,-0.4878804645533,-3.3181822086701
0.86,-0.20435899153529,-3.725136137747
0.87,0.079073103463805,-4.1326267143081
0.88,0.36215556280221,-4.5410512452306
0.89,0.64407207787919,-4.9489675141942
0.9,0.92326276568334,-5.3525093560324
0.91,1.1972813079639,-5.7449259890426
0.92,1.462790809567,-6.1165236489003
0.93,1.7158083664383,-6.4553398288575
0.94,1.9522589895437,-6.7487398603917
0.95,2.1687612211875,-6.9857196963732
0.96,2.3633958344464,-7.1591908416
0.97,2.5361434905975,-7.267321107661
0.98,2.688812373202,-7.3133937583312
0.99,2.8245315779109,-7.3043938759352
1,2.9470655577325,-7.2490614322
1.01,3.0602033810651,-7.1561514754761
1.02,3.1673549633303,-7.033289078831
1.03,3.2713593380482,-6.8864379809869
1.04,3.374446618549,-6.7198159845053
1.05,3.478283232292,-6.5360565651767
1.06,3.5840475308137,-6.3364670464378
1.07,3.6925042131312,-6.1212959142547
1.08,3.8040624425004,-5.8899695084915
1.09,3.9188125065223,-5.6412869204111
1.1,4.0365409951773,-5.3735761331839
1.11,4.1567267601192,-5.0848199651745
1.12,4.2785208664823,-4.772761358827
1.13,4.4007142622374,-4.4349964216682
1.14,4.5216974427548,-4.0690615770814
1.15,4.6394171698342,-3.6725187293352
1.16,4.7513363148075,-3.2430396608713
1.17,4.8544039871715,-2.7784880147692
1.18,4.9450440078572,-2.2769942348852
1.19,5.0191701036986,-1.7370158723422
1.2,5.0722354784461,-1.1573729308958
1.21,5.0993221957593,-0.53724567217991
1.22,5.0952717372619,0.12387923473264
1.23,5.0548520624594,0.82632905681007
1.24,4.9729487661493,1.5704467335272
1.25,4.8447592469916,2.3568888544031
1.26,4.6659603726328,3.1870356188173
1.27,4.4328134297136,4.0635320081516
1.28,4.1421665686694,4.9909876445902
1.29,3.791315426831,5.9768779211266
1.3,3.3776878242751,7.0327109984705
1.31,2.8983311013323,8.1755453307224
1.32,2.3492142270475,9.4299198603657
1.33,1.7244639794512,10.830043387106
1.34,1.0160210155321,12.4211536552
1.35,0.21544629957046,14.255514939936
1.36,-0.67640916445775,16.367077701137
1.37,-1.6158751420379,18.678296543695
1.38,-2.4363299623788,20.768917044455
1.39,-2.7976759324427,21.715216997
1.4,-2.4653268129078,20.865710135275
1.41,-1.6490536986426,18.803261606801
1.42,-0.69584136005114,16.472410560986
1.43,0.21583136877838,14.326568714757
1.44,1.0371103500967,12.456581428332
1.45,1.765648217088,10.831232994005
1.46,2.4095330278539,9.3978566093627
1.47,2.9767177566793,8.1102604203609
1.48,3.47298293563,6.9334149318511
1.49,3.902256037865,5.8422182136425
1.5,4.2674047283529,4.8192869124387
1.51,4.5709709425086,3.8529761573598
1.52,4.8157111820578,2.9358091512814
1.53,5.0049259083586,2.0632594735698
1.54,5.1425988592707,1.2328022841425
1.55,5.2333824003837,0.44317072377722
1.56,5.282471892594,-0.30622362572328
1.57,5.2954132798446,-1.0157321467434
1.58,5.2778843818922,-1.6857905762973
1.59,5.2354828297806,-2.3171357890633
1.6,5.1735438867684,-2.9109333262546
1.61,5.0970013428209,-3.4688317195717
1.62,5.0102957060012,-3.9929598457266
1.63,4.9173269152855,-4.4858825426997
1.64,4.8214440411266,-4.9505272727847
1.65,4.7254617007653,-5.3900907195087
1.66,4.6316916357602,-5.8079288820255
1.67,4.5419773368943,-6.2074273474561
1.68,4.4577189481232,-6.5918395294165
1.69,4.3798741509759,-6.9640689531218
1.7,4.3089176895563,-7.3263562416936
1.71,4.2447375190906,-7.6798123832292
1.72,4.1864406434987,-8.0237212267944
1.73,4.1320419137541,-8.354531384057
1.74,4.0780284706141,-8.6645116404847
1.75,4.0188596397145,-8.9402379064062
1.76,3.946615099734,-9.1615259166862
1.77,3.8512414402902,-9.3021185455648
1.78,3.7219966210598,-9.333874621159
1.79,3.5503177374835,-9.2351061049264
1.8,3.3331503783222,-9.0002215445151
1.81,3.0746335465512,-8.6444837554998
1.82,2.784683848249,-8.1996397730588
1.83,2.4753907346419,-7.7031782673629
1.84,2.1575804907429,-7.1881976054047
1.85,1.839060042402,-6.6783124157665
1.86,1.5244717946148,-6.1873400078241
1.87,1.2159710167933,-5.7213988030203
1.88,0.91406504912127,-5.2814536529362
1.89,0.6183057272013,-4.865398938707
1.9,0.32776786803584,-4.4694889805689
1.91,0.041347154957117,-4.089222119721
1.92,-0.24206815870973,-3.7198455148119
1.93,-0.52350580822328,-3.3566210846907
1.94,-0.80386669118199,-2.9949498672343
1.95,-1.0839110218291,-2.6304160028038
1.96,-1.3642621759353,-2.2587865749858
1.97,-1.6454222500242,-1.8759876083312
1.98,-1.9277965861982,-1.4780667178061
1.99,-2.2117264115964,-1.0611469033186
2,-2.4975298171007,-0.62137222930532
2.01,-2.7855518649625,-0.15484368357191
2.02,-3.0762248439811,0.34245811818417
2.03,-3.3701396520402,0.87476764532467
2.04,-3.6681289290123,1.4466507804411
2.05,-3.971361636118,2.0631449339999
2.06,-4.2814466072353,2.7299188459276
2.07,-4.600537586377,3.4534323851005
2.08,-4.9314207909291,4.2410406506943
2.09,-5.2775401177802,5.1009062884221
2.1,-5.6428577921024,6.0414089121806
2.11,-6.0313262837189,7.0693732074776
2.12,-6.4455077175542,8.1857245331823
2.13,-6.8834916633391,9.3760514618211
2.14,-7.3329932384945,10.59281884376
2.15,-7.762756368492,11.729839040956
2.16,-8.1173791474401,12.60772696938
2.17,-8.3312446449251,13.017661030113
2.18,-8.367777058509,12.841765936872
2.19,-8.2478050725456,12.140339896773
2.2,-8.0295054629111,11.092202511414
2.21,-7.7682282650558,9.873006374463
2.22,-7.4974456974082,8.5962980076806
2.23,-7.2307518228994,7.3180801834873
2.24,-6.969638265757,6.0592467313774
2.25,-6.7095969373273,4.8232987950694
2.26,-6.4436485344956,3.6063812414255
2.27,-6.1641649312238,2.4021081408896
2.28,-5.8637822734553,1.2035413159712
2.29,-5.5358607405741,0.0037335953920439
2.3,-5.1747094868592,-1.2044267694859
2.31,-4.7756742211994,-2.4286881146732
2.32,-4.3351428100617,-3.6779847566111
2.33,-3.8505408087686,-4.9628165769912
2.34,-3.3204716269647,-6.2950244867607
2.35,-2.7453513818264,-7.6860145637965
2.36,-2.1292947075372,-9.1413323323419
