    "time","Circle_SWC_output_Coords.x","Circle_SWC_output_Coords.y"
         0,         0,         0
       0.1,0.54000002,0.83999997
       0.2,-0.41999999,0.89999998
       0.3,-0.99000001,      0.14
       0.4,-0.66000003,-0.75999999
       0.5,      0.28,-0.95999998
       0.6,0.95999998,     -0.28
       0.7,      0.75,0.64999998
       0.8,-0.15000001,0.98000002
       0.9,-0.92000002,      0.41
         1,-0.83999997,-0.55000001
       1.1,         0,        -1
       1.2,0.83999997,-0.54000002
       1.3,0.89999998,0.41999999
       1.4,      0.13,0.99000001
       1.5,-0.75999999,0.64999998
       1.6,-0.95999998,-0.28999999
       1.7,     -0.28,-0.97000003
       1.8,0.66000003,-0.75999999
       1.9,0.98000002,      0.14
         2,0.40000001,0.91000003
       2.1,-0.55000001,0.82999998
       2.2,        -1,-0.0099999998
       2.3,-0.54000002,-0.85000002
       2.4,0.41999999,-0.91000003
       2.5,0.99000001,     -0.14
       2.6,0.63999999,0.75999999
       2.7,-0.30000001,0.94999999
       2.8,-0.97000003,0.27000001
       2.9,     -0.75,-0.67000002
         3,0.15000001,-0.99000001
       3.1,0.91000003,     -0.41
       3.2,0.82999998,0.55000001
       3.3,     -0.02,0.99000001
       3.4,-0.85000002,0.51999998
       3.5,-0.91000003,-0.43000001
       3.6,     -0.13,        -1
       3.7,0.75999999,-0.64999998
       3.8,0.94999999,0.28999999
       3.9,0.25999999,0.95999998
         4,-0.67000002,0.74000001
