"time","I@variable_resistance","U@resistance"
0.000000E+000,0.000000E+000,0.000000E+000
0.000000E+000,0.000000E+000,0.000000E+000
0.000000E+000,0.000000E+000,0.000000E+000
1.000000E-008,0.000000E+000,0.000000E+000
1.000000E-008,0.000000E+000,0.000000E+000
1.000000E-008,-3.495963E-011,1.325217E-007
2.000000E-008,-3.495963E-011,1.325217E-007
2.000000E-008,-3.495963E-011,1.325217E-007
2.000000E-008,-1.398352E-010,1.053584E-006
3.000000E-008,-1.398352E-010,1.053584E-006
3.000000E-008,-1.398352E-010,1.053584E-006
3.000000E-008,-3.146169E-010,3.549452E-006
4.000000E-008,-3.146169E-010,3.549452E-006
4.000000E-008,-3.146169E-010,3.549452E-006
4.000000E-008,-5.592882E-010,8.405152E-006
5.000000E-008,-5.592882E-010,8.405152E-006
5.000000E-008,-5.592882E-010,8.405152E-006
5.000000E-008,-8.738262E-010,1.640358E-005
6.000000E-008,-8.738262E-010,1.640358E-005
6.000000E-008,-8.738262E-010,1.640358E-005
6.000000E-008,-1.258201E-009,2.832530E-005
7.000000E-008,-1.258201E-009,2.832530E-005
7.000000E-008,-1.258201E-009,2.832530E-005
7.000000E-008,-1.712378E-009,4.494857E-005
8.000000E-008,-1.712378E-009,4.494857E-005
8.000000E-008,-1.712378E-009,4.494857E-005
8.000000E-008,-2.236312E-009,6.704919E-005
9.000000E-008,-2.236312E-009,6.704919E-005
9.000000E-008,-2.236312E-009,6.704919E-005
9.000000E-008,-2.829956E-009,9.540062E-005
1.000000E-007,-2.829956E-009,9.540062E-005
1.000000E-007,-2.829956E-009,9.540062E-005
1.000000E-007,-3.493254E-009,1.307734E-004
1.100000E-007,-3.493254E-009,1.307734E-004
1.100000E-007,-3.493254E-009,1.307734E-004
1.100000E-007,-4.226143E-009,1.739354E-004
1.200000E-007,-4.226143E-009,1.739354E-004
1.200000E-007,-4.226143E-009,1.739354E-004
1.200000E-007,-5.028555E-009,2.256519E-004
1.300000E-007,-5.028555E-009,2.256519E-004
1.300000E-007,-5.900415E-009,2.866850E-004
1.400000E-007,-5.900415E-009,2.866850E-004
1.400000E-007,-5.900415E-009,2.866850E-004
1.400000E-007,-6.841641E-009,3.577940E-004
1.500000E-007,-6.841641E-009,3.577940E-004
1.500000E-007,-7.852144E-009,4.397348E-004
1.600000E-007,-7.852144E-009,4.397348E-004
1.600000E-007,-7.852144E-009,4.397348E-004
1.600000E-007,-8.931831E-009,5.332605E-004
1.700000E-007,-8.931831E-009,5.332605E-004
1.700000E-007,-8.931831E-009,5.332605E-004
1.700000E-007,-1.008060E-008,6.391205E-004
1.800000E-007,-1.008060E-008,6.391205E-004
1.800000E-007,-1.129834E-008,7.580609E-004
1.900000E-007,-1.129834E-008,7.580609E-004
1.900000E-007,-1.129834E-008,7.580609E-004
1.900000E-007,-1.258495E-008,8.908244E-004
2.000000E-007,-1.258495E-008,8.908244E-004
2.000000E-007,-1.394030E-008,1.038150E-003
2.100000E-007,-1.394030E-008,1.038150E-003
2.100000E-007,-1.394030E-008,1.038150E-003
2.100000E-007,-1.536426E-008,1.200773E-003
2.200000E-007,-1.536426E-008,1.200773E-003
2.200000E-007,-1.536426E-008,1.200773E-003
2.200000E-007,-1.685670E-008,1.379425E-003
2.300000E-007,-1.685670E-008,1.379425E-003
2.300000E-007,-1.841748E-008,1.574833E-003
2.400000E-007,-1.841748E-008,1.574833E-003
2.400000E-007,-1.841748E-008,1.574833E-003
2.400000E-007,-2.004646E-008,1.787721E-003
2.500000E-007,-2.004646E-008,1.787721E-003
2.500000E-007,-2.174348E-008,2.018808E-003
2.600000E-007,-2.174348E-008,2.018808E-003
2.600000E-007,-2.174348E-008,2.018808E-003
2.600000E-007,-2.350839E-008,2.268811E-003
2.700000E-007,-2.350839E-008,2.268811E-003
2.700000E-007,-2.350839E-008,2.268811E-003
2.700000E-007,-2.534103E-008,2.538439E-003
2.800000E-007,-2.534103E-008,2.538439E-003
2.800000E-007,-2.534103E-008,2.538439E-003
2.800000E-007,-2.724121E-008,2.828400E-003
2.900000E-007,-2.724121E-008,2.828400E-003
2.900000E-007,-2.724121E-008,2.828400E-003
2.900000E-007,-2.920877E-008,3.139396E-003
3.000000E-007,-2.920877E-008,3.139396E-003
3.000000E-007,-3.124351E-008,3.472124E-003
3.100000E-007,-3.124351E-008,3.472124E-003
3.100000E-007,-3.124351E-008,3.472124E-003
3.100000E-007,-3.334526E-008,3.827278E-003
3.200000E-007,-3.334526E-008,3.827278E-003
3.200000E-007,-3.334526E-008,3.827278E-003
3.200000E-007,-3.551382E-008,4.205545E-003
3.300000E-007,-3.551382E-008,4.205545E-003
3.300000E-007,-3.551382E-008,4.205545E-003
3.300000E-007,-3.774897E-008,4.607609E-003
3.400000E-007,-3.774897E-008,4.607609E-003
3.400000E-007,-3.774897E-008,4.607609E-003
3.400000E-007,-4.005053E-008,5.034149E-003
3.500000E-007,-4.005053E-008,5.034149E-003
3.500000E-007,-4.241827E-008,5.485839E-003
3.600000E-007,-4.241827E-008,5.485839E-003
3.600000E-007,-4.241827E-008,5.485839E-003
3.600000E-007,-4.485197E-008,5.963346E-003
3.700000E-007,-4.485197E-008,5.963346E-003
3.700000E-007,-4.485197E-008,5.963346E-003
3.700000E-007,-4.735141E-008,6.467334E-003
3.800000E-007,-4.735141E-008,6.467334E-003
3.800000E-007,-4.735141E-008,6.467334E-003
3.800000E-007,-4.991635E-008,6.998461E-003
3.900000E-007,-4.991635E-008,6.998461E-003
3.900000E-007,-4.991635E-008,6.998461E-003
3.900000E-007,-5.254656E-008,7.557379E-003
4.000000E-007,-5.254656E-008,7.557379E-003
4.000000E-007,-5.524179E-008,8.144737E-003
4.100000E-007,-5.524179E-008,8.144737E-003
4.100000E-007,-5.524179E-008,8.144737E-003
4.100000E-007,-5.800180E-008,8.761175E-003
4.200000E-007,-5.800180E-008,8.761175E-003
4.200000E-007,-5.800180E-008,8.761175E-003
4.200000E-007,-6.082632E-008,9.407330E-003
4.300000E-007,-6.082632E-008,9.407330E-003
4.300000E-007,-6.082632E-008,9.407330E-003
4.300000E-007,-6.371510E-008,1.008383E-002
4.400000E-007,-6.371510E-008,1.008383E-002
4.400000E-007,-6.371510E-008,1.008383E-002
4.400000E-007,-6.666787E-008,1.079131E-002
4.500000E-007,-6.666787E-008,1.079131E-002
4.500000E-007,-6.666787E-008,1.079131E-002
