"time","p1@general_hydraulic_chamber","p1@hydraulic_4","q@volumesensor"
0.000000E+000,2.000000E+002,2.000000E+002,0.000000E+000
6.000000E-006,2.000111E+002,2.000000E+002,0.000000E+000
1.200000E-005,2.000213E+002,2.000000E+002,0.000000E+000
1.800000E-005,2.000291E+002,2.000000E+002,0.000000E+000
2.400000E-005,2.000349E+002,2.000000E+002,0.000000E+000
3.000000E-005,2.000393E+002,2.000000E+002,0.000000E+000
3.600000E-005,2.000426E+002,2.000000E+002,0.000000E+000
4.200000E-005,2.000451E+002,2.000000E+002,0.000000E+000
4.800000E-005,2.000470E+002,2.000000E+002,0.000000E+000
5.400000E-005,2.000484E+002,2.000004E+002,0.000000E+000
6.000000E-005,2.000495E+002,2.000016E+002,0.000000E+000
6.600000E-005,2.000503E+002,2.000048E+002,0.000000E+000
7.200000E-005,2.000509E+002,2.000115E+002,0.000000E+000
7.800000E-005,2.000514E+002,2.000218E+002,0.000000E+000
8.400000E-005,2.000518E+002,2.000352E+002,0.000000E+000
9.000000E-005,2.000520E+002,2.000500E+002,0.000000E+000
9.600000E-005,2.000522E+002,2.000642E+002,0.000000E+000
1.020000E-004,2.000524E+002,2.000758E+002,0.000000E+000
1.080000E-004,2.000525E+002,2.000844E+002,0.000000E+000
1.140000E-004,2.000526E+002,2.000902E+002,0.000000E+000
1.200000E-004,2.000526E+002,2.000941E+002,0.000000E+000
1.260000E-004,2.000527E+002,2.000965E+002,0.000000E+000
1.320000E-004,2.000527E+002,2.000983E+002,0.000000E+000
1.380000E-004,2.000528E+002,2.000996E+002,0.000000E+000
1.440000E-004,2.000528E+002,2.001007E+002,0.000000E+000
1.500000E-004,2.000529E+002,2.001016E+002,0.000000E+000
1.560000E-004,2.000529E+002,2.001023E+002,0.000000E+000
1.620000E-004,2.000530E+002,2.001029E+002,0.000000E+000
1.680000E-004,2.000531E+002,2.001033E+002,0.000000E+000
1.740000E-004,2.000532E+002,2.001036E+002,0.000000E+000
1.800000E-004,2.000533E+002,2.001038E+002,0.000000E+000
1.860000E-004,2.000534E+002,2.001036E+002,0.000000E+000
1.920000E-004,2.000535E+002,2.001029E+002,0.000000E+000
1.980000E-004,2.000535E+002,2.001013E+002,0.000000E+000
2.040000E-004,2.000536E+002,2.000986E+002,0.000000E+000
2.100000E-004,2.000536E+002,2.000943E+002,0.000000E+000
2.160000E-004,2.000537E+002,2.000878E+002,0.000000E+000
2.220000E-004,2.000537E+002,2.000792E+002,0.000000E+000
2.280000E-004,2.000537E+002,2.000691E+002,0.000000E+000
2.340000E-004,2.000537E+002,2.000580E+002,0.000000E+000
2.400000E-004,2.000538E+002,2.000469E+002,0.000000E+000
2.460000E-004,2.000538E+002,2.000366E+002,0.000000E+000
2.520000E-004,2.000538E+002,2.000280E+002,0.000000E+000
2.580000E-004,2.000538E+002,2.000213E+002,0.000000E+000
2.640000E-004,2.000538E+002,2.000164E+002,0.000000E+000
2.700000E-004,2.000538E+002,2.000130E+002,0.000000E+000
2.760000E-004,2.000538E+002,2.000110E+002,0.000000E+000
2.820000E-004,2.000538E+002,2.000096E+002,0.000000E+000
2.880000E-004,2.000537E+002,2.000087E+002,0.000000E+000
2.940000E-004,2.000537E+002,2.000079E+002,0.000000E+000
3.000000E-004,2.000537E+002,2.000073E+002,0.000000E+000
3.060000E-004,2.000536E+002,2.000068E+002,0.000000E+000
3.120000E-004,2.000535E+002,2.000064E+002,0.000000E+000
3.180000E-004,2.000535E+002,2.000062E+002,0.000000E+000
3.240000E-004,2.000534E+002,2.000063E+002,0.000000E+000
3.300000E-004,2.000533E+002,2.000069E+002,0.000000E+000
3.360000E-004,2.000532E+002,2.000082E+002,0.000000E+000
3.420000E-004,2.000532E+002,2.000103E+002,0.000000E+000
3.480000E-004,2.000531E+002,2.000135E+002,0.000000E+000
3.540000E-004,2.000531E+002,2.000181E+002,0.000000E+000
3.600000E-004,2.000530E+002,2.000240E+002,0.000000E+000
3.660000E-004,2.000530E+002,2.000315E+002,0.000000E+000
3.720000E-004,2.000530E+002,2.000399E+002,0.000000E+000
3.780000E-004,2.000530E+002,2.000491E+002,0.000000E+000
3.840000E-004,2.000529E+002,2.000583E+002,0.000000E+000
3.900000E-004,2.000529E+002,2.000671E+002,0.000000E+000
3.960000E-004,2.000529E+002,2.000749E+002,0.000000E+000
4.020000E-004,2.000529E+002,2.000814E+002,0.000000E+000
4.080000E-004,2.000529E+002,2.000866E+002,0.000000E+000
4.140000E-004,2.000529E+002,2.000904E+002,0.000000E+000
4.200000E-004,2.000529E+002,2.000930E+002,0.000000E+000
4.260000E-004,2.000529E+002,2.000947E+002,0.000000E+000
4.320000E-004,2.000530E+002,2.000958E+002,0.000000E+000
4.380000E-004,2.000530E+002,2.000965E+002,0.000000E+000
4.440000E-004,2.000530E+002,2.000970E+002,0.000000E+000
4.500000E-004,2.000531E+002,2.000974E+002,0.000000E+000
4.560000E-004,2.000532E+002,2.000976E+002,0.000000E+000
4.620000E-004,2.000532E+002,2.000975E+002,0.000000E+000
4.680000E-004,2.000533E+002,2.000971E+002,0.000000E+000
4.740000E-004,2.000534E+002,2.000962E+002,0.000000E+000
4.800000E-004,2.000534E+002,2.000947E+002,0.000000E+000
4.860000E-004,2.000535E+002,2.000923E+002,0.000000E+000
4.920000E-004,2.000535E+002,2.000889E+002,0.000000E+000
4.980000E-004,2.000536E+002,2.000845E+002,0.000000E+000
5.040000E-004,2.000536E+002,1.744670E+002,-6.000000E+000
5.100000E-004,2.000536E+002,1.378396E+002,-6.000000E+000
5.160000E-004,2.000537E+002,1.294096E+002,-6.000000E+000
5.220000E-004,2.000537E+002,1.313064E+002,-6.000000E+000
5.280000E-004,2.000537E+002,1.353735E+002,-6.000000E+000
5.340000E-004,2.000537E+002,1.375838E+002,-6.000000E+000
5.400000E-004,2.000537E+002,1.387132E+002,-6.000000E+000
5.460000E-004,2.000536E+002,1.387229E+002,-6.000000E+000
5.520000E-004,2.000516E+002,1.384456E+002,-6.000000E+000
5.580000E-004,2.000409E+002,1.380799E+002,-6.000000E+000
5.640000E-004,2.000099E+002,1.378350E+002,-6.000000E+000
5.700000E-004,1.999379E+002,1.376468E+002,-6.000000E+000
5.760000E-004,1.997971E+002,1.375247E+002,-6.000000E+000
5.820000E-004,1.995821E+002,1.374516E+002,-6.000000E+000
5.880000E-004,1.993104E+002,1.373818E+002,-6.000000E+000
5.940000E-004,1.990055E+002,1.372897E+002,-6.000000E+000
6.000000E-004,1.986867E+002,1.371795E+002,-6.000000E+000
6.060000E-004,1.983660E+002,1.372330E+002,-6.000000E+000
6.120000E-004,1.980487E+002,1.377968E+002,-6.000000E+000
6.180000E-004,1.977359E+002,1.395258E+002,-6.000000E+000
6.240000E-004,1.974264E+002,1.438651E+002,-6.000000E+000
6.300000E-004,1.971188E+002,1.522289E+002,-6.000000E+000
6.360000E-004,1.968119E+002,1.655647E+002,-6.000000E+000
6.420000E-004,1.965055E+002,1.836133E+002,-6.000000E+000
6.480000E-004,1.961993E+002,2.046310E+002,-6.000000E+000
6.540000E-004,1.958933E+002,2.253261E+002,-6.000000E+000
