"time","J1_w","J2_w","J3_w","J4_w"
0.000000E+000,1.000000E+001,0.000000E+000,0.000000E+000,0.000000E+000
0.000000E+000,1.000000E+001,0.000000E+000,0.000000E+000,0.000000E+000
0.000000E+000,1.000000E+001,0.000000E+000,0.000000E+000,0.000000E+000
1.000000E-003,1.000000E+001,0.000000E+000,0.000000E+000,0.000000E+000
1.000000E-003,1.000000E+001,0.000000E+000,0.000000E+000,0.000000E+000
1.000000E-003,9.990164E+000,9.999997E-003,-1.606354E-015,-1.606638E-015
2.000000E-003,9.990164E+000,9.999997E-003,-1.606354E-015,-1.606638E-015
2.000000E-003,9.990164E+000,9.999997E-003,-1.606354E-015,-1.606638E-015
2.000000E-003,9.980639E+000,1.999998E-002,-5.082740E-015,-5.083519E-015
3.000000E-003,9.980639E+000,1.999998E-002,-5.082740E-015,-5.083519E-015
3.000000E-003,9.980639E+000,1.999998E-002,-5.082740E-015,-5.083519E-015
3.000000E-003,9.971426E+000,2.999994E-002,-3.552714E-015,-3.554012E-015
4.000000E-003,9.971426E+000,2.999994E-002,-3.552714E-015,-3.554012E-015
4.000000E-003,9.971426E+000,2.999994E-002,-3.552714E-015,-3.554012E-015
4.000000E-003,9.962524E+000,3.999983E-002,-3.747003E-015,-3.748722E-015
5.000000E-003,9.962524E+000,3.999983E-002,-3.747003E-015,-3.748722E-015
5.000000E-003,9.962524E+000,3.999983E-002,-3.747003E-015,-3.748722E-015
5.000000E-003,9.953931E+000,4.999966E-002,-2.331468E-015,-2.333567E-015
6.000000E-003,9.953931E+000,4.999966E-002,-2.331468E-015,-2.333567E-015
6.000000E-003,9.953931E+000,4.999966E-002,-2.331468E-015,-2.333567E-015
6.000000E-003,9.945649E+000,5.999944E-002,-2.456368E-015,-2.458850E-015
7.000000E-003,9.945649E+000,5.999944E-002,-2.456368E-015,-2.458850E-015
7.000000E-003,9.945649E+000,5.999944E-002,-2.456368E-015,-2.458850E-015
7.000000E-003,9.937673E+000,6.999912E-002,-1.290634E-015,-1.293454E-015
8.000000E-003,9.937673E+000,6.999912E-002,-1.290634E-015,-1.293454E-015
8.000000E-003,9.937673E+000,6.999912E-002,-1.290634E-015,-1.293454E-015
8.000000E-003,9.930001E+000,7.999868E-002,5.134781E-016,5.104020E-016
9.000000E-003,9.930001E+000,7.999868E-002,5.134781E-016,5.104020E-016
9.000000E-003,9.930001E+000,7.999868E-002,5.134781E-016,5.104020E-016
9.000000E-003,9.922634E+000,8.999814E-002,-7.771561E-016,-7.804426E-016
1.000000E-002,9.922634E+000,8.999814E-002,-7.771561E-016,-7.804426E-016
1.000000E-002,9.915570E+000,9.999749E-002,1.831868E-015,1.828377E-015
1.100000E-002,9.915570E+000,9.999749E-002,1.831868E-015,1.828377E-015
1.100000E-002,9.915570E+000,9.999749E-002,1.831868E-015,1.828377E-015
1.100000E-002,9.908797E+000,1.099966E-001,6.383782E-016,6.345072E-016
1.200000E-002,9.908797E+000,1.099966E-001,6.383782E-016,6.345072E-016
1.200000E-002,9.908797E+000,1.099966E-001,6.383782E-016,6.345072E-016
1.200000E-002,9.902321E+000,1.199956E-001,-1.040834E-015,-1.045151E-015
1.300000E-002,9.902321E+000,1.199956E-001,-1.040834E-015,-1.045151E-015
1.300000E-002,9.902321E+000,1.199956E-001,-1.040834E-015,-1.045151E-015
1.300000E-002,9.896144E+000,1.299945E-001,4.163336E-016,4.115064E-016
1.400000E-002,9.896144E+000,1.299945E-001,4.163336E-016,4.115064E-016
1.400000E-002,9.890244E+000,1.399931E-001,1.110223E-016,1.057857E-016
1.500000E-002,9.890244E+000,1.399931E-001,1.110223E-016,1.057857E-016
1.500000E-002,9.890244E+000,1.399931E-001,1.110223E-016,1.057857E-016
1.500000E-002,9.884628E+000,1.499915E-001,1.443290E-015,1.437680E-015
1.600000E-002,9.884628E+000,1.499915E-001,1.443290E-015,1.437680E-015
1.600000E-002,9.884628E+000,1.499915E-001,1.443290E-015,1.437680E-015
1.600000E-002,9.879299E+000,1.599898E-001,5.551115E-016,5.491505E-016
1.700000E-002,9.879299E+000,1.599898E-001,5.551115E-016,5.491505E-016
1.700000E-002,9.879299E+000,1.599898E-001,5.551115E-016,5.491505E-016
1.700000E-002,9.874240E+000,1.699877E-001,2.137179E-015,2.130921E-015
1.800000E-002,9.874240E+000,1.699877E-001,2.137179E-015,2.130921E-015
1.800000E-002,9.874240E+000,1.699877E-001,2.137179E-015,2.130921E-015
1.800000E-002,9.869445E+000,1.799854E-001,1.887379E-015,1.880888E-015
1.900000E-002,9.869445E+000,1.799854E-001,1.887379E-015,1.880888E-015
1.900000E-002,9.864922E+000,1.899828E-001,5.273559E-016,5.206814E-016
2.000000E-002,9.864922E+000,1.899828E-001,5.273559E-016,5.206814E-016
2.000000E-002,9.864922E+000,1.899828E-001,5.273559E-016,5.206814E-016
2.000000E-002,9.860663E+000,1.999800E-001,1.054712E-015,1.047872E-015
2.100000E-002,9.860663E+000,1.999800E-001,1.054712E-015,1.047872E-015
2.100000E-002,9.860663E+000,1.999800E-001,1.054712E-015,1.047872E-015
2.100000E-002,9.856642E+000,2.099768E-001,5.551115E-016,5.480453E-016
2.200000E-002,9.856642E+000,2.099768E-001,5.551115E-016,5.480453E-016
2.200000E-002,9.852877E+000,2.199733E-001,-3.330669E-016,-3.403677E-016
2.300000E-002,9.852877E+000,2.199733E-001,-3.330669E-016,-3.403677E-016
2.300000E-002,9.852877E+000,2.199733E-001,-3.330669E-016,-3.403677E-016
2.300000E-002,9.849366E+000,2.299695E-001,1.110223E-016,1.034785E-016
2.400000E-002,9.849366E+000,2.299695E-001,1.110223E-016,1.034785E-016
2.400000E-002,9.849366E+000,2.299695E-001,1.110223E-016,1.034785E-016
2.400000E-002,9.846068E+000,2.399653E-001,-2.220446E-016,-2.297521E-016
2.500000E-002,9.846068E+000,2.399653E-001,-2.220446E-016,-2.297521E-016
2.500000E-002,9.846068E+000,2.399653E-001,-2.220446E-016,-2.297521E-016
2.500000E-002,9.843004E+000,2.499607E-001,-8.326673E-016,-8.405057E-016
2.600000E-002,9.843004E+000,2.499607E-001,-8.326673E-016,-8.405057E-016
2.600000E-002,9.843004E+000,2.499607E-001,-8.326673E-016,-8.405057E-016
2.600000E-002,9.840175E+000,2.599558E-001,-3.330669E-016,-3.410038E-016
2.700000E-002,9.840175E+000,2.599558E-001,-3.330669E-016,-3.410038E-016
2.700000E-002,9.837552E+000,2.699504E-001,-3.552714E-015,-3.560730E-015
2.800000E-002,9.837552E+000,2.699504E-001,-3.552714E-015,-3.560730E-015
2.800000E-002,9.837552E+000,2.699504E-001,-3.552714E-015,-3.560730E-015
2.800000E-002,9.835128E+000,2.799447E-001,-3.219647E-015,-3.227726E-015
2.900000E-002,9.835128E+000,2.799447E-001,-3.219647E-015,-3.227726E-015
2.900000E-002,9.835128E+000,2.799447E-001,-3.219647E-015,-3.227726E-015
2.900000E-002,9.832908E+000,2.899385E-001,-3.386180E-015,-3.394303E-015
3.000000E-002,9.832908E+000,2.899385E-001,-3.386180E-015,-3.394303E-015
3.000000E-002,9.830889E+000,2.999319E-001,-1.776357E-015,-1.784507E-015
3.100000E-002,9.830889E+000,2.999319E-001,-1.776357E-015,-1.784507E-015
3.100000E-002,9.830889E+000,2.999319E-001,-1.776357E-015,-1.784507E-015
3.100000E-002,9.829067E+000,3.099248E-001,-3.164136E-015,-3.172297E-015
3.200000E-002,9.829067E+000,3.099248E-001,-3.164136E-015,-3.172297E-015
3.200000E-002,9.829067E+000,3.099248E-001,-3.164136E-015,-3.172297E-015
3.200000E-002,9.827417E+000,3.199172E-001,-2.442491E-015,-2.450656E-015
3.300000E-002,9.827417E+000,3.199172E-001,-2.442491E-015,-2.450656E-015
3.300000E-002,9.827417E+000,3.199172E-001,-2.442491E-015,-2.450656E-015
3.300000E-002,9.825934E+000,3.299092E-001,-2.220446E-015,-2.228610E-015
3.400000E-002,9.825934E+000,3.299092E-001,-2.220446E-015,-2.228610E-015
3.400000E-002,9.825934E+000,3.299092E-001,-2.220446E-015,-2.228610E-015
3.400000E-002,9.824617E+000,3.399007E-001,-3.164136E-015,-3.172293E-015
3.500000E-002,9.824617E+000,3.399007E-001,-3.164136E-015,-3.172293E-015
3.500000E-002,9.824617E+000,3.399007E-001,-3.164136E-015,-3.172293E-015
3.500000E-002,9.823460E+000,3.498916E-001,-3.164136E-015,-3.172284E-015
3.600000E-002,9.823460E+000,3.498916E-001,-3.164136E-015,-3.172284E-015
3.600000E-002,9.823460E+000,3.498916E-001,-3.164136E-015,-3.172284E-015
3.600000E-002,9.822457E+000,3.598820E-001,-1.887379E-015,-1.895520E-015
3.700000E-002,9.822457E+000,3.598820E-001,-1.887379E-015,-1.895520E-015
3.700000E-002,9.821583E+000,3.698719E-001,-1.276756E-015,-1.284886E-015
3.800000E-002,9.821583E+000,3.698719E-001,-1.276756E-015,-1.284886E-015
3.800000E-002,9.821583E+000,3.698719E-001,-1.276756E-015,-1.284886E-015
3.800000E-002,9.820832E+000,3.798611E-001,-1.498801E-015,-1.506920E-015
3.900000E-002,9.820832E+000,3.798611E-001,-1.498801E-015,-1.506920E-015
3.900000E-002,9.820832E+000,3.798611E-001,-1.498801E-015,-1.506920E-015
3.900000E-002,9.820200E+000,3.898498E-001,-8.326673E-016,-8.407791E-016
4.000000E-002,9.820200E+000,3.898498E-001,-8.326673E-016,-8.407791E-016
4.000000E-002,9.820200E+000,3.898498E-001,-8.326673E-016,-8.407791E-016
4.000000E-002,9.819678E+000,3.998379E-001,-1.165734E-015,-1.173844E-015
4.100000E-002,9.819678E+000,3.998379E-001,-1.165734E-015,-1.173844E-015
4.100000E-002,9.819678E+000,3.998379E-001,-1.165734E-015,-1.173844E-015
4.100000E-002,9.819257E+000,4.098254E-001,-8.326673E-016,-8.407816E-016
4.200000E-002,9.819257E+000,4.098254E-001,-8.326673E-016,-8.407816E-016
4.200000E-002,9.819257E+000,4.098254E-001,-8.326673E-016,-8.407816E-016
4.200000E-002,9.818921E+000,4.198122E-001,-4.551914E-015,-4.560020E-015
4.300000E-002,9.818921E+000,4.198122E-001,-4.551914E-015,-4.560020E-015
4.300000E-002,9.818921E+000,4.198122E-001,-4.551914E-015,-4.560020E-015
4.300000E-002,9.818663E+000,4.297984E-001,-1.776357E-015,-1.784443E-015
4.400000E-002,9.818663E+000,4.297984E-001,-1.776357E-015,-1.784443E-015
4.400000E-002,9.818474E+000,4.397839E-001,-4.329870E-015,-4.337929E-015
4.500000E-002,9.818474E+000,4.397839E-001,-4.329870E-015,-4.337929E-015
4.500000E-002,9.818474E+000,4.397839E-001,-4.329870E-015,-4.337929E-015
4.500000E-002,9.818344E+000,4.497687E-001,-4.440892E-015,-4.448917E-015
4.600000E-002,9.818344E+000,4.497687E-001,-4.440892E-015,-4.448917E-015
4.600000E-002,9.818344E+000,4.497687E-001,-4.440892E-015,-4.448917E-015
4.600000E-002,9.818264E+000,4.597528E-001,-3.386180E-015,-3.394162E-015
4.700000E-002,9.818264E+000,4.597528E-001,-3.386180E-015,-3.394162E-015
4.700000E-002,9.818264E+000,4.597528E-001,-3.386180E-015,-3.394162E-015
4.700000E-002,9.818223E+000,4.697362E-001,-4.107825E-015,-4.115758E-015
4.800000E-002,9.818223E+000,4.697362E-001,-4.107825E-015,-4.115758E-015
4.800000E-002,9.818223E+000,4.697362E-001,-4.107825E-015,-4.115758E-015
