"time","outputs[1]","outputs[2]"
0,25,20
0.02,25,20.1999
0.04,25,20.3992
0.06,25,20.5979
0.09,25,20.895
0.12,25,21.1909
0.14,25,21.3874
0.16,25,21.5834
0.18,25,21.7789
0.2,25,21.9738
0.22,25,22.1682
0.24,25,22.362
0.27,25,22.6518
0.29,25,22.8443
0.31,25,23.0363
0.33,25,23.2277
0.35,25,23.4186
0.37,25,23.609
0.39,25,23.7989
0.41,25,23.9882
0.43,25,24.177
0.45,25,24.3653
0.47,25,24.5531
0.49,25,24.7403
0.52,25,25.0202
0.54,25,25.2062
0.56,25,25.3917
0.58,25,25.5766
0.6,25,25.7611
0.62,25,25.945
0.64,25,26.0307
0.66,25,26.0187
0.68,25,26.0066
0.7,25,25.9946
0.72,25,25.9827
0.74,25,25.9707
0.76,25,25.9588
0.78,25,25.9468
0.8,25,25.935
0.82,25,25.9231
0.84,25,25.9113
0.86,25,25.8994
0.88,25,25.8876
0.9,25,25.8759
0.92,25,25.8641
0.94,25,25.8524
0.96,25,25.8407
0.98,25,25.829
1,25,25.8174
1.02,25,25.8058
1.04,25,25.7941
1.06,25,25.7826
1.08,25,25.771
1.1,25,25.7595
1.12,25,25.748
1.14,25,25.7365
1.16,25,25.725
1.18,25,25.7136
1.2,25,25.7021
1.22,25,25.6907
1.24,25,25.6794
1.26,25,25.668
1.28,25,25.6567
1.3,25,25.6454
1.32,25,25.6341
1.34,25,25.6228
1.36,25,25.6116
1.38,25,25.6004
1.4,25,25.5892
1.42,25,25.578
1.44,25,25.5668
1.46,25,25.5557
1.48,25,25.5446
1.5,25,25.5335
1.52,25,25.5225
1.54,25,25.5114
1.56,25,25.5004
1.58,25,25.4894
1.6,25,25.4784
1.62,25,25.4675
1.64,25,25.4566
1.66,25,25.4457
1.68,25,25.4348
1.7,25,25.4239
1.72,25,25.4131
1.74,25,25.4022
1.76,25,25.3914
1.78,25,25.3807
1.8,25,25.3699
1.82,25,25.3592
1.84,25,25.3485
1.86,25,25.3378
1.88,25,25.3271
1.9,25,25.3164
1.92,25,25.3058
1.94,25,25.2952
1.96,25,25.2846
1.98,25,25.2741
2.01,25.0417,25.2583
2.04,25.1667,25.2425
2.07,25.2917,25.2268
2.1,25.4167,25.2111
2.13,25.5417,25.1955
2.16,25.6667,25.1799
2.19,25.7917,25.1644
2.22,25.9167,25.1489
2.25,26.0417,25.1335
2.28,26.1667,25.2161
2.31,26.2917,25.4941
2.34,26.4167,25.7709
2.37,26.5417,26.0466
2.4,26.6667,26.3211
2.43,26.7917,26.5945
2.46,26.9167,26.8668
2.49,27.0417,27.138
2.52,27.1667,27.408
2.55,27.2917,27.6769
