"time","outputs"
0,282.843
0.0001,281.173
0.0002,279.504
0.0003,277.835
0.0004,276.165
0.0005,274.496
0.0006,272.827
0.0007,271.158
0.0008,269.489
0.0009,267.82
0.001,266.151
0.0011,264.483
0.0012,262.814
0.0013,261.145
0.0014,259.476
0.0015,257.808
0.0016,256.139
0.0017,254.471
0.0018,252.802
0.0019,251.134
0.002,249.465
0.0021,247.797
0.0022,246.128
0.0023,244.46
0.0024,242.792
0.0025,241.123
0.0026,239.455
0.0027,237.787
0.0028,236.118
0.0029,234.45
0.003,232.781
0.0031,231.113
0.0032,229.445
0.0033,227.776
0.0034,226.108
0.0035,224.44
0.0036,222.771
0.0037,221.103
0.0038,219.434
0.0039,217.766
0.004,216.097
0.0041,214.428
0.0042,212.76
0.0043,211.091
0.0044,209.422
0.0045,207.823
0.0046,206.508
0.0047,205.482
0.0048,204.73
0.0049,204.236
0.005,203.978
0.0051,203.934
0.0052,204.078
0.0053,204.383
0.0054,204.819
0.0055,205.353
0.0056,205.953
0.0057,206.583
0.0058,207.207
0.0059,207.787
0.006,208.286
0.0061,208.665
0.0062,208.884
0.0063,208.905
0.0064,208.688
0.0065,208.195
0.0066,207.389
0.0067,206.233
0.0068,204.706
0.0069,203.331
0.007,202.382
0.0071,201.858
0.0072,201.755
0.0073,202.067
0.0074,202.781
0.0075,203.883
0.0076,205.354
0.0077,207.171
0.0078,209.31
0.0079,211.74
0.008,214.43
0.0081,217.345
0.0082,220.449
0.0083,223.701
0.0084,227.059
0.0085,230.481
0.0086,233.92
0.0087,237.33
0.0088,240.663
0.0089,243.872
0.009,246.906
0.0091,249.718
0.0092,252.258
0.0093,254.479
0.0094,256.331
0.0095,257.771
0.0096,258.751
0.0097,259.228
0.0098,259.162
0.0099,258.512
0.01,257.243
0.0101,255.632
0.0102,254.156
0.0103,252.824
0.0104,251.639
0.0105,250.604
0.0106,249.715
0.0107,248.971
0.0108,248.363
0.0109,247.885
0.011,247.525
0.0111,247.271
0.0112,247.108
0.0113,247.019
0.0114,246.986
0.0115,246.989
0.0116,247.005
0.0117,247.013
0.0118,246.991
0.0119,246.934
0.012,246.841
0.0121,246.706
0.0122,246.523
0.0123,246.287
0.0124,245.987
0.0125,245.649
0.0126,245.431
0.0127,245.366
0.0128,245.464
0.0129,245.733
0.013,246.179
0.0131,246.805
0.0132,247.612
0.0133,248.598
0.0134,249.757
0.0135,251.084
0.0136,252.569
