"time","h","der(h)","v","der(v)","g","e"
0,1,0,0,-9.81,9.81,0.7
0.01,1,-0.0981,-0.0981,-9.81,9.81,0.7
0.02,0.99902,-0.1962,-0.1962,-9.81,9.81,0.7
0.03,0.99706,-0.2943,-0.2943,-9.81,9.81,0.7
0.04,0.99411,-0.3924,-0.3924,-9.81,9.81,0.7
0.05,0.99019,-0.4905,-0.4905,-9.81,9.81,0.7
0.06,0.98528,-0.5886,-0.5886,-9.81,9.81,0.7
0.07,0.9794,-0.6867,-0.6867,-9.81,9.81,0.7
0.08,0.97253,-0.7848,-0.7848,-9.81,9.81,0.7
0.09,0.96468,-0.8829,-0.8829,-9.81,9.81,0.7
0.1,0.95586,-0.981,-0.981,-9.81,9.81,0.7
0.11,0.94605,-1.0791,-1.0791,-9.81,9.81,0.7
0.12,0.93525,-1.1772,-1.1772,-9.81,9.81,0.7
0.13,0.92348,-1.2753,-1.2753,-9.81,9.81,0.7
0.14,0.91073,-1.3734,-1.3734,-9.81,9.81,0.7
0.15,0.89699,-1.4715,-1.4715,-9.81,9.81,0.7
0.16,0.88228,-1.5696,-1.5696,-9.81,9.81,0.7
0.17,0.86658,-1.6677,-1.6677,-9.81,9.81,0.7
0.18,0.84991,-1.7658,-1.7658,-9.81,9.81,0.7
0.19,0.83225,-1.8639,-1.8639,-9.81,9.81,0.7
0.2,0.81361,-1.962,-1.962,-9.81,9.81,0.7
0.21,0.79399,-2.0601,-2.0601,-9.81,9.81,0.7
0.22,0.77339,-2.1582,-2.1582,-9.81,9.81,0.7
0.23,0.75181,-2.2563,-2.2563,-9.81,9.81,0.7
0.24,0.72924,-2.3544,-2.3544,-9.81,9.81,0.7
0.25,0.7057,-2.4525,-2.4525,-9.81,9.81,0.7
0.26,0.68117,-2.5506,-2.5506,-9.81,9.81,0.7
0.27,0.65567,-2.6487,-2.6487,-9.81,9.81,0.7
0.28,0.62918,-2.7468,-2.7468,-9.81,9.81,0.7
0.29,0.60171,-2.8449,-2.8449,-9.81,9.81,0.7
0.3,0.57326,-2.943,-2.943,-9.81,9.81,0.7
0.31,0.54383,-3.0411,-3.0411,-9.81,9.81,0.7
0.32,0.51342,-3.1392,-3.1392,-9.81,9.81,0.7
0.33,0.48203,-3.2373,-3.2373,-9.81,9.81,0.7
0.34,0.44966,-3.3354,-3.3354,-9.81,9.81,0.7
0.35,0.4163,-3.4335,-3.4335,-9.81,9.81,0.7
0.36,0.38197,-3.5316,-3.5316,-9.81,9.81,0.7
0.37,0.34665,-3.6297,-3.6297,-9.81,9.81,0.7
0.38,0.31036,-3.7278,-3.7278,-9.81,9.81,0.7
0.39,0.27308,-3.8259,-3.8259,-9.81,9.81,0.7
0.4,0.23482,-3.924,-3.924,-9.81,9.81,0.7
0.41,0.19558,-4.0221,-4.0221,-9.81,9.81,0.7
0.42,0.15536,-4.1202,-4.1202,-9.81,9.81,0.7
0.43,0.11416,-4.2183,-4.2183,-9.81,9.81,0.7
0.44,0.071974,-4.3164,-4.3164,-9.81,9.81,0.7
