"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0,565.685,-0,0,0,0,0,0,480
0.0002,562.146,17.0979,-478.385,461.287,566.641,-567.085,0.444189,3306.87
0.0004,562.642,102.827,-516.028,413.201,567.26,-567.57,0.310374,3464.77
0.0006,562.935,256.323,-580.043,323.72,567.77,-567.838,0.0673963,3781.18
0.0008,563.201,-153.653,-351.347,504.999,0.197694,-568.056,567.858,3377.03
0.001,563.611,133.329,-457.368,324.039,568.201,-568.391,0.19071,3117.79
0.0012,562.453,485.559,-578.321,92.7617,567.516,-567.123,-0.392797,3844.54
0.0014,562.863,271.019,-396.411,125.392,567.529,-567.383,-0.145627,2785.78
0.0016,560.872,119.685,-222.331,102.647,565.213,-565.196,-0.0170381,1910.71
0.0018,556.588,32.0933,-57.0442,24.9509,560.676,-560.669,-0.00714242,1165.79
0.0021,552.702,20.2941,-754.47,734.176,557.475,-558.189,0.713881,5046.28
0.0024,556.118,130.272,-500.013,369.74,560.748,-560.987,0.239468,3334.88
0.0027,554.194,350.45,-208.486,-141.963,558.752,-0.0665229,-558.685,2512.95
0.003,551.285,368.069,-189.368,-178.701,555.842,-0.0106675,-555.831,2590.59
0.0033,548.443,176.701,-425.713,249.012,553.044,-553.117,0.0723112,2882.97
0.0036,546.461,379.841,-287.627,-92.2136,551.127,-0.195413,-550.932,2654.01
0.0039,544.842,349.053,-374.956,25.9027,549.565,-549.241,-0.32315,2656.74
0.0041,544.358,463.589,-280.04,-183.549,549.1,-0.0964903,-549.004,3073.62
0.0043,543.268,293.849,-443.541,149.692,548.004,-547.86,-0.144157,2968.32
0.0045,543.007,446.722,-254.688,-192.033,547.707,-0.0626553,-547.644,2976.01
0.0047,541.802,307.858,-317.856,9.99815,546.427,-546.129,-0.297859,2351.23
0.0049,540.873,483.3,-24.844,-458.456,545.38,0.433612,-545.813,3258.45
0.0051,540.214,359.496,21.5535,-381.049,0.337942,544.616,-544.953,2677.83
0.0053,540.07,539.087,-477.285,-61.8017,545.085,-0.415483,-544.67,3556.84
0.0055,540.146,410.03,-308.693,-101.337,544.864,-0.207356,-544.656,2792.32
0.0057,538.474,272.562,-77.6603,-194.902,542.823,0.117241,-542.94,2081.65
0.0059,535.347,426.952,-385.943,-41.0094,540.159,-0.344933,-539.814,2903.73
0.0061,533.836,268.072,-28.9577,-239.114,538.132,0.210156,-538.343,2060.31
0.0063,531.307,390.051,-204.244,-185.807,535.9,-0.018437,-535.881,2638.63
0.0065,529.386,489.235,-311.654,-177.581,534.186,-0.134073,-534.052,3168.88
0.0067,528.498,264.58,241.654,-506.234,0.0229255,533.245,-533.268,3250.71
0.0069,528.098,304.003,269.844,-573.848,0.0341587,532.94,-532.974,3629.75
0.0071,528.38,601.826,-225.35,-376.475,533.207,0.151125,-533.358,3802.73
0.0073,529.598,561.94,-60.9354,-501.005,534.22,0.440069,-534.66,3662.85
0.0075,531.454,475.933,170.26,-646.193,0.305672,536.27,-536.575,4108.35
0.0077,532.914,636.239,-127.317,-508.922,537.676,0.381604,-538.058,4080.15
0.0079,535.423,446.103,235.18,-681.283,0.210923,540.339,-540.55,4306.84
0.0082,537.798,502.458,-2.37637,-500.081,542.302,0.497704,-542.8,3383.28
0.0085,540.617,127.121,495.333,-622.454,-0.368212,545.734,-545.366,4018.81
0.0088,541.77,161.182,391.663,-552.845,-0.230481,546.714,-546.483,3580.19
0.0091,541.804,410.623,229.934,-640.557,0.180688,546.674,-546.855,4077.92
0.0094,542.97,-95.5908,483.821,-388.23,-547.548,547.841,-0.292639,3216.93
0.0097,543.463,-144.824,534.805,-389.981,-548.142,548.387,-0.245156,3487.61
0.01,544.316,262.104,370.464,-632.568,-0.108359,549.318,-549.209,4028.45
0.0103,546.413,-94.6949,586.905,-492.21,-551.094,551.491,-0.397514,3842.29
0.0106,548.916,7.21019,558.123,-565.333,-0.550912,554.039,-553.488,3799.7
0.0109,552.195,-39.268,573.799,-534.531,-556.807,557.302,-0.495263,3829.77
0.0112,554.702,-233.89,621.12,-387.23,-559.556,559.709,-0.153339,4001.33
0.0115,555.435,50.6138,375.692,-426.306,-0.325078,560.235,-559.91,2959.51
0.0118,555.829,-423.671,451.615,-27.9439,-560.703,560.307,0.395727,3120.86
0.0121,555.524,-96.5812,523.512,-426.931,-560.143,560.474,-0.330349,3488.86
0.0124,554.278,-204.057,265.964,-61.9075,-558.747,558.605,0.142149,2105.06
0.0127,550.402,-120.415,295.001,-174.586,-554.816,554.87,-0.0541706,2224.14
0.013,546.453,-148.97,287.972,-139.002,-550.888,550.878,0.00996788,2175.44
0.0133,542.614,-278.175,231.298,46.877,-547.123,0.184421,546.938,2132.32
0.0136,539.198,-192.345,414.311,-221.966,-543.804,543.833,-0.0296205,2790.6
0.0139,537.094,-483.422,216.073,267.349,-541.792,-0.0512764,541.844,3154.18
0.0142,535.803,-531.569,226.163,305.407,-540.56,-0.0792435,540.639,3417.73
0.0145,534.96,-322.951,429.889,-106.938,-539.711,539.495,0.216013,2881.85
0.0148,534.874,-443.745,218.156,225.589,-539.534,-0.00743345,539.542,2931.84
0.0151,532.601,-278.916,180.044,98.8727,-537.058,0.0811709,536.977,2089.83
0.0154,527.101,-123.692,13.5573,110.134,-531.237,-0.0965768,531.333,1359.05
0.0157,521.642,-559.094,11.913,547.182,-526.212,-0.535268,526.747,3667.97
0.016,524.419,-675.607,158.081,517.526,-529.252,-0.359444,529.611,4279.88
0.0163,528.555,-737.355,152.293,585.062,-533.444,-0.432769,533.877,4699.88
0.0166,533.865,-727.152,-8.3521,735.504,-0.718799,-538.608,539.327,4870.03
0.0169,539.936,-928.927,274.375,654.553,-545.138,-0.380177,545.518,5960.16
0.0172,547.762,-727.067,-200.349,927.417,-0.526718,-552.888,553.415,6041.94
0.0175,556.365,-715.819,-214.26,930.078,-0.501558,-561.509,562.01,6075.62
0.0178,563.721,-576.935,-375.758,952.693,-0.201178,-569.048,569.249,6149.16
0.0181,570.823,-623.61,-40.4381,664.048,-0.583171,-575.526,576.11,4468.61
0.0184,574.544,-216.252,-476.124,692.376,0.259872,-579.711,579.452,4516.09
0.0187,576.349,9.37295,-397.034,387.661,580.754,-581.133,0.378287,2896.13
0.019,576.322,-268.006,-120.818,388.824,-0.147188,-580.83,580.977,2792.8
0.0193,572.164,-399.669,36.7958,362.873,-576.6,-0.326077,576.926,2876.99
0.0196,574.388,-63.7431,-557.405,621.148,0.493661,-579.565,579.072,4178.38
0.0199,577.297,104.671,-597.992,493.322,581.998,-582.387,0.388651,4007.16
0.0202,579.318,-218.747,-392.247,610.994,0.173501,-584.32,584.146,4029.29
0.0205,580.615,259.498,-576.619,317.121,585.45,-585.508,0.0576232,3821.69
