"time","k","x","der(x)"
0.00000000000000E+00,1.00000000000000E+00,1.00000000000000E+00,-1.00000000000000E+00
1.00000000000000E-01,1.00000000000000E+00,9.08152034868575E-01,-9.08152034868575E-01
2.00000000000000E-01,1.00000000000000E+00,8.23978818094108E-01,-8.23978818094108E-01
3.00000000000000E-01,1.00000000000000E+00,7.46142697868578E-01,-7.46142697868578E-01
4.00000000000000E-01,1.00000000000000E+00,6.75284932410670E-01,-6.75284932410670E-01
5.00000000000000E-01,1.00000000000000E+00,6.10696489879546E-01,-6.10696489879546E-01
6.00000000000000E-01,1.00000000000000E+00,5.52254189785357E-01,-5.52254189785357E-01
7.00000000000000E-01,1.00000000000000E+00,4.98568889345717E-01,-4.98568889345717E-01
8.00000000000000E-01,1.00000000000000E+00,4.50028385821792E-01,-4.50028385821792E-01
9.00000000000000E-01,1.00000000000000E+00,4.06751095955262E-01,-4.06751095955262E-01
1.00000000000000E+00,1.00000000000000E+00,3.67783497116520E-01,-3.67783497116520E-01
