"time","der_p","der_T"
0,0,0
0.00502513,0,0
0.0100503,0,0
0.0150754,0,0
0.0201005,0,0
0.0251256,0,0
0.0301508,0,0
0.0351759,0,0
0.040201,0,0
0.0452261,0,0
0.0502513,0,0
0.0552764,0,0
0.0603015,0,0
0.0653266,0,0
0.0703518,0,0
0.0753769,0,0
0.080402,0,0
0.0854271,0,0
0.0904523,0,0
0.0954774,0,0
0.100503,0,0
0.105528,0,0
0.110553,0,0
0.115578,0,0
0.120603,0,0
0.125628,0,0
0.130653,0,0
0.135678,0,0
0.140704,0,0
0.145729,0,0
0.150754,0,0
0.155779,0,0
0.160804,0,0
0.165829,0,0
0.170854,0,0
0.175879,0,0
0.180905,0,0
0.18593,0,0
0.190955,0,0
0.19598,0,0
0.201005,0,0
0.20603,0,0
0.211055,0,0
0.21608,0,0
0.221106,0,0
0.226131,0,0
0.231156,0,0
0.236181,0,0
0.241206,0,0
0.246231,0,0
0.251256,0,0
0.256281,0,0
0.261307,0,0
0.266332,0,0
0.271357,0,0
0.276382,0,0
0.281407,0,0
0.286432,0,0
0.291457,0,0
0.296482,0,0
0.301508,-6.82536,-0.0859221
0.306533,-26.9225,-0.364784
0.311558,-43.0279,-0.632155
0.316583,-55.261,-0.888182
0.321608,-63.7408,-1.13302
0.326633,-68.5869,-1.36681
0.331658,-69.9183,-1.58971
0.336683,-67.8546,-1.80186
0.341709,-62.5148,-2.00342
0.346734,-54.0183,-2.19453
0.351759,-42.4844,-2.37535
0.356784,-28.0323,-2.54602
0.361809,-10.7813,-2.7067
0.366834,9.14924,-2.85753
0.371859,31.6401,-2.99866
0.376884,56.5721,-3.13024
0.38191,83.8259,-3.25242
0.386935,113.282,-3.36535
0.39196,144.822,-3.46919
0.396985,178.325,-3.56406
0.40201,213.674,-3.65014
0.407035,250.747,-3.72756
0.41206,289.428,-3.79648
0.417085,329.595,-3.85704
0.422111,371.129,-3.9094
0.427136,413.913,-3.9537
0.432161,457.825,-3.99009
0.437186,502.748,-4.01872
0.442211,548.561,-4.03974
0.447236,595.146,-4.0533
0.452261,642.383,-4.05954
0.457286,690.153,-4.05862
0.462312,738.337,-4.05069
0.467337,786.816,-4.03588
0.472362,835.469,-4.01436
0.477387,884.179,-3.98627
0.482412,932.826,-3.95176
0.487437,981.291,-3.91098
0.492462,1029.45,-3.86407
0.497487,1077.2,-3.81119
0.502513,1124.4,-3.75248
0.507538,1170.94,-3.68809
0.512563,1216.71,-3.61817
0.517588,1261.57,-3.54287
0.522613,1305.42,-3.46234
0.527638,1348.14,-3.37672
0.532663,1389.59,-3.28616
0.537688,1429.68,-3.19082
0.542714,1468.27,-3.09084
0.547739,1505.25,-2.98636
0.552764,1540.49,-2.87754
0.557789,1573.89,-2.76452
0.562814,1605.31,-2.64746
0.567839,1634.64,-2.5265
0.572864,1661.77,-2.40178
0.577889,1686.57,-2.27346
0.582915,1708.92,-2.14169
0.58794,1728.7,-2.00661
0.592965,1745.8,-1.86836
0.59799,1760.09,-1.72711
0.603015,1771.46,-1.58299
0.60804,1779.79,-1.43616
0.613065,1784.95,-1.28675
0.61809,1786.83,-1.13493
0.623116,1785.31,-0.980827
0.628141,1780.27,-0.824603
0.633166,1771.6,-0.6664
0.638191,1759.16,-0.506368
0.643216,1742.85,-0.344652
0.648241,1722.54,-0.1814
0.653266,1698.11,-0.0167612
0.658291,1669.45,0.149119
0.663317,1636.44,0.316091
0.668342,1598.95,0.48401
0.673367,1556.87,0.652726
0.678392,1510.08,0.822094
0.683417,1458.46,0.991966
0.688442,1401.89,1.16219
0.693467,1340.25,1.33263
0.698492,1273.42,1.50313
0.703518,1252.34,1.55417
0.708543,1252.33,1.55403
0.713568,1252.32,1.5539
0.718593,1252.31,1.55376
0.723618,1252.3,1.55362
0.728643,1252.3,1.55348
0.733668,1252.29,1.55335
0.738693,1252.28,1.55321
0.743719,1252.27,1.55307
0.748744,1252.26,1.55293
0.753769,1252.25,1.55279
0.758794,1252.25,1.55266
0.763819,1252.24,1.55252
0.768844,1252.23,1.55238
0.773869,1252.22,1.55224
0.778894,1252.21,1.55211
0.78392,1252.21,1.55197
0.788945,1252.2,1.55183
0.79397,1252.19,1.55169
0.798995,1252.18,1.55156
0.80402,1252.17,1.55142
0.809045,1252.16,1.55128
0.81407,1252.16,1.55114
0.819095,1252.15,1.55101
0.824121,1252.14,1.55087
0.829146,1252.13,1.55073
0.834171,1252.12,1.55059
0.839196,1252.11,1.55046
0.844221,1252.11,1.55032
0.849246,1252.1,1.55018
0.854271,1252.09,1.55004
0.859296,1252.08,1.54991
0.864322,1252.07,1.54977
0.869347,1252.07,1.54963
0.874372,1252.06,1.5495
0.879397,1252.05,1.54936
0.884422,1252.04,1.54922
0.889447,1252.03,1.54908
0.894472,1252.02,1.54895
0.899497,1252.02,1.54881
0.904523,1252.01,1.54867
0.909548,1252,1.54854
0.914573,1251.99,1.5484
0.919598,1251.98,1.54826
0.924623,1251.98,1.54812
0.929648,1251.97,1.54799
0.934673,1251.96,1.54785
0.939698,1251.95,1.54771
0.944724,1251.94,1.54758
0.949749,1251.93,1.54744
0.954774,1251.93,1.5473
0.959799,1251.92,1.54717
0.964824,1251.91,1.54703
0.969849,1251.9,1.54689
0.974874,1251.89,1.54675
0.979899,1251.89,1.54662
0.984925,1251.88,1.54648
0.98995,1251.87,1.54634
0.994975,1251.86,1.54621
1,1251.85,1.54607
