Time,y_multiSwitch,y_triggeredAdd,y_product,y_sum
0.0,4.0,0.0,0.0,1.0
0.001,4.0,0.0,0.0,1.0
0.002,4.0,0.0,0.0,1.0
0.003,4.0,0.0,0.0,1.0
0.004,4.0,0.0,0.0,1.0
0.005,4.0,0.0,0.0,1.0
0.006,4.0,0.0,0.0,1.0
0.007,4.0,0.0,0.0,1.0
0.008,4.0,0.0,0.0,1.0
0.009,4.0,0.0,0.0,1.0
0.01,4.0,0.0,0.0,1.0
0.011,4.0,0.0,0.0,1.0
0.012,4.0,0.0,0.0,1.0
0.013,4.0,0.0,0.0,1.0
0.014,4.0,0.0,0.0,1.0
0.015,4.0,0.0,0.0,1.0
0.016,4.0,0.0,0.0,1.0
0.017,4.0,0.0,0.0,1.0
0.018,4.0,0.0,0.0,1.0
0.019,4.0,0.0,0.0,1.0
0.02,4.0,0.0,0.0,1.0
0.021,4.0,0.0,0.0,1.0
0.022,4.0,0.0,0.0,1.0
0.023,4.0,0.0,0.0,1.0
0.024,4.0,0.0,0.0,1.0
0.025,4.0,0.0,0.0,1.0
0.026,4.0,0.0,0.0,1.0
0.027,4.0,0.0,0.0,1.0
0.028,4.0,0.0,0.0,1.0
0.029,4.0,0.0,0.0,1.0
0.03,4.0,0.0,0.0,1.0
0.031,4.0,0.0,0.0,1.0
0.032,4.0,0.0,0.0,1.0
0.033,4.0,0.0,0.0,1.0
0.034,4.0,0.0,0.0,1.0
0.035,4.0,0.0,0.0,1.0
0.036,4.0,0.0,0.0,1.0
0.037,4.0,0.0,0.0,1.0
0.038,4.0,0.0,0.0,1.0
0.039,4.0,0.0,0.0,1.0
0.04,4.0,0.0,0.0,1.0
0.041,4.0,0.0,0.0,1.0
0.042,4.0,0.0,0.0,1.0
0.043,4.0,0.0,0.0,1.0
0.044,4.0,0.0,0.0,1.0
0.045,4.0,0.0,0.0,1.0
0.046,4.0,0.0,0.0,1.0
0.047,4.0,0.0,0.0,1.0
0.048,4.0,0.0,0.0,1.0
0.049,4.0,0.0,0.0,1.0
0.05,4.0,0.0,0.0,1.0
0.051,4.0,0.0,0.0,1.0
0.052,4.0,0.0,0.0,1.0
0.053,4.0,0.0,0.0,1.0
0.054,4.0,0.0,0.0,1.0
0.055,4.0,0.0,0.0,1.0
0.056,4.0,0.0,0.0,1.0
0.057,4.0,0.0,0.0,1.0
0.058,4.0,0.0,0.0,1.0
0.059,4.0,0.0,0.0,1.0
0.06,4.0,0.0,0.0,1.0
0.061,4.0,0.0,0.0,1.0
0.062,4.0,0.0,0.0,1.0
