"time","counter"
0.00000000000000E+00,1.00000000000000E+00
5.00000000000000E-01,1.00000000000000E+00
1.00000000000000E+00,1.00000000000000E+00
1.00000000000000E+00,2.00000000000000E+00
1.50000000000000E+00,2.00000000000000E+00
2.00000000000000E+00,2.00000000000000E+00
2.00000000000000E+00,3.00000000000000E+00
2.50000000000000E+00,3.00000000000000E+00
3.00000000000000E+00,3.00000000000000E+00
3.00000000000000E+00,4.00000000000000E+00
3.50000000000000E+00,4.00000000000000E+00
4.00000000000000E+00,4.00000000000000E+00
4.00000000000000E+00,5.00000000000000E+00
4.50000000000000E+00,5.00000000000000E+00
5.00000000000000E+00,5.00000000000000E+00
5.00000000000000E+00,6.00000000000000E+00
5.50000000000000E+00,6.00000000000000E+00
6.00000000000000E+00,6.00000000000000E+00
6.00000000000000E+00,7.00000000000000E+00
6.50000000000000E+00,7.00000000000000E+00
7.00000000000000E+00,7.00000000000000E+00
7.00000000000000E+00,8.00000000000000E+00
7.50000000000000E+00,8.00000000000000E+00
8.00000000000000E+00,8.00000000000000E+00
8.00000000000000E+00,9.00000000000000E+00
8.50000000000000E+00,9.00000000000000E+00
9.00000000000000E+00,9.00000000000000E+00
9.00000000000000E+00,1.00000000000000E+01
9.50000000000000E+00,1.00000000000000E+01
1.00000000000000E+01,1.00000000000000E+01
1.00000000000000E+01,1.10000000000000E+01
1.05000000000000E+01,1.10000000000000E+01
1.10000000000000E+01,1.10000000000000E+01
1.10000000000000E+01,1.20000000000000E+01
1.15000000000000E+01,1.20000000000000E+01
1.20000000000000E+01,1.20000000000000E+01
