"time","C1.v","C3.v","C5.v","L1.i","L2.i"
0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
3.43225906488250E-05,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,1.00000000000000E-04
3.43260229078899E-01,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
1.00000065625607E+00,5.02496127554548E-07,5.67818284748493E-08,3.03954679768631E-08,0.00000000000000E+00,2.51533593858184E-19
1.00656321698685E+00,5.02546123715844E-03,5.67874734435109E-04,3.03984769784808E-04,2.24334218840688E-09,2.01699734365349E-10
1.03269110450544E+00,2.46416983507376E-02,2.77836830688951E-03,1.46807202840033E-03,3.43994909101342E-04,3.12712179138605E-05
1.05881899202402E+00,4.40108649077745E-02,4.96252731139869E-03,2.60711390480828E-03,8.98300538128214E-04,8.17863843174266E-05
1.08494687954260E+00,6.28554367968228E-02,7.08628212680339E-03,3.69017200342380E-03,1.90562165385474E-03,1.74600396380069E-04
1.12927295814370E+00,9.40182472571492E-02,1.06119632880951E-02,5.45365896658302E-03,4.28944972385507E-03,3.96214441209311E-04
1.21337484518177E+00,1.50061509307204E-01,1.71101249006780E-02,8.60051489777898E-03,1.12356116518459E-02,1.06846590722684E-03
1.29747673221985E+00,2.02105558247080E-01,2.32801190893222E-02,1.14268296025342E-02,2.14404707390469E-02,2.06511321299624E-03
1.38157861925792E+00,2.50270799819049E-01,2.94626251070987E-02,1.41963331263538E-02,3.42954523523563E-02,3.39512889784709E-03
1.46568050629599E+00,2.94655552021622E-01,3.56469904660767E-02,1.69019196461739E-02,4.97170049074447E-02,5.06254994149456E-03
1.54978239333407E+00,3.35340305337550E-01,4.19290733585548E-02,1.96130001012803E-02,6.74732884215484E-02,7.07563149001416E-03
1.71111601066071E+00,4.03530254613370E-01,5.46661004100553E-02,2.51238763031065E-02,1.06882302693972E-01,1.19614874128429E-02
1.87244962798735E+00,4.59256747624452E-01,6.83934232664563E-02,3.11273484607005E-02,1.52649759044336E-01,1.82363014521628E-02
2.03378324531399E+00,5.03237815005381E-01,8.36296467996565E-02,3.79967173066608E-02,2.03166111042082E-01,2.59844450387469E-02
2.19511686264063E+00,5.36837115757936E-01,1.00836280885416E-01,4.60413993981568E-02,2.55985983221900E-01,3.54223496023098E-02
