"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
0,10,10,15,15
0.01,10.1495,10.1495,14.9019,14.9019
0.02,10.298,10.298,14.8038,14.8038
0.03,10.4456,10.4456,14.7057,14.7057
0.04,10.5922,10.5922,14.6076,14.6076
0.05,10.7377,10.7377,14.5095,14.5095
0.06,10.8823,10.8823,14.4114,14.4114
0.07,11.026,11.026,14.3133,14.3133
0.08,11.1686,11.1686,14.2152,14.2152
0.09,11.3103,11.3103,14.1171,14.1171
0.1,11.4509,11.4509,14.019,14.019
0.11,11.5906,11.5906,13.9209,13.9209
0.12,11.7294,11.7294,13.8228,13.8228
0.13,11.8671,11.8671,13.7247,13.7247
0.14,12.0039,12.0039,13.6266,13.6266
0.15,12.1396,12.1396,13.5285,13.5285
0.16,12.2744,12.2744,13.4304,13.4304
0.17,12.4082,12.4082,13.3323,13.3323
0.18,12.5411,12.5411,13.2342,13.2342
0.19,12.6729,12.6729,13.1361,13.1361
0.2,12.8038,12.8038,13.038,13.038
0.21,12.9337,12.9337,12.9399,12.9399
0.22,13.0626,13.0626,12.8418,12.8418
0.23,13.1905,13.1905,12.7437,12.7437
0.24,13.3175,13.3175,12.6456,12.6456
0.25,13.4434,13.4434,12.5475,12.5475
0.26,13.5684,13.5684,12.4494,12.4494
0.27,13.6924,13.6924,12.3513,12.3513
0.28,13.8154,13.8154,12.2532,12.2532
0.29,13.9375,13.9375,12.1551,12.1551
0.3,14.0585,14.0585,12.057,12.057
0.31,14.1786,14.1786,11.9589,11.9589
0.32,14.2977,14.2977,11.8608,11.8608
0.33,14.4158,14.4158,11.7627,11.7627
0.34,14.533,14.533,11.6646,11.6646
0.35,14.6491,14.6491,11.5665,11.5665
0.36,14.7643,14.7643,11.4684,11.4684
0.37,14.8785,14.8785,11.3703,11.3703
0.38,14.9917,14.9917,11.2722,11.2722
0.39,15.1039,15.1039,11.1741,11.1741
0.4,15.2152,15.2152,11.076,11.076
0.41,15.3255,15.3255,10.9779,10.9779
0.42,15.4348,15.4348,10.8798,10.8798
0.43,15.5431,15.5431,10.7817,10.7817
0.44,15.6504,15.6504,10.6836,10.6836
0.45,15.7567,15.7567,10.5855,10.5855
0.46,15.8621,15.8621,10.4874,10.4874
0.47,15.9665,15.9665,10.3893,10.3893
0.48,16.0699,16.0699,10.2912,10.2912
0.49,16.1723,16.1723,10.1931,10.1931
0.5,16.2738,16.2738,10.095,10.095
0.51,16.3742,16.3742,9.9969,9.9969
0.52,16.4737,16.4737,9.8988,9.8988
0.53,16.5722,16.5722,9.8007,9.8007
0.54,16.6697,16.6697,9.7026,9.7026
0.55,16.7662,16.7662,9.6045,9.6045
0.56,16.8618,16.8618,9.5064,9.5064
0.57,16.9564,16.9564,9.4083,9.4083
0.58,17.05,17.05,9.3102,9.3102
0.59,17.1426,17.1426,9.2121,9.2121
0.6,17.2342,17.2342,9.114,9.114
0.61,17.3249,17.3249,9.0159,9.0159
0.62,17.4145,17.4145,8.9178,8.9178
0.63,17.5032,17.5032,8.8197,8.8197
0.64,17.5909,17.5909,8.7216,8.7216
0.65,17.6776,17.6776,8.6235,8.6235
0.66,17.7634,17.7634,8.5254,8.5254
0.67,17.8481,17.8481,8.4273,8.4273
0.68,17.9319,17.9319,8.3292,8.3292
0.69,18.0147,18.0147,8.2311,8.2311
0.7,18.0965,18.0965,8.133,8.133
0.71,18.1774,18.1774,8.0349,8.0349
0.72,18.2572,18.2572,7.9368,7.9368
0.73,18.3361,18.3361,7.8387,7.8387
0.74,18.414,18.414,7.7406,7.7406
0.75,18.4909,18.4909,7.6425,7.6425
0.76,18.5669,18.5669,7.5444,7.5444
0.77,18.6418,18.6418,7.4463,7.4463
0.78,18.7158,18.7158,7.3482,7.3482
0.79,18.7888,18.7888,7.2501,7.2501
0.8,18.8608,18.8608,7.152,7.152
0.81,18.9318,18.9318,7.0539,7.0539
0.82,19.0019,19.0019,6.9558,6.9558
0.83,19.0709,19.0709,6.8577,6.8577
0.84,19.139,19.139,6.7596,6.7596
0.85,19.2061,19.2061,6.6615,6.6615
0.86,19.2723,19.2723,6.5634,6.5634
0.87,19.3374,19.3374,6.4653,6.4653
0.88,19.4016,19.4016,6.3672,6.3672
0.89,19.4648,19.4648,6.2691,6.2691
0.9,19.527,19.527,6.171,6.171
0.91,19.5882,19.5882,6.0729,6.0729
0.92,19.6484,19.6484,5.9748,5.9748
0.93,19.7077,19.7077,5.8767,5.8767
0.94,19.7659,19.7659,5.7786,5.7786
0.95,19.8232,19.8232,5.6805,5.6805
0.96,19.8796,19.8796,5.5824,5.5824
0.97,19.9349,19.9349,5.4843,5.4843
0.98,19.9892,19.9892,5.3862,5.3862
0.99,20.0426,20.0426,5.2881,5.2881
1,20.095,20.095,5.19,5.19
1.01,20.1464,20.1464,5.0919,5.0919
1.02,20.1968,20.1968,4.9938,4.9938
1.03,20.2463,20.2463,4.8957,4.8957
1.04,20.2948,20.2948,4.7976,4.7976
1.05,20.3422,20.3422,4.6995,4.6995
1.06,20.3887,20.3887,4.6014,4.6014
1.07,20.4343,20.4343,4.5033,4.5033
