    "time",    "J1_w",    "J2_w",    "J3_w",    "J4_w"
         0,        10,         0,         0,         0
     0.003, 9.9714163,0.029999946,-3.7782277e-015,-1.0624864e-012
     0.006, 9.9456399,0.059999547,-3.9135362e-015,-1.6939776e-011
     0.009, 9.9226285,0.089998307,-3.858025e-015,-2.4031038e-011
     0.012, 9.9023225,0.11999585,-1.6930901e-015,-2.6379003e-011
     0.015,  9.884637,0.14999178,-8.6042284e-016,-2.7140223e-011
     0.018, 9.8694739, 0.1799857,-6.9388939e-016,-2.7260671e-011
     0.021,  9.856709,0.20997721,2.7755576e-017,-2.714299e-011
     0.024, 9.8461849,0.23996585,1.2767565e-015,-2.7020348e-011
     0.027, 9.8377269,0.26995119,2.7755576e-016,-2.6943127e-011
      0.03, 9.8311424,0.29993278,1.9428903e-015,-2.6902742e-011
     0.033, 9.8262234,0.32991021,1.9428903e-015,-2.688535e-011
     0.036, 9.8227488,0.35988303,2.220446e-015,-2.6875161e-011
     0.039, 9.8204856,0.38985082,3.7192471e-015,-2.6870085e-011
     0.042, 9.8191866,0.41981316,3.3306691e-015,-2.6866101e-011
     0.045, 9.8185975,0.44976963,3.9412917e-015,-2.6866351e-011
     0.048, 9.8184565, 0.4797198,4.1078252e-015,-2.6864243e-011
     0.051, 9.8184997,0.50966323,5.1070259e-015,-2.6865595e-011
     0.054, 9.8184609,0.53959952,5.2180482e-015,-2.6863566e-011
     0.057, 9.8180757,0.56952822,4.9960036e-015,-2.6865747e-011
      0.06,  9.817082,0.59944892,5.4400928e-015,-2.6863076e-011
     0.063, 9.8152238,0.62936119,6.6613381e-015,-2.6863672e-011
     0.066, 9.8122523,0.65926461,4.9960036e-015,-2.6863378e-011
     0.069, 9.8079286,0.68915875,4.1078252e-015,-2.6861586e-011
     0.072, 9.8020263,0.71904318,3.8857806e-015,-2.6860465e-011
     0.075,  9.794333,0.74891749,3.7747583e-015,-2.6860471e-011
     0.078, 9.7846525,0.77878124,2.1094237e-015,-2.686243e-011
