    "time","clutch1.phi_rel","clutch1.w_rel","clutch2.phi_rel","clutch2.w_rel","clutch3.phi_rel","clutch3.w_rel",  "J1.phi",    "J1.w"
         0,         0,       -10,         0,         0,         0,         0,         0,        10
      0.01,-0.09905698,-9.8155576,-0.00049999302,-0.099997584,         0,         0,0.099556973, 9.9155552
      0.02,-0.19641448,-9.6607972,-0.0019999029,-0.19998067,         0,         0,0.19841439, 9.8607778
      0.03,-0.29235218,-9.5313207,-0.004499505,-0.29993332,         0,         0,0.29685168,  9.831254
      0.04,-0.38709799,-9.4201904,-0.0079984093,-0.39983933,         0,         0, 0.3950964, 9.8200298
      0.05,-0.48078851,-9.3189313,-0.012496085,-0.49968341,         0,         0, 0.4932846, 9.8186147
      0.06,-0.57347663,-9.2177125,-0.017991817,-0.59944936,         0,         0,0.59146845, 9.8171619
      0.07,-0.66511164,  -9.10718,-0.024484761,-0.69912189,         0,         0, 0.6895964, 9.8063019
      0.08,-0.75555922,-8.9784193,-0.03197389,-0.79868479,         0,         0,0.78753311, 9.7771041
      0.09,-0.84459788,-8.8248192,-0.04045804,-0.89812275,         0,         0,0.88505592,  9.722942
       0.1,-0.93195611,-8.6419014,-0.049935871,-0.99741981,         0,         0,0.98189198, 9.6393212
      0.11,-1.0172673,-8.4272708,-0.060433185,-1.0965557,         0,         0, 1.0777005, 9.5238265
      0.12,-1.1003243,-8.1840072,-0.071900524,-1.1955226,         0,         0, 1.1722249, 9.3795298
      0.13,-1.1808276, -7.916503,-0.084349932, -1.294302,         0,         0, 1.2651776, 9.2108049
      0.14,-1.2585681,-7.6311142,-0.097785898,-1.3928783,         0,         0,  1.356354, 9.0239925
      0.15,-1.3334122,-7.3359911,-0.11220667,-1.4912367,         0,         0, 1.4456189, 8.8272278
      0.16,-1.4053103,-7.0413202,-0.12760985,-1.5893606,         0,         0, 1.5329201, 8.6306808
      0.17,-1.4743123,-6.7566962,-0.14399302,-1.6872346,         0,         0, 1.6183053, 8.4439308
      0.18,-1.5405518,-6.4908018,-0.1613536, -1.784843,         0,         0, 1.7019054, 8.2756449
      0.19,-1.6042424, -6.250645,-0.17968889,-1.8821705,         0,         0, 1.7839312, 8.1328155
       0.2,-1.6656174,-6.0418061,-0.19902381, -1.979193,         0,         0, 1.8646412, 8.0209991
      0.21,-1.7251254, -5.863941,-0.21930035,-2.0759122,         0,         0, 1.9444257, 7.9398531
      0.22,-1.7830319,-5.7159873,-0.24054145,-2.1723035,         0,         0, 2.0235733, 7.8882908
      0.23,-1.8395822,-5.5937878,-0.26274474,-2.2683531,         0,         0, 2.1023269, 7.8621409
      0.24,-1.8950018,-5.4906362,-0.28590682,-2.3640459,         0,         0, 2.1809086, 7.8546821
      0.25, -1.949438,-5.3983958,-0.31002423,-2.4593675,         0,         0, 2.2594622, 7.8577633
      0.26,-2.0029509,-5.3069644,-0.33509293,-2.5543017,         0,         0, 2.3380439, 7.8612661
      0.27,-2.0555056,-5.2067905,-0.36110894,-2.6488336,         0,         0, 2.4166145, 7.8556241
      0.28,-2.1069796,-5.0892912,-0.38806818,-2.7429481,         0,         0, 2.4950478, 7.8322392
      0.29,-2.1571674,  -4.94763,-0.4159664,-2.8366303,         0,         0, 2.5731338, 7.7842604
       0.3,-2.2058047,-4.7773835,-0.44479922,-2.9298657,         0,         0, 2.6506039, 7.7072491
      0.31,-2.2525094,-4.5753648,-0.4745991,-3.0226204,         0,         0, 2.7271085, 7.5979852
      0.32,-2.2971111,-4.3454908,-0.50529374,-3.1149138,         0,         0, 2.8024048, 7.4604046
      0.33,-2.3392866,-4.0921864,-0.53690289,-3.2067179,         0,         0, 2.8761895, 7.2989043
      0.34,-2.3788551,-3.8213486,-0.56942676, -3.298018,         0,         0, 2.9482818, 7.1193666
      0.35,-2.4156732,-3.5415499,-0.60286122,-3.3887991,         0,         0, 3.0185344,  6.930349
      0.36,-2.4496926,-3.2626513,-0.63720092,-3.4790463,         0,         0, 3.0868936, 6.7416976
      0.37,-2.4809806,-2.9943808,-0.67244033,-3.5687451,         0,         0, 3.1534209, 6.5631259
      0.38, -2.509682, -2.745374,-0.70857391,-3.6578814,         0,         0, 3.2182559, 6.4032554
      0.39,-2.5360172,-2.5225453,-0.74559598, -3.746441,         0,         0, 3.2816132, 6.2689863
       0.4,-2.5602274,-2.3313538,-0.78351938,-3.8343971,         0,         0, 3.3437467, 6.1657509
      0.41,-2.5832292,-2.2721523,-0.82130047,-3.7217611,-0.00050000048,      -0.1, 3.4050297, 6.0939133
      0.42,-2.6058026,-2.2436501,-0.85795194,-3.6085064,-0.0020000005,      -0.2, 3.4657545, 6.0521565
      0.43,-2.6282138,-2.2418265,-0.89346529,-3.4946188,-0.0045023937,      -0.3, 3.5261815, 6.0364453
      0.44,-2.6507125,-2.2593148,-0.9278391,-3.3800868,-0.0080024233,      -0.4,  3.586554, 6.0394016
