    "time",       "h",  "der(h)",       "v",  "der(v)",       "g",       "e"
         0,         1,         0,         0,     -9.81,      9.81,       0.7
      0.01,0.99950539,   -0.0981,   -0.0981,     -9.81,      9.81,       0.7
      0.02,0.99803372,   -0.1962,   -0.1962,     -9.81,      9.81,       0.7
      0.03,0.99558117,   -0.2943,   -0.2943,     -9.81,      9.81,       0.7
      0.04,0.99214768,   -0.3924,   -0.3924,     -9.81,      9.81,       0.7
      0.05,0.98773318,   -0.4905,   -0.4905,     -9.81,      9.81,       0.7
      0.06,0.98233768,   -0.5886,   -0.5886,     -9.81,      9.81,       0.7
      0.07,0.97596118,   -0.6867,   -0.6867,     -9.81,      9.81,       0.7
      0.08,0.96860368,   -0.7848,   -0.7848,     -9.81,      9.81,       0.7
      0.09,0.96026518,   -0.8829,   -0.8829,     -9.81,      9.81,       0.7
       0.1,0.95094568,    -0.981,    -0.981,     -9.81,      9.81,       0.7
      0.11,0.94064518,   -1.0791,   -1.0791,     -9.81,      9.81,       0.7
      0.12,0.92936368,   -1.1772,   -1.1772,     -9.81,      9.81,       0.7
      0.13,0.91710118,   -1.2753,   -1.2753,     -9.81,      9.81,       0.7
      0.14,0.90385768,   -1.3734,   -1.3734,     -9.81,      9.81,       0.7
      0.15,0.88963318,   -1.4715,   -1.4715,     -9.81,      9.81,       0.7
      0.16,0.87442768,   -1.5696,   -1.5696,     -9.81,      9.81,       0.7
      0.17,0.85824118,   -1.6677,   -1.6677,     -9.81,      9.81,       0.7
      0.18,0.84107368,   -1.7658,   -1.7658,     -9.81,      9.81,       0.7
      0.19,0.82292518,   -1.8639,   -1.8639,     -9.81,      9.81,       0.7
       0.2,0.80379568,    -1.962,    -1.962,     -9.81,      9.81,       0.7
      0.21,0.78368518,   -2.0601,   -2.0601,     -9.81,      9.81,       0.7
      0.22,0.76259368,   -2.1582,   -2.1582,     -9.81,      9.81,       0.7
      0.23,0.74052118,   -2.2563,   -2.2563,     -9.81,      9.81,       0.7
      0.24,0.71746768,   -2.3544,   -2.3544,     -9.81,      9.81,       0.7
      0.25,0.69343318,   -2.4525,   -2.4525,     -9.81,      9.81,       0.7
      0.26,0.66841768,   -2.5506,   -2.5506,     -9.81,      9.81,       0.7
      0.27,0.64242118,   -2.6487,   -2.6487,     -9.81,      9.81,       0.7
      0.28,0.61544368,   -2.7468,   -2.7468,     -9.81,      9.81,       0.7
      0.29,0.58748518,   -2.8449,   -2.8449,     -9.81,      9.81,       0.7
       0.3,0.55854568,    -2.943,    -2.943,     -9.81,      9.81,       0.7
      0.31,0.52862518,   -3.0411,   -3.0411,     -9.81,      9.81,       0.7
      0.32,0.49772368,   -3.1392,   -3.1392,     -9.81,      9.81,       0.7
      0.33,0.46584118,   -3.2373,   -3.2373,     -9.81,      9.81,       0.7
      0.34,0.43297768,   -3.3354,   -3.3354,     -9.81,      9.81,       0.7
      0.35,0.39913318,   -3.4335,   -3.4335,     -9.81,      9.81,       0.7
      0.36,0.36430768,   -3.5316,   -3.5316,     -9.81,      9.81,       0.7
      0.37,0.32850118,   -3.6297,   -3.6297,     -9.81,      9.81,       0.7
      0.38,0.29171368,   -3.7278,   -3.7278,     -9.81,      9.81,       0.7
      0.39,0.25394518,   -3.8259,   -3.8259,     -9.81,      9.81,       0.7
       0.4,0.21519568,    -3.924,    -3.924,     -9.81,      9.81,       0.7
      0.41,0.17546518,   -4.0221,   -4.0221,     -9.81,      9.81,       0.7
      0.42,0.13475368,   -4.1202,   -4.1202,     -9.81,      9.81,       0.7
      0.43,0.093061183,   -4.2183,   -4.2183,     -9.81,      9.81,       0.7
      0.44,0.050387683,   -4.3164,   -4.3164,     -9.81,      9.81,       0.7
      0.45,0.0067331834,   -4.4145,   -4.4145,     -9.81,      9.81,       0.7
      0.46,0.025932043, 3.0174435, 3.0174435,     -9.81,      9.81,       0.7
      0.47,0.055615921, 2.9193435, 2.9193435,     -9.81,      9.81,       0.7
