    "time",       "x",  "der(x)",       "k"
         0,         1,        -1,         1
       0.1, 0.9049043,-0.9049043,         1
       0.2,0.81874818,-0.81874818,         1
       0.3,0.74080653,-0.74080653,         1
       0.4,0.67031389,-0.67031389,         1
       0.5,0.60654224,-0.60654224,         1
       0.6,0.54882055,-0.54882055,         1
       0.7,0.49659502,-0.49659502,         1
       0.8,0.44934566,-0.44934566,         1
       0.9,0.40659549,-0.40659549,         1
         1,0.36791362,-0.36791362,         1
