"time",	"der(h)",	"der(v)",	"e",	"g",	"h",	"v"
0,	0,	-9.81,	0.7,	9.81,	1,	0
0.01,	-0.0981,	-9.81,	0.7,	9.81,	1,	-0.0981
0.02,	-0.1962,	-9.81,	0.7,	9.81,	0.999019,	-0.1962
0.03,	-0.2943,	-9.81,	0.7,	9.81,	0.997057,	-0.2943
0.04,	-0.3924,	-9.81,	0.7,	9.81,	0.994114,	-0.3924
0.05,	-0.4905,	-9.81,	0.7,	9.81,	0.99019,	-0.4905
0.06,	-0.5886,	-9.81,	0.7,	9.81,	0.985285,	-0.5886
0.07,	-0.6867,	-9.81,	0.7,	9.81,	0.979399,	-0.6867
0.08,	-0.7848,	-9.81,	0.7,	9.81,	0.972532,	-0.7848
0.09,	-0.8829,	-9.81,	0.7,	9.81,	0.964684,	-0.8829
0.1,	-0.981,	-9.81,	0.7,	9.81,	0.955855,	-0.981
0.11,	-1.0791,	-9.81,	0.7,	9.81,	0.946045,	-1.0791
0.12,	-1.1772,	-9.81,	0.7,	9.81,	0.935254,	-1.1772
0.13,	-1.2753,	-9.81,	0.7,	9.81,	0.923482,	-1.2753
0.14,	-1.3734,	-9.81,	0.7,	9.81,	0.910729,	-1.3734
0.15,	-1.4715,	-9.81,	0.7,	9.81,	0.896995,	-1.4715
0.16,	-1.5696,	-9.81,	0.7,	9.81,	0.88228,	-1.5696
0.17,	-1.6677,	-9.81,	0.7,	9.81,	0.866584,	-1.6677
0.18,	-1.7658,	-9.81,	0.7,	9.81,	0.849907,	-1.7658
0.19,	-1.8639,	-9.81,	0.7,	9.81,	0.832249,	-1.8639
0.2,	-1.962,	-9.81,	0.7,	9.81,	0.81361,	-1.962
0.21,	-2.0601,	-9.81,	0.7,	9.81,	0.79399,	-2.0601
0.22,	-2.1582,	-9.81,	0.7,	9.81,	0.773389,	-2.1582
0.23,	-2.2563,	-9.81,	0.7,	9.81,	0.751807,	-2.2563
0.24,	-2.3544,	-9.81,	0.7,	9.81,	0.729244,	-2.3544
0.25,	-2.4525,	-9.81,	0.7,	9.81,	0.7057,	-2.4525
0.26,	-2.5506,	-9.81,	0.7,	9.81,	0.681175,	-2.5506
0.27,	-2.6487,	-9.81,	0.7,	9.81,	0.655669,	-2.6487
0.28,	-2.7468,	-9.81,	0.7,	9.81,	0.629182,	-2.7468
0.29,	-2.8449,	-9.81,	0.7,	9.81,	0.601714,	-2.8449
0.3,	-2.943,	-9.81,	0.7,	9.81,	0.573265,	-2.943
0.31,	-3.0411,	-9.81,	0.7,	9.81,	0.543835,	-3.0411
0.32,	-3.1392,	-9.81,	0.7,	9.81,	0.513424,	-3.1392
0.33,	-3.2373,	-9.81,	0.7,	9.81,	0.482032,	-3.2373
0.34,	-3.3354,	-9.81,	0.7,	9.81,	0.449659,	-3.3354
0.35,	-3.4335,	-9.81,	0.7,	9.81,	0.416305,	-3.4335
0.36,	-3.5316,	-9.81,	0.7,	9.81,	0.38197,	-3.5316
0.37,	-3.6297,	-9.81,	0.7,	9.81,	0.346654,	-3.6297
0.38,	-3.7278,	-9.81,	0.7,	9.81,	0.310357,	-3.7278
0.39,	-3.8259,	-9.81,	0.7,	9.81,	0.273079,	-3.8259
0.4,	-3.924,	-9.81,	0.7,	9.81,	0.23482,	-3.924
0.41,	-4.0221,	-9.81,	0.7,	9.81,	0.19558,	-4.0221
0.42,	-4.1202,	-9.81,	0.7,	9.81,	0.155359,	-4.1202
0.43,	-4.2183,	-9.81,	0.7,	9.81,	0.114157,	-4.2183
0.44,	-4.3164,	-9.81,	0.7,	9.81,	0.071974,	-4.3164
0.45,	-4.4145,	-9.81,	0.7,	9.81,	0.02881,	-4.4145
0.46,	-4.5126,	-9.81,	0.7,	9.81,	-0.015335,	-4.5126
0.47,	3.06072,	-9.81,	0.7,	9.81,	0.016253,	3.06072
0.48,	2.96262,	-9.81,	0.7,	9.81,	0.04686,	2.96262
0.49,	2.86452,	-9.81,	0.7,	9.81,	0.076487,	2.86452
0.5,	2.76642,	-9.81,	0.7,	9.81,	0.105132,	2.76642
0.51,	2.66832,	-9.81,	0.7,	9.81,	0.132796,	2.66832
0.52,	2.57022,	-9.81,	0.7,	9.81,	0.159479,	2.57022
0.53,	2.47212,	-9.81,	0.7,	9.81,	0.185181,	2.47212
0.54,	2.37402,	-9.81,	0.7,	9.81,	0.209903,	2.37402
0.55,	2.27592,	-9.81,	0.7,	9.81,	0.233643,	2.27592
0.56,	2.17782,	-9.81,	0.7,	9.81,	0.256402,	2.17782
0.57,	2.07972,	-9.81,	0.7,	9.81,	0.27818,	2.07972
0.58,	1.98162,	-9.81,	0.7,	9.81,	0.298977,	1.98162
0.59,	1.88352,	-9.81,	0.7,	9.81,	0.318794,	1.88352
0.6,	1.78542,	-9.81,	0.7,	9.81,	0.337629,	1.78542
0.61,	1.68732,	-9.81,	0.7,	9.81,	0.355483,	1.68732
0.62,	1.58922,	-9.81,	0.7,	9.81,	0.372356,	1.58922
0.63,	1.49112,	-9.81,	0.7,	9.81,	0.388248,	1.49112
0.64,	1.39302,	-9.81,	0.7,	9.81,	0.40316,	1.39302
0.65,	1.29492,	-9.81,	0.7,	9.81,	0.41709,	1.29492
0.66,	1.19682,	-9.81,	0.7,	9.81,	0.430039,	1.19682
0.67,	1.09872,	-9.81,	0.7,	9.81,	0.442007,	1.09872
0.68,	1.00062,	-9.81,	0.7,	9.81,	0.452994,	1.00062
0.69,	0.90252,	-9.81,	0.7,	9.81,	0.463001,	0.90252
0.7,	0.80442,	-9.81,	0.7,	9.81,	0.472026,	0.80442
0.71,	0.70632,	-9.81,	0.7,	9.81,	0.48007,	0.70632
0.72,	0.60822,	-9.81,	0.7,	9.81,	0.487133,	0.60822
0.73,	0.51012,	-9.81,	0.7,	9.81,	0.493215,	0.51012
0.74,	0.41202,	-9.81,	0.7,	9.81,	0.498317,	0.41202
0.75,	0.31392,	-9.81,	0.7,	9.81,	0.502437,	0.31392
