"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
0,0,0,0,0,0,0,-12,0,0,0
0.001,1.002,3.002,0,0.0017,0,0,-12,0.003999999,0.01256635,0.01256635
0.002,1.003999997,3.003999997,0,0.003399998,0,0,-12,0.007999995,0.025132576,0.025132576
0.003,1.005999991,3.005999991,0,0.005099992,0,0,-12,0.011999982,0.037698554,0.037698554
0.004,1.007999979,3.007999979,0,0.006799982,0,0,-12,0.015999957,0.05026416,0.05026416
0.005,1.009999958,3.009999958,0,0.008499965,0,0,-12,0.019999917,0.062829269,0.062829269
0.006,1.011999928,3.011999928,0,0.010199939,0,0,-12,0.023999856,0.075393759,0.075393759
0.007,1.013999886,3.013999886,0,0.011899903,0,0,-12,0.027999771,0.087957504,0.087957504
0.008,1.015999829,3.015999829,0,0.013599855,0,0,-12,0.031999659,0.1,0.100520382
0.009,1.017999757,3.017999757,0,0.015299793,0,0,-12,0.035999514,0.1,0.113082267
0.01,1.019999667,3.019999667,0,0.016999717,0,0,-12,0.039999333,0.1,0.125643036
0.011,1.021999556,3.021999556,0,0.018699623,0,0,-12,0.043999113,0.1,0.138202566
0.012,1.023999424,3.023999424,0,0.02039951,0,0,-12,0.047998848,0.1,0.150760731
0.013,1.025999268,3.025999268,0,0.022099378,0,0,-12,0.051998535,0.1,0.163317408
0.014,1.027999085,3.027999085,0,0.023799223,0,0,-12,0.055998171,0.1,0.175872473
0.015,1.029998875,3.029998875,0,0.025499044,0,0,-12,0.05999775,0.1,0.188425803
0.016,1.031998635,3.031998635,0,0.027198839,0,0,-12,0.063997269,0.1,0.200977273
0.017,1.033998362,3.033998362,0,0.028898608,0,0,-12,0.067996725,0.1,0.213526759
0.018,1.035998056,3.035998056,0,0.030598348,0,0,-12,0.071996112,0.1,0.226074138
0.019,1.037997714,3.037997714,0,0.032298057,0,0,-12,0.075995427,0.1,0.238619286
0.02,1.039997333,3.039997333,0,0.033997733,0,0,-12,0.079994667,0.1,0.251162078
0.021,1.041996913,3.041996913,0,0.035697376,0,0,-12,0.083993826,0.1,0.263702392
0.022,1.043996451,3.043996451,0,0.037396983,0,0,-12,0.087992902,0.1,0.276240103
0.023,1.045995944,3.045995944,0,0.039096553,0,0,-12,0.091991889,0.1,0.288775088
0.024,1.047995392,3.047995392,0,0.040796083,0,0,-12,0.095990784,0.1,0.301307222
0.025,1.049994792,3.049994792,0,0.042495573,0,0,-12,0.099989584,0.1,0.313836383
0.026,1.051994142,3.051994142,0,0.04419502,0,0,-12,0.103988283,0.1,0.326362446
0.027,1.053993439,3.053993439,0,0.045894423,0,0,-12,0.107986878,0.1,0.338885289
0.028,1.055992683,3.055992683,0,0.047593781,0,0,-12,0.111985366,0.1,0.351404786
0.029,1.057991871,3.057991871,0,0.04929309,0,0,-12,0.115983741,0.1,0.363920816
0.03,1.059991,3.059991,0,0.05099235,0,0,-12,0.119982001,0.1,0.376433253
0.031,1.06199007,3.06199007,0,0.05269156,0,0,-12,0.12398014,0.1,0.388941976
0.032,1.063989078,3.063989078,0,0.054390716,0,0,-12,0.127978156,0.1,0.401446859
0.033,1.065988022,3.065988022,0,0.056089818,0,0,-12,0.131976043,0.1,0.413947781
0.034,1.067986899,3.067986899,0,0.057788865,0,0,-12,0.135973799,0.1,0.426444617
0.035,1.069985709,3.069985709,0,0.059487853,0,0,-12,0.139971418,0.1,0.438937244
