"time","Out1"
0,0
5.96E-09,5.96E-09
5.96E-09,5.96E-09
0.000100005,0.000100005
0.000100005,0.000100005
0.2,0.198669331
0.4,0.389418342
0.6,0.564642473
0.8,0.717356091
1,0.841470985
1.2,0.932039086
1.4,0.98544973
1.6,0.999573603
1.8,0.973847631
2,0.909297427
2.2,0.808496404
2.4,0.675463181
2.6,0.515501372
2.8,0.33498815
3,0.141120008
3.2,-0.058374143
3.4,-0.255541102
3.6,-0.442520443
3.8,-0.611857891
4,-0.756802495
4.2,-0.871575772
4.4,-0.951602074
4.6,-0.993691004
4.8,-0.996164609
5,-0.958924275
5.2,-0.883454656
5.4,-0.772764488
5.6,-0.631266638
5.8,-0.464602179
6,-0.279415498
6.2,-0.083089403
6.4,0.116549205
6.6,0.311541364
6.8,0.494113351
7,0.656986599
7.2,0.793667864
7.4,0.898708096
7.6,0.967919672
7.8,0.998543345
8,0.989358247
8.2,0.940730557
8.4,0.854598908
8.6,0.734397098
8.8,0.584917193
9,0.412118485
9.2,0.222889914
9.4,0.024775425
9.6,-0.174326781
9.8,-0.366479129
10,-0.544021111
