"time","y_sum","y_product","y_triggeredAdd","y_multiSwitch"
0,1,0,0,4
0.02,1,0,0,4
0.04,1,0,0,4
0.06,1,0,0,4
0.09,1,0,0,4
0.12,1,0,0,4
0.14,1,0,0,4
0.16,1,0,0,4
0.18,1,0,0,4
0.2,1,0,0,4
0.22,1,0,0,4
0.24,1,0,0,4
0.27,2,0,0,4
0.29,2,0,0,4
0.31,2,0,0,4
0.33,2,0,0,4
0.35,2,0,0,4
0.37,2,0,0,4
0.39,2,0,0,4
0.41,2,0,0,4
0.43,2,0,0,4
0.45,2,0,0,4
0.47,2,0,0,4
0.49,2,0,0,4
0.52,2,0,0,6
0.54,2,0,0,6
0.56,2,0,0,6
0.58,2,0,0,6
0.6,2,0,0,6
0.62,2,0,0,6
0.64,2,0,0,6
0.66,2,0,0,6
0.68,2,0,0,6
0.7,2,0,0,6
0.72,2,0,0,6
0.74,2,0,0,6
0.76,2,0,0,6
0.78,2,0,0,6
0.8,2,0,0,6
0.82,2,0,0,6
0.84,3,0,0,6
0.86,3,0,0,6
0.88,3,0,0,6
0.9,3,0,0,6
0.92,3,0,0,6
0.94,3,0,0,6
0.96,3,0,0,6
0.98,3,0,0,6
1.01,3,0,1,4
1.03,3,0,1,4
1.05,3,0,1,4
1.07,3,0,1,4
1.09,3,0,1,4
1.11,3,0,1,4
1.13,3,0,1,4
1.15,3,0,1,4
1.17,3,0,1,4
1.19,3,0,1,4
1.21,3,0,1,4
1.23,3,0,1,4
1.25,3,0,1,4
1.27,3,0,1,4
1.29,3,0,1,4
1.31,3,0,1,4
1.33,3,0,1,4
1.35,3,0,1,4
1.37,3,0,1,4
1.39,3,0,1,4
1.41,3,0,1,4
1.43,3,0,1,4
1.45,3,0,1,4
1.47,3,0,1,4
1.49,3,0,1,4
1.52,3,0,1,6
1.54,3,0,1,6
1.56,3,0,1,6
1.58,4,0,1,6
1.6,4,0,1,2
1.62,4,0,1,2
1.64,4,0,1,2
1.66,4,0,1,2
1.68,4,0,1,2
1.7,4,0,1,2
1.72,4,0,1,2
1.74,4,0,1,2
1.76,4,0,1,2
1.78,4,0,1,2
1.8,4,0,1,2
1.82,4,0,1,2
1.84,4,0,1,2
1.86,4,0,1,2
1.88,4,0,1,2
1.9,4,0,1,2
1.92,4,0,1,2
1.94,4,0,1,2
1.96,4,0,1,2
1.98,4,0,1,2
2.01,7,21,2,4
2.04,7,21,2,4
2.07,7,21,2,4
2.1,7,21,2,4
2.13,7,21,2,4
2.16,7,21,2,4
2.19,7,21,2,4
2.22,7,21,2,4
2.25,7,21,2,4
2.28,7,21,2,4
2.31,7,21,2,4
2.34,7,21,2,4
2.37,7,21,2,4
2.4,7,21,2,4
2.43,7,21,2,4
2.46,7,21,2,4
2.49,7,21,2,4
2.52,7,21,2,6
2.55,7,21,2,6
2.58,7,21,2,6
2.61,7,21,2,6
2.64,7,21,2,6
2.67,7,21,2,6
2.7,7,21,2,6
2.73,7,21,2,6
2.76,7,21,2,6
2.79,7,21,2,6
2.82,7,21,2,6
2.85,7,21,2,6
2.88,7,21,2,6
2.91,7,21,2,6
2.94,7,21,2,6
2.97,7,21,2,6
3,7,21,3,4
3.03,7,21,3,4
3.06,7,21,3,4
3.09,7,21,3,4
3.12,7,21,3,4
3.15,7,21,3,4
3.18,7,21,3,4
3.21,7,21,3,4
3.24,7,21,3,4
3.27,7,21,3,4
3.3,7,21,3,4
3.33,7,21,3,4
3.36,7,21,3,4
3.39,7,21,3,4
3.42,7,21,3,4
3.45,6,18,3,4
3.48,6,18,3,4
3.51,6,18,3,6
3.54,6,18,3,6
3.57,6,18,3,6
3.6,6,18,3,2
3.63,6,18,3,2
3.66,6,18,3,2
3.69,6,18,3,2
3.72,6,18,3,2
3.75,6,18,3,2
3.78,6,18,3,2
3.81,6,18,3,2
3.84,6,18,3,2
3.87,6,18,3,2
3.9,6,18,3,2
3.93,6,18,3,2
3.96,6,18,3,2
3.99,6,18,3,2
4.02,6,18,4,4
4.05,6,18,4,4
4.08,6,18,4,4
4.11,6,18,4,4
4.14,6,18,4,4
4.17,5,15,4,4
4.2,5,15,4,4
4.23,5,15,4,4
4.26,5,15,4,4
4.29,5,15,4,4
4.32,5,15,4,4
4.35,5,15,4,4
4.38,5,15,4,4
4.41,5,15,4,4
4.44,5,15,4,4
4.47,5,15,4,4
4.5,5,15,4,6
4.53,5,15,4,6
4.56,5,15,4,6
4.59,5,15,4,6
4.62,5,15,4,6
4.65,5,15,4,6
4.68,5,15,4,6
4.71,5,15,4,6
4.74,4,12,4,6
4.77,4,12,4,6
4.8,4,12,4,6
4.83,4,12,4,6
4.86,4,12,4,6
4.89,4,12,4,6
4.92,4,12,4,6
4.95,4,12,4,6
4.98,4,12,4,6
5.01,4,12,5,4
5.04,4,12,5,4
5.07,4,12,5,4
5.1,4,12,5,4
5.13,4,12,5,4
5.16,4,12,5,4
