"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
0,10,10,15,15
0.0502513,10.7414,10.7414,14.507,14.507
0.100503,11.458,11.458,14.0141,14.0141
0.150754,12.1498,12.1498,13.5211,13.5211
0.201005,12.8169,12.8169,13.0281,13.0281
0.251256,13.4592,13.4592,12.5352,12.5352
0.301508,14.0767,14.0767,12.0422,12.0422
0.351759,14.6695,14.6695,11.5492,11.5492
0.40201,15.2374,15.2374,11.0563,11.0563
0.452261,15.7806,15.7806,10.5633,10.5633
0.502513,16.2991,16.2991,10.0704,10.0704
0.552764,16.7927,16.7927,9.57739,9.57739
0.603015,17.2616,17.2616,9.08442,9.08442
0.653266,17.7058,17.7058,8.59146,8.59146
0.703518,18.1251,18.1251,8.09849,8.09849
0.753769,18.5197,18.5197,7.60553,7.60553
0.80402,18.8895,18.8895,7.11256,7.11256
0.854271,19.2345,19.2345,6.6196,6.6196
0.904523,19.5548,19.5548,6.12663,6.12663
0.954774,19.8502,19.8502,5.63367,5.63367
1.00503,20.121,20.121,5.1407,5.1407
1.05528,20.3669,20.3669,4.64774,4.64774
1.10553,20.5881,20.5881,4.15477,4.15477
1.15578,20.7845,20.7845,3.66181,3.66181
1.20603,20.9561,20.9561,3.16884,3.16884
1.25628,21.1029,21.1029,2.67588,2.67588
1.30653,21.225,21.225,2.18291,2.18291
1.35678,21.3223,21.3223,1.68995,1.68995
1.40704,21.3949,21.3949,1.19698,1.19698
1.45729,21.4426,21.4426,0.70402,0.70402
1.50754,21.4656,21.4656,0.211055,0.211055
1.55779,21.4638,21.4638,-0.28191,-0.28191
1.60804,21.4373,21.4373,-0.774874,-0.774874
1.65829,21.386,21.386,-1.26784,-1.26784
1.70854,21.3099,21.3099,-1.7608,-1.7608
1.75879,21.209,21.209,-2.25377,-2.25377
1.80905,21.0834,21.0834,-2.74673,-2.74673
1.8593,20.9329,20.9329,-3.2397,-3.2397
1.90955,20.7578,20.7578,-3.73266,-3.73266
1.9598,20.5578,20.5578,-4.22563,-4.22563
2.01005,20.3331,20.3331,-4.71859,-4.71859
2.0603,20.0836,20.0836,-5.21156,-5.21156
2.11055,19.8093,19.8093,-5.70452,-5.70452
2.1608,19.5103,19.5103,-6.19749,-6.19749
2.21106,19.1864,19.1864,-6.69045,-6.69045
2.26131,18.8378,18.8378,-7.18342,-7.18342
2.31156,18.4645,18.4645,-7.67638,-7.67638
2.36181,18.0663,18.0663,-8.16935,-8.16935
2.41206,17.6434,17.6434,-8.66231,-8.66231
2.46231,17.1958,17.1958,-9.15528,-9.15528
2.51256,16.7233,16.7233,-9.64824,-9.64824
2.56281,16.2261,16.2261,-10.1412,-10.1412
2.61307,15.7041,15.7041,-10.6342,-10.6342
2.66332,15.1573,15.1573,-11.1271,-11.1271
2.71357,14.5858,14.5858,-11.6201,-11.6201
2.76382,13.9895,13.9895,-12.1131,-12.1131
2.81407,13.3684,13.3684,-12.606,-12.606
2.86432,12.7225,12.7225,-13.099,-13.099
2.91457,12.0519,12.0519,-13.592,-13.592
2.96482,11.3565,11.3565,-14.0849,-14.0849
3.01508,10.6363,10.6363,-14.5779,-14.5779
3.06533,9.8914,9.8914,-15.0709,-15.0709
3.11558,9.12169,9.12169,-15.5638,-15.5638
3.16583,8.3272,8.3272,-16.0568,-16.0568
3.21608,7.50794,7.50794,-16.5497,-16.5497
3.26633,6.66391,6.66391,-17.0427,-17.0427
3.31658,5.79511,5.79511,-17.5357,-17.5357
3.36683,4.90153,4.90153,-18.0286,-18.0286
3.41709,3.98318,3.98318,-18.5216,-18.5216
3.46734,3.04006,3.04006,-19.0146,-19.0146
3.51759,2.07217,2.07217,-19.5075,-19.5075
3.56784,1.07951,1.07951,-20.0005,-20.0005
3.61809,0.0620691,0.0620691,-20.4935,-20.4935
3.62112,1.29540e-14,1.29540e-14,-20.5232,-20.5232
3.62112,1.29540e-14,1.29540e-14,-20.5232,-20.5232
3.62112,0,0,16.4185,15.3924
3.62112,0,0,16.4185,15.3924
3.67137,0.812666,0.7611,15.9256,14.8994
3.72162,1.60056,1.49743,15.4326,14.4064
3.77187,2.36368,2.20898,14.9396,13.9135
3.82212,3.10203,2.89577,14.4467,13.4205
3.87237,3.81561,3.55778,13.9537,12.9275
3.92262,4.50441,4.19502,13.4607,12.4346
3.97288,5.16844,4.80748,12.9678,11.9416
4.02313,5.80771,5.39518,12.4748,11.4486
4.07338,6.42219,5.9581,11.9818,10.9557
4.12363,7.01191,6.49625,11.4889,10.4627
4.17388,7.57686,7.00963,10.9959,9.96976
4.22413,8.11703,7.49824,10.5029,9.47679
4.27438,8.63243,7.96207,10.01,8.98383
4.32463,9.12306,8.40114,9.51702,8.49086
4.37489,9.58891,8.81543,9.02405,7.9979
4.42514,10.03,9.20494,8.53109,7.50493
4.47539,10.4463,9.56969,8.03812,7.01197
4.52564,10.8378,9.90966,7.54516,6.519
4.57589,11.2046,10.2249,7.05219,6.02604
4.62614,11.5466,10.5153,6.55923,5.53307
4.67639,11.8638,10.781,6.06626,5.04011
4.72664,12.1563,11.0218,5.5733,4.54714
4.7769,12.424,11.238,5.08034,4.05418
4.82715,12.6669,11.4293,4.58737,3.56121
4.8774,12.885,11.5959,4.09441,3.06825
4.92765,13.0784,11.7377,3.60144,2.57528
4.9779,13.247,11.8547,3.10848,2.08232
5.02815,13.3908,11.9469,2.61551,1.58935
5.0784,13.5098,12.0144,2.12255,1.09639
5.12865,13.6041,12.0571,1.62958,0.603424
5.17891,13.6736,12.0751,1.13662,0.110459
5.22916,13.7183,12.0682,0.643652,-0.382506
5.27941,13.7383,12.0366,0.150687,-0.875471
5.32966,13.7335,11.9802,-0.342278,-1.36844
5.37991,13.7039,11.8991,-0.835243,-1.8614
5.43016,13.6495,11.7932,-1.32821,-2.35437
5.48041,13.5704,11.6625,-1.82117,-2.84733
5.53066,13.4665,11.507,-2.31414,-3.3403
5.58092,13.3378,11.3268,-2.8071,-3.83326
5.63117,13.1844,11.1218,-3.30007,-4.32622
5.68142,13.0062,10.892,-3.79303,-4.81919
5.73167,12.8032,10.6374,-4.286,-5.31215
5.78192,12.5754,10.3581,-4.77896,-5.80512
5.83217,12.3229,10.054,-5.27193,-6.29808
5.88242,12.0456,9.72511,-5.76489,-6.79105
5.93267,11.7435,9.37147,-6.25786,-7.28401
5.98293,11.4166,8.99305,-6.75082,-7.77698
6.03318,11.065,8.58986,-7.24379,-8.26994
6.08343,10.6886,8.1619,-7.73675,-8.76291
6.13368,10.2875,7.70916,-8.22972,-9.25587
6.18393,9.86151,7.23166,-8.72268,-9.74884
6.23418,9.4108,6.72938,-9.21564,-10.2418
6.28443,8.93532,6.20233,-9.70861,-10.7348
6.33468,8.43506,5.65051,-10.2016,-11.2277
6.38494,7.91003,5.07392,-10.6945,-11.7207
6.43519,7.36023,4.47255,-11.1875,-12.2137
6.48544,6.78566,3.84641,-11.6805,-12.7066
6.53569,6.18632,3.1955,-12.1734,-13.1996
6.58594,5.5622,2.51982,-12.6664,-13.6926
6.63619,4.91331,1.81937,-13.1594,-14.1855
6.68644,4.23965,1.09414,-13.6523,-14.6785
6.73669,3.54122,0.344143,-14.1453,-15.1715
6.75921,3.22018,2.03969e-14,-14.3662,-15.3924
6.75921,3.22018,2.03969e-14,-14.3662,-15.3924
6.75921,3.22018,0,-14.3662,11.5443
6.75921,3.22018,0,-14.3662,11.5443
6.80947,2.48588,0.567728,-14.8592,11.0513
6.85972,1.7268,1.11068,-15.3521,10.5583
6.90997,0.942949,1.62887,-15.8451,10.0654
6.96022,0.134326,2.12228,-16.3381,9.57242
6.96842,0,2.20046,13.1348,9.49196
6.96842,0,2.20046,13.1348,9.49196
7.01867,0.647655,2.66506,12.6419,8.999
7.06892,1.27054,3.10488,12.1489,8.50603
7.11917,1.86865,3.51993,11.6559,8.01307
7.16943,2.44199,3.91021,11.163,7.5201
7.21968,2.99055,4.27572,10.67,7.02714
7.26993,3.51435,4.61646,10.177,6.53417
7.32018,4.01337,4.93242,9.68407,6.04121
7.37043,4.48762,5.22361,9.1911,5.54824
7.42068,4.9371,5.49004,8.69814,5.05528
7.47093,5.36181,5.73168,8.20517,4.56231
7.52118,5.76174,5.94856,7.71221,4.06935
7.57144,6.1369,6.14066,7.21924,3.57638
7.62169,6.48729,6.30799,6.72628,3.08342
7.67194,6.81291,6.45055,6.23331,2.59045
7.72219,7.11376,6.56834,5.74035,2.09749
7.77244,7.38983,6.66136,5.24738,1.60452
7.82269,7.64113,6.7296,4.75442,1.11156
7.87294,7.86766,6.77307,4.26145,0.618594
7.92319,8.06942,6.79177,3.76849,0.125629
7.97345,8.2464,6.7857,3.27552,-0.367336
8.0237,8.39862,6.75485,2.78256,-0.860301
8.07395,8.52606,6.69923,2.28959,-1.35327
8.1242,8.62873,6.61885,1.79663,-1.84623
8.17445,8.70662,6.51368,1.30367,-2.3392
8.2247,8.75975,6.38375,0.8107,-2.83216
8.27495,8.7881,6.22904,0.317735,-3.32513
8.3252,8.79168,6.04957,-0.175229,-3.81809
8.37546,8.77049,5.84532,-0.668194,-4.31105
8.42571,8.72453,5.6163,-1.16116,-4.80402
8.47596,8.65379,5.3625,-1.65412,-5.29698
8.52621,8.55828,5.08393,-2.14709,-5.78995
8.57646,8.438,4.7806,-2.64005,-6.28291
8.62671,8.29295,4.45249,-3.13302,-6.77588
8.67696,8.12313,4.0996,-3.62598,-7.26884
8.72721,7.92853,3.72195,-4.11895,-7.76181
8.77747,7.70916,3.31952,-4.61191,-8.25477
8.82772,7.46502,2.89232,-5.10488,-8.74774
8.87797,7.19611,2.44035,-5.59784,-9.2407
8.92822,6.90243,1.96361,-6.09081,-9.73367
8.97847,6.58397,1.46209,-6.58377,-10.2266
9.02872,6.24074,0.935808,-7.07674,-10.7196
9.07897,5.87274,0.384748,-7.5697,-11.2126
9.11279,5.61117,0,-7.90142,8.65821
9.11279,5.61117,0,-7.90142,8.65821
9.16304,5.20173,0.4227,-8.39438,8.16524
9.21329,4.76751,0.820627,-8.88735,7.67228
9.26354,4.30853,1.19378,-9.38031,7.17931
9.31379,3.82477,1.54217,-9.87327,6.68635
9.36404,3.31624,1.86578,-10.3662,6.19338
9.4143,2.78294,2.16462,-10.8592,5.70042
9.46455,2.22486,2.43868,-11.3522,5.20745
9.5148,1.64201,2.68798,-11.8451,4.71449
9.56505,1.0344,2.9125,-12.3381,4.22152
9.6153,0.402004,3.11225,-12.8311,3.72856
9.64626,0,3.223,10.5079,3.4248
9.64626,0,3.223,10.5079,3.4248
9.69652,0.515647,3.38272,10.0149,2.93184
9.74677,1.00652,3.51766,9.52193,2.43887
9.79702,1.47262,3.62783,9.02896,1.94591
9.84727,1.91396,3.71323,8.536,1.45294
9.89752,2.33051,3.77385,8.04303,0.959978
9.94777,2.7223,3.80971,7.55007,0.467013
9.99802,3.08931,3.82079,7.0571,-0.0259518
10,3.10325,3.82072,7.03771,-0.0453464
