"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
0,10,10,15,15
0.001,10.01499396,10.01499396,14.99019,14.99019
0.002,10.02997894,10.02997894,14.98038,14.98038
0.003,10.04495436,10.04495436,14.97057,14.97057
0.004,10.05991998,10.05991998,14.96076,14.96076
0.005,10.07487582,10.07487582,14.95095,14.95095
0.006,10.08982184,10.08982184,14.94114,14.94114
0.007,10.10475806,10.10475806,14.93133,14.93133
0.008,10.11968447,10.11968447,14.92152,14.92152
0.009,10.13460107,10.13460107,14.91171,14.91171
0.01,10.14950786,10.14950786,14.9019,14.9019
0.011,10.16440485,10.16440485,14.89209,14.89209
0.012,10.17929203,10.17929203,14.88228,14.88228
0.013,10.1941694,10.1941694,14.87247,14.87247
0.014,10.20903695,10.20903695,14.86266,14.86266
0.015,10.2238947,10.2238947,14.85285,14.85285
0.016,10.23874263,10.23874263,14.84304,14.84304
0.017,10.25358076,10.25358076,14.83323,14.83323
0.018,10.26840908,10.26840908,14.82342,14.82342
0.019,10.28322759,10.28322759,14.81361,14.81361
0.02,10.2980363,10.2980363,14.8038,14.8038
0.021,10.31283519,10.31283519,14.79399,14.79399
0.022,10.32762427,10.32762427,14.78418,14.78418
0.023,10.34240354,10.34240354,14.77437,14.77437
0.024,10.35717299,10.35717299,14.76456,14.76456
0.025,10.37193264,10.37193264,14.75475,14.75475
0.026,10.38668248,10.38668248,14.74494,14.74494
0.027,10.40142251,10.40142251,14.73513,14.73513
0.028,10.41615274,10.41615274,14.72532,14.72532
0.029,10.43087315,10.43087315,14.71551,14.71551
0.03,10.44558375,10.44558375,14.7057,14.7057
0.031,10.46028454,10.46028454,14.69589,14.69589
0.032,10.47497552,10.47497552,14.68608,14.68608
0.033,10.4896567,10.4896567,14.67627,14.67627
0.034,10.50432806,10.50432806,14.66646,14.66646
0.035,10.51898962,10.51898962,14.65665,14.65665
0.036,10.53364136,10.53364136,14.64684,14.64684
0.037,10.54828329,10.54828329,14.63703,14.63703
0.038,10.56291541,10.56291541,14.62722,14.62722
0.039,10.57753772,10.57753772,14.61741,14.61741
0.04,10.59215022,10.59215022,14.6076,14.6076
0.041,10.60675292,10.60675292,14.59779,14.59779
0.042,10.6213458,10.6213458,14.58798,14.58798
0.043,10.63592887,10.63592887,14.57817,14.57817
0.044,10.65050213,10.65050213,14.56836,14.56836
0.045,10.66506558,10.66506558,14.55855,14.55855
0.046,10.67961923,10.67961923,14.54874,14.54874
0.047,10.69416306,10.69416306,14.53893,14.53893
0.048,10.70869708,10.70869708,14.52912,14.52912
0.049,10.72322129,10.72322129,14.51931,14.51931
0.05,10.7377357,10.7377357,14.5095,14.5095
0.051,10.75224029,10.75224029,14.49969,14.49969
0.052,10.76673507,10.76673507,14.48988,14.48988
0.053,10.78122005,10.78122005,14.48007,14.48007
0.054,10.79569521,10.79569521,14.47026,14.47026
0.055,10.81016056,10.81016056,14.46045,14.46045
0.056,10.82461611,10.82461611,14.45064,14.45064
0.057,10.83906184,10.83906184,14.44083,14.44083
0.058,10.85349777,10.85349777,14.43102,14.43102
0.059,10.86792388,10.86792388,14.42121,14.42121
0.06,10.88234019,10.88234019,14.4114,14.4114
0.061,10.89674668,10.89674668,14.40159,14.40159
0.062,10.91114336,10.91114336,14.39178,14.39178
0.063,10.92553024,10.92553024,14.38197,14.38197
0.064,10.9399073,10.9399073,14.37216,14.37216
0.065,10.95427455,10.95427455,14.36235,14.36235
0.066,10.968632,10.968632,14.35254,14.35254
0.067,10.98297963,10.98297963,14.34273,14.34273
0.068,10.99731745,10.99731745,14.33292,14.33292
0.069,11.01164546,11.01164546,14.32311,14.32311
0.07,11.02596367,11.02596367,14.3133,14.3133
0.071,11.04027206,11.04027206,14.30349,14.30349
0.072,11.05457064,11.05457064,14.29368,14.29368
0.073,11.06885942,11.06885942,14.28387,14.28387
0.074,11.08313838,11.08313838,14.27406,14.27406
0.075,11.09740753,11.09740753,14.26425,14.26425
0.076,11.11166688,11.11166688,14.25444,14.25444
0.077,11.12591641,11.12591641,14.24463,14.24463
0.078,11.14015613,11.14015613,14.23482,14.23482
0.079,11.15438605,11.15438605,14.22501,14.22501
0.08,11.16860615,11.16860615,14.2152,14.2152
0.081,11.18281644,11.18281644,14.20539,14.20539
0.082,11.19701693,11.19701693,14.19558,14.19558
0.083,11.2112076,11.2112076,14.18577,14.18577
0.084,11.22538846,11.22538846,14.17596,14.17596
0.085,11.23955952,11.23955952,14.16615,14.16615
0.086,11.25372076,11.25372076,14.15634,14.15634
0.087,11.2678722,11.2678722,14.14653,14.14653
0.088,11.28201382,11.28201382,14.13672,14.13672
0.089,11.29614563,11.29614563,14.12691,14.12691
0.09,11.31026764,11.31026764,14.1171,14.1171
0.091,11.32437983,11.32437983,14.10729,14.10729
0.092,11.33848222,11.33848222,14.09748,14.09748
0.093,11.35257479,11.35257479,14.08767,14.08767
0.094,11.36665755,11.36665755,14.07786,14.07786
0.095,11.38073051,11.38073051,14.06805,14.06805
0.096,11.39479365,11.39479365,14.05824,14.05824
0.097,11.40884699,11.40884699,14.04843,14.04843
0.098,11.42289051,11.42289051,14.03862,14.03862
0.099,11.43692423,11.43692423,14.02881,14.02881
0.1,11.45094813,11.45094813,14.019,14.019
0.101,11.46496223,11.46496223,14.00919,14.00919
0.102,11.47896651,11.47896651,13.99938,13.99938
0.103,11.49296099,11.49296099,13.98957,13.98957
0.104,11.50694565,11.50694565,13.97976,13.97976
0.105,11.52092051,11.52092051,13.96995,13.96995
0.106,11.53488555,11.53488555,13.96014,13.96014
0.107,11.54884078,11.54884078,13.95033,13.95033
0.108,11.56278621,11.56278621,13.94052,13.94052
0.109,11.57672182,11.57672182,13.93071,13.93071
0.11,11.59064762,11.59064762,13.9209,13.9209
0.111,11.60456362,11.60456362,13.91109,13.91109
0.112,11.6184698,11.6184698,13.90128,13.90128
0.113,11.63236618,11.63236618,13.89147,13.89147
0.114,11.64625274,11.64625274,13.88166,13.88166
0.115,11.66012949,11.66012949,13.87185,13.87185
0.116,11.67399644,11.67399644,13.86204,13.86204
0.117,11.68785357,11.68785357,13.85223,13.85223
0.118,11.70170089,11.70170089,13.84242,13.84242
0.119,11.71553841,11.71553841,13.83261,13.83261
0.12,11.72936611,11.72936611,13.8228,13.8228
0.121,11.74318401,11.74318401,13.81299,13.81299
0.122,11.75699209,11.75699209,13.80318,13.80318
0.123,11.77079036,11.77079036,13.79337,13.79337
0.124,11.78457883,11.78457883,13.78356,13.78356
0.125,11.79835748,11.79835748,13.77375,13.77375
0.126,11.81212633,11.81212633,13.76394,13.76394
0.127,11.82588536,11.82588536,13.75413,13.75413
0.128,11.83963458,11.83963458,13.74432,13.74432
0.129,11.853374,11.853374,13.73451,13.73451
0.13,11.8671036,11.8671036,13.7247,13.7247
0.131,11.88082339,11.88082339,13.71489,13.71489
0.132,11.89453338,11.89453338,13.70508,13.70508
0.133,11.90823355,11.90823355,13.69527,13.69527
0.134,11.92192392,11.92192392,13.68546,13.68546
0.135,11.93560447,11.93560447,13.67565,13.67565
0.136,11.94927522,11.94927522,13.66584,13.66584
0.137,11.96293615,11.96293615,13.65603,13.65603
0.138,11.97658727,11.97658727,13.64622,13.64622
0.139,11.99022859,11.99022859,13.63641,13.63641
0.14,12.00386009,12.00386009,13.6266,13.6266
0.141,12.01748179,12.01748179,13.61679,13.61679
0.142,12.03109367,12.03109367,13.60698,13.60698
0.143,12.04469574,12.04469574,13.59717,13.59717
0.144,12.05828801,12.05828801,13.58736,13.58736
0.145,12.07187046,12.07187046,13.57755,13.57755
0.146,12.08544311,12.08544311,13.56774,13.56774
0.147,12.09900594,12.09900594,13.55793,13.55793
0.148,12.11255897,12.11255897,13.54812,13.54812
0.149,12.12610218,12.12610218,13.53831,13.53831
0.15,12.13963558,12.13963558,13.5285,13.5285
0.151,12.15315918,12.15315918,13.51869,13.51869
0.152,12.16667296,12.16667296,13.50888,13.50888
0.153,12.18017694,12.18017694,13.49907,13.49907
0.154,12.1936711,12.1936711,13.48926,13.48926
0.155,12.20715546,12.20715546,13.47945,13.47945
0.156,12.22063,12.22063,13.46964,13.46964
0.157,12.23409474,12.23409474,13.45983,13.45983
0.158,12.24754966,12.24754966,13.45002,13.45002
0.159,12.26099477,12.26099477,13.44021,13.44021
0.16,12.27443008,12.27443008,13.4304,13.4304
0.161,12.28785557,12.28785557,13.42059,13.42059
0.162,12.30127126,12.30127126,13.41078,13.41078
0.163,12.31467713,12.31467713,13.40097,13.40097
0.164,12.3280732,12.3280732,13.39116,13.39116
0.165,12.34145945,12.34145945,13.38135,13.38135
0.166,12.3548359,12.3548359,13.37154,13.37154
0.167,12.36820253,12.36820253,13.36173,13.36173
0.168,12.38155936,12.38155936,13.35192,13.35192
0.169,12.39490637,12.39490637,13.34211,13.34211
0.17,12.40824357,12.40824357,13.3323,13.3323
0.171,12.42157097,12.42157097,13.32249,13.32249
0.172,12.43488855,12.43488855,13.31268,13.31268
0.173,12.44819633,12.44819633,13.30287,13.30287
0.174,12.46149429,12.46149429,13.29306,13.29306
0.175,12.47478245,12.47478245,13.28325,13.28325
0.176,12.48806079,12.48806079,13.27344,13.27344
0.177,12.50132933,12.50132933,13.26363,13.26363
0.178,12.51458805,12.51458805,13.25382,13.25382
0.179,12.52783697,12.52783697,13.24401,13.24401
0.18,12.54107607,12.54107607,13.2342,13.2342
0.181,12.55430537,12.55430537,13.22439,13.22439
0.182,12.56752485,12.56752485,13.21458,13.21458
0.183,12.58073453,12.58073453,13.20477,13.20477
0.184,12.59393439,12.59393439,13.19496,13.19496
0.185,12.60712445,12.60712445,13.18515,13.18515
0.186,12.62030469,12.62030469,13.17534,13.17534
0.187,12.63347513,12.63347513,13.16553,13.16553
0.188,12.64663575,12.64663575,13.15572,13.15572
0.189,12.65978656,12.65978656,13.14591,13.14591
0.19,12.67292757,12.67292757,13.1361,13.1361
0.191,12.68605876,12.68605876,13.12629,13.12629
0.192,12.69918015,12.69918015,13.11648,13.11648
0.193,12.71229172,12.71229172,13.10667,13.10667
0.194,12.72539349,12.72539349,13.09686,13.09686
0.195,12.73848544,12.73848544,13.08705,13.08705
0.196,12.75156758,12.75156758,13.07724,13.07724
0.197,12.76463992,12.76463992,13.06743,13.06743
0.198,12.77770244,12.77770244,13.05762,13.05762
0.199,12.79075516,12.79075516,13.04781,13.04781
0.2,12.80379806,12.80379806,13.038,13.038
0.201,12.81683115,12.81683115,13.02819,13.02819
0.202,12.82985444,12.82985444,13.01838,13.01838
0.203,12.84286791,12.84286791,13.00857,13.00857
0.204,12.85587158,12.85587158,12.99876,12.99876
0.205,12.86886543,12.86886543,12.98895,12.98895
0.206,12.88184948,12.88184948,12.97914,12.97914
0.207,12.89482371,12.89482371,12.96933,12.96933
0.208,12.90778813,12.90778813,12.95952,12.95952
0.209,12.92074275,12.92074275,12.94971,12.94971
0.21,12.93368755,12.93368755,12.9399,12.9399
0.211,12.94662255,12.94662255,12.93009,12.93009
0.212,12.95954773,12.95954773,12.92028,12.92028
0.213,12.97246311,12.97246311,12.91047,12.91047
0.214,12.98536867,12.98536867,12.90066,12.90066
0.215,12.99826442,12.99826442,12.89085,12.89085
0.216,13.01115037,13.01115037,12.88104,12.88104
0.217,13.0240265,13.0240265,12.87123,12.87123
0.218,13.03689283,13.03689283,12.86142,12.86142
0.219,13.04974934,13.04974934,12.85161,12.85161
0.22,13.06259605,13.06259605,12.8418,12.8418
0.221,13.07543294,13.07543294,12.83199,12.83199
0.222,13.08826003,13.08826003,12.82218,12.82218
0.223,13.1010773,13.1010773,12.81237,12.81237
0.224,13.11388476,13.11388476,12.80256,12.80256
0.225,13.12668242,13.12668242,12.79275,12.79275
0.226,13.13947026,13.13947026,12.78294,12.78294
0.227,13.1522483,13.1522483,12.77313,12.77313
0.228,13.16501652,13.16501652,12.76332,12.76332
0.229,13.17777494,13.17777494,12.75351,12.75351
0.23,13.19052354,13.19052354,12.7437,12.7437
0.231,13.20326233,13.20326233,12.73389,12.73389
0.232,13.21599132,13.21599132,12.72408,12.72408
0.233,13.22871049,13.22871049,12.71427,12.71427
0.234,13.24141986,13.24141986,12.70446,12.70446
0.235,13.25411941,13.25411941,12.69465,12.69465
0.236,13.26680916,13.26680916,12.68484,12.68484
0.237,13.27948909,13.27948909,12.67503,12.67503
0.238,13.29215922,13.29215922,12.66522,12.66522
0.239,13.30481953,13.30481953,12.65541,12.65541
0.24,13.31747003,13.31747003,12.6456,12.6456
0.241,13.33011073,13.33011073,12.63579,12.63579
0.242,13.34274161,13.34274161,12.62598,12.62598
0.243,13.35536269,13.35536269,12.61617,12.61617
0.244,13.36797395,13.36797395,12.60636,12.60636
0.245,13.38057541,13.38057541,12.59655,12.59655
0.246,13.39316705,13.39316705,12.58674,12.58674
0.247,13.40574889,13.40574889,12.57693,12.57693
0.248,13.41832091,13.41832091,12.56712,12.56712
0.249,13.43088313,13.43088313,12.55731,12.55731
0.25,13.44343553,13.44343553,12.5475,12.5475
0.251,13.45597812,13.45597812,12.53769,12.53769
0.252,13.46851091,13.46851091,12.52788,12.52788
0.253,13.48103388,13.48103388,12.51807,12.51807
0.254,13.49354705,13.49354705,12.50826,12.50826
0.255,13.5060504,13.5060504,12.49845,12.49845
0.256,13.51854395,13.51854395,12.48864,12.48864
0.257,13.53102768,13.53102768,12.47883,12.47883
0.258,13.54350161,13.54350161,12.46902,12.46902
0.259,13.55596572,13.55596572,12.45921,12.45921
0.26,13.56842003,13.56842003,12.4494,12.4494
0.261,13.58086452,13.58086452,12.43959,12.43959
0.262,13.5932992,13.5932992,12.42978,12.42978
0.263,13.60572408,13.60572408,12.41997,12.41997
0.264,13.61813914,13.61813914,12.41016,12.41016
0.265,13.6305444,13.6305444,12.40035,12.40035
0.266,13.64293984,13.64293984,12.39054,12.39054
0.267,13.65532548,13.65532548,12.38073,12.38073
0.268,13.6677013,13.6677013,12.37092,12.37092
0.269,13.68006732,13.68006732,12.36111,12.36111
0.27,13.69242352,13.69242352,12.3513,12.3513
0.271,13.70476992,13.70476992,12.34149,12.34149
0.272,13.7171065,13.7171065,12.33168,12.33168
0.273,13.72943328,13.72943328,12.32187,12.32187
0.274,13.74175024,13.74175024,12.31206,12.31206
0.275,13.7540574,13.7540574,12.30225,12.30225
0.276,13.76635474,13.76635474,12.29244,12.29244
0.277,13.77864227,13.77864227,12.28263,12.28263
0.278,13.79092,13.79092,12.27282,12.27282
0.279,13.80318791,13.80318791,12.26301,12.26301
0.28,13.81544602,13.81544602,12.2532,12.2532
0.281,13.82769431,13.82769431,12.24339,12.24339
0.282,13.8399328,13.8399328,12.23358,12.23358
0.283,13.85216147,13.85216147,12.22377,12.22377
0.284,13.86438034,13.86438034,12.21396,12.21396
0.285,13.87658939,13.87658939,12.20415,12.20415
0.286,13.88878864,13.88878864,12.19434,12.19434
0.287,13.90097807,13.90097807,12.18453,12.18453
0.288,13.9131577,13.9131577,12.17472,12.17472
0.289,13.92532751,13.92532751,12.16491,12.16491
0.29,13.93748752,13.93748752,12.1551,12.1551
0.291,13.94963771,13.94963771,12.14529,12.14529
0.292,13.9617781,13.9617781,12.13548,12.13548
0.293,13.97390867,13.97390867,12.12567,12.12567
0.294,13.98602944,13.98602944,12.11586,12.11586
