"time","h","der(h)","v","der(v)","g","e"
0,1,0,0,-9.81,9.81,0.7
0.01,1,-0.0981,-0.0981,-9.81,9.81,0.7
0.02,0.999019,-0.1962,-0.1962,-9.81,9.81,0.7
0.03,0.997057,-0.2943,-0.2943,-9.81,9.81,0.7
0.04,0.994114,-0.3924,-0.3924,-9.81,9.81,0.7
0.05,0.99019,-0.4905,-0.4905,-9.81,9.81,0.7
0.06,0.985285,-0.5886,-0.5886,-9.81,9.81,0.7
0.07,0.979399,-0.6867,-0.6867,-9.81,9.81,0.7
0.08,0.972532,-0.7848,-0.7848,-9.81,9.81,0.7
0.09,0.964684,-0.8829,-0.8829,-9.81,9.81,0.7
0.1,0.955855,-0.981,-0.981,-9.81,9.81,0.7
0.11,0.946045,-1.0791,-1.0791,-9.81,9.81,0.7
0.12,0.935254,-1.1772,-1.1772,-9.81,9.81,0.7
0.13,0.923482,-1.2753,-1.2753,-9.81,9.81,0.7
0.14,0.910729,-1.3734,-1.3734,-9.81,9.81,0.7
0.15,0.896995,-1.4715,-1.4715,-9.81,9.81,0.7
0.16,0.88228,-1.5696,-1.5696,-9.81,9.81,0.7
0.17,0.866584,-1.6677,-1.6677,-9.81,9.81,0.7
0.18,0.849907,-1.7658,-1.7658,-9.81,9.81,0.7
0.19,0.832249,-1.8639,-1.8639,-9.81,9.81,0.7
0.2,0.81361,-1.962,-1.962,-9.81,9.81,0.7
0.21,0.79399,-2.0601,-2.0601,-9.81,9.81,0.7
0.22,0.773389,-2.1582,-2.1582,-9.81,9.81,0.7
0.23,0.751807,-2.2563,-2.2563,-9.81,9.81,0.7
0.24,0.729244,-2.3544,-2.3544,-9.81,9.81,0.7
0.25,0.7057,-2.4525,-2.4525,-9.81,9.81,0.7
0.26,0.681175,-2.5506,-2.5506,-9.81,9.81,0.7
0.27,0.655669,-2.6487,-2.6487,-9.81,9.81,0.7
0.28,0.629182,-2.7468,-2.7468,-9.81,9.81,0.7
0.29,0.601714,-2.8449,-2.8449,-9.81,9.81,0.7
0.3,0.573265,-2.943,-2.943,-9.81,9.81,0.7
0.31,0.543835,-3.0411,-3.0411,-9.81,9.81,0.7
0.32,0.513424,-3.1392,-3.1392,-9.81,9.81,0.7
0.33,0.482032,-3.2373,-3.2373,-9.81,9.81,0.7
0.34,0.449659,-3.3354,-3.3354,-9.81,9.81,0.7
0.35,0.416305,-3.4335,-3.4335,-9.81,9.81,0.7
0.36,0.38197,-3.5316,-3.5316,-9.81,9.81,0.7
0.37,0.346654,-3.6297,-3.6297,-9.81,9.81,0.7
0.38,0.310357,-3.7278,-3.7278,-9.81,9.81,0.7
0.39,0.273079,-3.8259,-3.8259,-9.81,9.81,0.7
0.4,0.23482,-3.924,-3.924,-9.81,9.81,0.7
0.41,0.19558,-4.0221,-4.0221,-9.81,9.81,0.7
0.42,0.155359,-4.1202,-4.1202,-9.81,9.81,0.7
0.43,0.114157,-4.2183,-4.2183,-9.81,9.81,0.7
0.44,0.071974,-4.3164,-4.3164,-9.81,9.81,0.7
