    "time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
         0,         0,     33.79,     67.56,-1.4768622,-2.1915281
      0.01,3.0223384e-005, 33.594561, 67.081958,-0.2585594,-1.4389871
      0.02,0.00057479378, 33.536087, 66.937556,-0.074488682,-0.16799159
      0.03,0.001014297, 33.511325, 66.934481,-0.009146724,0.019652317
      0.04,0.0012763432, 33.499038,  66.94553,-0.011245599,0.026028688
      0.05,0.0014072392, 33.490566, 66.955199,-0.016728931,0.030608231
      0.06,0.0014378254, 33.484617, 66.964184,-0.02111492,0.034735135
      0.07,0.0013903272, 33.480771, 66.972512,-0.023500557,0.036846268
      0.08,0.0012845424, 33.478765, 66.980044,-0.023736179,0.03781907
      0.09,0.001138492, 33.478312,  66.98667,-0.023102424,0.036209536
       0.1,0.00096802005, 33.479192, 66.992519,-0.021022262,0.034360379
      0.11,0.0007865761, 33.481076, 66.997518,-0.018313323,0.031588623
      0.12,0.00060469473, 33.483705, 67.001722,-0.015194963,0.028299672
      0.13,0.00043114952, 33.486831, 67.005206,-0.011799697,0.024994816
      0.14,0.00027199653, 33.490236, 67.008047,-0.0085539561,0.021397306
      0.15,0.00013139793, 33.493778, 67.010418,-0.0053735176,0.018154919
      0.16,1.1713417e-005, 33.497296,  67.01238,-0.0026335719,0.014844396
      0.17,-8.6417079e-005, 33.500666, 67.013993,8.7831925e-005,0.012535268
      0.18,-0.00016316952, 33.503833, 67.015402,0.0022441036,0.010253332
      0.19,-0.00021976679, 33.506718, 67.016636,0.0038448665,0.0080677936
       0.2,-0.000258184, 33.509338, 67.017846,0.0051969598,0.0065713908
      0.21,-0.00028073341, 33.511646, 67.019008,0.0063326661,0.0057554721
      0.22,-0.00028993083, 33.513649, 67.020171,0.0064894346,0.0039751792
      0.23,-0.00028835924, 33.515385, 67.021401,0.0073374919,0.0044684585
      0.24,-0.00027850754, 33.516866, 67.022692,0.0075005559,0.0043180026
      0.25,-0.00026269159, 33.518158, 67.024126,0.0074069753,0.0042447437
      0.26,-0.0002430614, 33.519274, 67.025663,0.0072956254,0.0045856596
      0.27,-0.00022125349, 33.520244, 67.027294,0.0069041514,0.0046936503
      0.28,-0.00019881664, 33.521096, 67.029003,0.0065873634,0.0051641846
      0.29,-0.00017693916, 33.521873, 67.030802,0.0061513707,0.0055067235
       0.3,-0.00015650235, 33.522597, 67.032674,0.0057481666,0.005946407
      0.31,-0.00013810022, 33.523286, 67.034593,0.0053231688,0.0063099434
      0.32,-0.00012215777, 33.523955, 67.036537,0.0047278393,0.0062456892
      0.33,-0.00010884905, 33.524639, 67.038535,0.0045066792,0.0068207891
      0.34,-9.8187032e-005, 33.525342, 67.040556,0.0042475821,0.0071811906
      0.35,-9.0209452e-005, 33.526067, 67.042584,0.0039835543,0.007376558
      0.36,-8.4434333e-005, 33.526819, 67.044613,0.0037637713,0.00752163
      0.37,-8.0738193e-005, 33.527601, 67.046635,0.003613466,0.0076659134
      0.38,-7.8815056e-005, 33.528412, 67.048643,0.003472103,0.0076988826
      0.39,-7.8373468e-005, 33.529255, 67.050637,0.0033860705,0.0077269365
       0.4,-7.9091724e-005, 33.530123, 67.052611,0.0033353635,0.0077274981
      0.41,-8.0622067e-005, 33.531011, 67.054561,0.0032999645,0.0076809983
      0.42,-8.2816997e-005, 33.531916, 67.056482,0.0032676495,0.0075724185
      0.43,-8.5340884e-005, 33.532835,  67.05838,0.0032905722,0.007530219
      0.44,-8.8051545e-005, 33.533767, 67.060264,0.0033118066,0.0074501339
      0.45,-9.0765134e-005, 33.534704,  67.06212,0.0033366441,0.0073574939
      0.46,-9.3345028e-005, 33.535644,  67.06396,0.0033580254,0.0072500342
      0.47,-9.5720295e-005, 33.536581, 67.065774,0.0033783928,0.0071397553
      0.48,-9.781331e-005, 33.537518, 67.067575,0.003384385,0.0070081472
      0.49,-9.9595732e-005, 33.538448, 67.069359,0.0034602678,0.007030182
       0.5,-0.00010105553,  33.53937, 67.071126,0.003439498,0.0068715197
      0.51,-0.00010219489, 33.540286, 67.072885,0.0034995147,0.00689443
      0.52,-0.00010296005, 33.541193, 67.074632,0.0035038196,0.0068273552
      0.53,-0.00010352567, 33.542094, 67.076372,0.0035117233,0.0067809076
      0.54,-0.00010384939, 33.542985, 67.078103,0.0035135176,0.0067391605
      0.55,-0.00010398944, 33.543866, 67.079823,0.0034999112,0.0066804002
      0.56,-0.00010395761,  33.54474, 67.081536,0.0034830168,0.0066286725
      0.57,-0.0001037998, 33.545604, 67.083239,0.003465641,0.0065871475
      0.58,-0.00010353807, 33.546462, 67.084937,0.0034925555,0.0066450989
      0.59,-0.00010322916,  33.54732, 67.086644,0.0034901162,0.0066498699
       0.6,-0.00010289414,  33.54817, 67.088339,0.0034291185,0.0065407314
      0.61,-0.00010254865, 33.549007, 67.090012,0.0033689853,0.006436524
      0.62,-0.00010220691,  33.54983,  67.09166,0.0033066655,0.0063297156
      0.63,-0.00010188068,  33.55064, 67.093285,0.0032569717,0.006249143
      0.64,-0.00010157957, 33.551443, 67.094898,0.0032350222,0.0062244969
      0.65,-0.00010131166, 33.552247, 67.096515,0.0032500059,0.0062736616
      0.66,-0.00010108365,  33.55306, 67.098151,0.0032969372,0.006385973
      0.67,-0.00010089959, 33.553882, 67.099807,0.0033256967,0.0064595356
      0.68,-0.0001007582, 33.554698, 67.101448,0.0032624567,0.0063446195
      0.69,-0.00010065326, 33.555493, 67.103046,0.0031478877,0.0061234203
       0.7,-0.00010057652, 33.556265, 67.104595,0.0030422731,0.0059180621
      0.71,-0.00010052013, 33.557015, 67.106099,0.0029583765,0.0057546762
      0.72,-0.00010047867, 33.557752, 67.107577,0.002927671,0.0056973827
      0.73,-0.00010044726, 33.558499, 67.109075,0.0029935769,0.0058346715
      0.74,-0.00010043848, 33.559276, 67.110633,0.0032056719,0.006266571
      0.75,-0.00010045201,   33.5601, 67.112287,0.0034190723,0.0067001423
      0.76,-0.0001004943, 33.560961, 67.114017,0.0035110591,0.0068867982
      0.77,-0.0001005583, 33.561804, 67.115707,0.0032840325,0.0064266052
      0.78,-0.00010061973, 33.562529,  67.11715,0.0025413934,0.0049209112
      0.79,-0.00010061945, 33.563018, 67.118109,0.0015354696,0.0028799816
       0.8,-0.00010055739, 33.563287, 67.118615,0.00046114481,0.00069783825
      0.81,-0.00010033254, 33.563308,  67.11862,-0.00026850697,-0.00078252263
      0.82,-0.00010000577,  33.56338, 67.118742,6.7014126e-005,-9.336486e-005
      0.83,-9.9622867e-005, 33.563703, 67.119394,0.0023117149,0.0044735201
      0.84,-9.9265529e-005,  33.56467, 67.121391,0.0071048566,0.01418062
      0.85,-9.9390297e-005, 33.567299, 67.126789,0.014170007,0.028387605
      0.86,-0.00010016584, 33.571957, 67.136292,0.023193639,0.04636813
      0.87,-0.00010171025, 33.579003, 67.150572,0.033107657,0.06591683
      0.88,-0.00010351955, 33.581392, 67.155258,0.0026137506,0.0050593466
      0.89,-0.00010485971, 33.582105,  67.15654,0.0026507589,0.005054786
       0.9,-0.00010567336, 33.582802, 67.157819,0.0026685654,0.0050088537
      0.91,-0.00010604388, 33.583485, 67.159093,0.0026742766,0.0049541344
      0.92,-0.00010606926, 33.584156, 67.160362,0.0026753557,0.0049144898
      0.93,-0.00010581871, 33.584815, 67.161625,0.0026638326,0.0048723928
      0.94,-0.00010537669, 33.585465, 67.162886,0.0026556952,0.0048556144
      0.95,-0.00010479049, 33.586104,  67.16414,0.0026100743,0.0047784867
      0.96,-0.00010411375, 33.586733, 67.165386,0.002598212,0.0047815525
      0.97,-0.00010346214, 33.587362, 67.166639,0.0025932645,0.0048018134
      0.98,-0.00010274747, 33.587981, 67.167885,0.0025726053,0.0047998647
      0.99,-0.00010210844, 33.588596, 67.169126,0.0025368794,0.0047659734
         1,-0.00010154143, 33.589206, 67.170359,0.0025068549,0.0047417377
      1.01,-0.00010101683, 33.589812,  67.17159,0.0024886143,0.004741786
      1.02,-3.2762933e-005, 33.620029, 67.141109,0.41515849,-0.40774017
      1.03,0.0012106655, 33.814507, 66.919377, 1.6363091,-1.6278363
      1.04,0.0062808469, 34.203234, 66.424895, 2.8686512,-2.8553463
      1.05,0.017168853, 34.640934, 65.769912, 3.9033864,-3.8789999
      1.06,0.034683831,  35.08709, 64.982135, 4.9160255,-4.8726476
      1.07,0.059284619, 35.513711, 64.083824, 5.8693293,-5.7962955
      1.08,0.091116893, 35.898425, 63.098165,  6.750067,-6.6344367
      1.09,0.13007561, 36.226717, 62.045613, 7.5575222,-7.3847337
