    "time",      "x0", "der(x0)",      "x1", "der(x1)",      "mu"
         0,         2,         0,         0,        -2,         1
       0.1, 1.9909304,-0.17265065,-0.17265065,-1.4792277,         1
       0.2, 1.9669539,-0.30068749,-0.30068749,-1.1043093,         1
       0.3, 1.9318291,-0.39734604,-0.39734604,-0.84629415,         1
       0.4, 1.8881752,-0.47280065,-0.47280065,-0.67534433,         1
       0.5, 1.8377231,-0.53449391,-0.53449391,-0.56711015,         1
       0.6, 1.7815589,-0.58772575,-0.58772575,-0.50387125,         1
       0.7, 1.7203314,-0.63637222,-0.63637222,-0.47333454,         1
       0.8,  1.654354,-0.68329602,-0.68329602,-0.46754593,         1
       0.9,  1.583681,-0.73068286,-0.73068286,-0.48177798,         1
         1, 1.5081666,-0.78033813,-0.78033813,-0.51357382,         1
       1.1, 1.4274959,-0.83395896,-0.83395896,-0.56205952,         1
       1.2, 1.3411889,-0.89326584,-0.89326584,-0.62765916,         1
       1.3, 1.2485903,-0.96006627,-0.96006627,-0.71193466,         1
       1.4, 1.1488546,-1.0363363,-1.0363363,-0.81736496,         1
       1.5, 1.0409247,-1.1243224,-1.1243224,-0.94701656,         1
       1.6,0.92350302,-1.2266023,-1.2266023,-1.1039879,         1
       1.7,0.79502047,-1.3460389,-1.3460389,-1.2902853,         1
       1.8, 0.6536176,-1.4855544,-1.4855544,-1.5045194,         1
       1.9, 0.4971629,-1.6475912,-1.6475912,-1.7375175,         1
         2,0.32335202,-1.8330031,-1.8330031,-1.9647026,         1
       2.1,0.12996272,-2.0389873,-2.0389873,-2.1345109,         1
       2.2,-0.08472171,-2.2553947,-2.2553947,-2.1544843,         1
       2.3,-0.32071894,-2.4603908,-2.4603908,-1.8865945,         1
       2.4,-0.57521385,-2.6177818,-2.6177818,  -1.17642,         1
       2.5,-0.84103207,-2.6781532,-2.6781532,0.057230202,         1
       2.6,-1.1059957,-2.5934411,-2.5934411, 1.6849205,         1
       2.7,-1.3541304,-2.3417148,-2.3417148, 3.3063457,         1
       2.8,-1.5696639, -1.949346, -1.949346, 4.4232037,         1
       2.9, -1.741657,-1.4836418,-1.4836418, 4.7584486,         1
         3,-1.8666107,-1.0208555,-1.0208555, 4.4026563,         1
       3.1,-1.9478197,-0.61545877,-0.61545877, 3.6674126,         1
       3.2,-1.9923918,-0.2894969,-0.2894969, 2.8520891,         1
       3.3,-2.0083337,-0.041390135,-0.041390135, 2.1338867,         1
       3.4,-2.0027958, 0.1426204, 0.1426204, 1.5733385,         1
       3.5,-1.9814181, 0.2784202, 0.2784202, 1.1667557,         1
       3.6,-1.9482533,0.38012275,0.38012275, 0.8855476,         1
       3.7,-1.9061561,0.45863936,0.45863936,  0.698361,         1
       3.8,-1.8570336,0.52203339,0.52203339,0.57879633,         1
       3.9,-1.8020646,0.57600876,0.57600876, 0.5075213,         1
         4,-1.7419066,  0.624675,  0.624675,0.47116858,         1
       4.1,-1.6768449,0.67103073,0.67103073,0.46106555,         1
       4.2,-1.6071425,0.71741323,0.71741323,0.47154412,         1
       4.3,-1.5328838,0.76575577,0.76575577,0.49931812,         1
       4.4,-1.4537716,0.81774166,0.81774166,0.54325557,         1
       4.5,-1.3692302,0.87496971,0.87496971,0.60381433,         1
       4.6,-1.2785839,0.93912945,0.93912945, 0.6824463,         1
       4.7,-1.1810737, 1.0121295, 1.0121295,0.78134819,         1
       4.8,-1.0757502, 1.0961562, 1.0961562,0.90339228,         1
       4.9,-0.96139104, 1.1936898, 1.1936898, 1.0517859,         1
         5,-0.8364893, 1.3074902, 1.3074902, 1.2291098,         1
