"time","revolute1.w","revolute2.w"
0.000000E+000,0.000000E+000,0.000000E+000
6.000000E-004,-1.508887E-002,2.004634E-002
1.200000E-003,-3.017730E-002,4.009155E-002
1.800000E-003,-4.526527E-002,6.013565E-002
2.400000E-003,-6.035281E-002,8.017864E-002
3.000000E-003,-7.543989E-002,1.002205E-001
3.600000E-003,-9.052653E-002,1.202613E-001
4.200000E-003,-1.056127E-001,1.403009E-001
4.800000E-003,-1.206985E-001,1.603395E-001
5.400000E-003,-1.357838E-001,1.803769E-001
6.000000E-003,-1.508686E-001,2.004132E-001
6.600000E-003,-1.659530E-001,2.204483E-001
7.200000E-003,-1.810370E-001,2.404823E-001
7.800000E-003,-1.961204E-001,2.605152E-001
8.400000E-003,-2.112035E-001,2.805469E-001
9.000000E-003,-2.262860E-001,3.005774E-001
9.600000E-003,-2.413681E-001,3.206067E-001
1.020000E-002,-2.564497E-001,3.406348E-001
1.080000E-002,-2.715309E-001,3.606617E-001
1.140000E-002,-2.866115E-001,3.806873E-001
1.200000E-002,-3.016917E-001,4.007116E-001
1.260000E-002,-3.167713E-001,4.207347E-001
1.320000E-002,-3.318504E-001,4.407564E-001
1.380000E-002,-3.469291E-001,4.607767E-001
1.440000E-002,-3.620071E-001,4.807956E-001
1.500000E-002,-3.770847E-001,5.008131E-001
1.560000E-002,-3.921616E-001,5.208290E-001
1.620000E-002,-4.072380E-001,5.408435E-001
1.680000E-002,-4.223138E-001,5.608563E-001
1.740000E-002,-4.373890E-001,5.808675E-001
1.800000E-002,-4.524636E-001,6.008769E-001
1.860000E-002,-4.675376E-001,6.208846E-001
1.920000E-002,-4.826108E-001,6.408904E-001
1.980000E-002,-4.976834E-001,6.608944E-001
2.040000E-002,-5.127553E-001,6.808963E-001
2.100000E-002,-5.278265E-001,7.008961E-001
2.160000E-002,-5.428969E-001,7.208938E-001
2.220000E-002,-5.579665E-001,7.408892E-001
2.280000E-002,-5.730353E-001,7.608822E-001
2.340000E-002,-5.881032E-001,7.808728E-001
2.400000E-002,-6.031703E-001,8.008608E-001
2.460000E-002,-6.182364E-001,8.208462E-001
2.520000E-002,-6.333016E-001,8.408287E-001
2.580000E-002,-6.483658E-001,8.608082E-001
2.640000E-002,-6.634290E-001,8.807847E-001
2.700000E-002,-6.784912E-001,9.007580E-001
2.760000E-002,-6.935522E-001,9.207279E-001
2.820000E-002,-7.086120E-001,9.406944E-001
2.880000E-002,-7.236707E-001,9.606571E-001
2.940000E-002,-7.387281E-001,9.806160E-001
3.000000E-002,-7.537842E-001,1.000571E+000
3.060000E-002,-7.688389E-001,1.020522E+000
3.120000E-002,-7.838923E-001,1.040468E+000
3.180000E-002,-7.989441E-001,1.060410E+000
3.240000E-002,-8.139944E-001,1.080347E+000
3.300000E-002,-8.290432E-001,1.100279E+000
3.360000E-002,-8.440902E-001,1.120205E+000
3.420000E-002,-8.591356E-001,1.140127E+000
